Date,Close,High,Low,Open,Volume,index
20160309  12:00:00,113.6485,113.67,113.6225,113.6675,0.0,
20160309  12:30:00,113.6115,113.6555,113.52,113.6485,0.0,
20160309  13:00:00,113.501,113.619,113.4955,113.6115,0.0,
20160309  13:30:00,113.434,113.5365,113.417,113.501,0.0,
20160309  14:00:00,113.414,113.5125,113.4095,113.434,0.0,
20160309  14:30:00,113.5175,113.5505,113.395,113.414,0.0,
20160309  15:00:00,113.6645,113.7045,113.5015,113.5175,0.0,
20160309  15:30:00,113.8755,113.9485,113.6315,113.6645,0.0,
20160309  16:00:00,113.8815,113.9455,113.8055,113.8755,0.0,
20160309  16:30:00,113.897,113.9975,113.845,113.8815,0.0,
20160309  17:00:00,113.899,113.933,113.8835,113.897,0.0,
20160309  17:30:00,114.0285,114.0625,113.8985,113.899,0.0,
20160309  18:00:00,114.0655,114.0875,114.0085,114.0285,0.0,
20160309  18:30:00,114.0725,114.0865,114.0065,114.0655,0.0,
20160309  19:00:00,113.9955,114.081,113.94,114.0725,0.0,
20160309  19:30:00,114.011,114.061,113.9775,113.9955,0.0,
20160309  20:00:00,114.013,114.039,113.938,114.011,0.0,
20160309  20:30:00,113.9795,114.03,113.954,114.013,0.0,
20160309  21:00:00,113.842,114.044,113.7705,113.9795,0.0,
20160309  21:30:00,113.894,113.9295,113.7925,113.842,0.0,
20160309  22:00:00,113.828,113.9345,113.7305,113.894,0.0,
20160309  22:30:00,113.7725,113.885,113.7425,113.828,0.0,
20160309  23:00:00,113.7605,113.8935,113.736,113.7725,0.0,
20160309  23:30:00,113.7295,113.808,113.7165,113.7605,0.0,
20160310  00:00:00,113.7425,113.8285,113.7125,113.7295,0.0,
20160310  00:30:00,113.764,113.8905,113.7195,113.7425,0.0,
20160310  01:00:00,113.791,113.802,113.6705,113.764,0.0,
20160310  01:30:00,113.8045,113.8285,113.743,113.791,0.0,
20160310  02:00:00,113.7865,113.958,113.7775,113.8045,0.0,
20160310  02:30:00,113.3445,113.866,113.309,113.7865,0.0,
20160310  03:00:00,113.335,113.488,113.1885,113.3445,0.0,
20160310  03:30:00,113.9125,114.206,113.256,113.335,0.0,
20160310  04:00:00,114.3085,114.9155,113.746,113.9125,0.0,
20160310  04:30:00,114.7575,114.764,114.2495,114.3085,0.0,
20160310  05:00:00,115.182,115.546,114.7575,114.7575,0.0,
20160310  05:30:00,114.7495,115.297,114.744,115.182,0.0,
20160310  06:00:00,114.76,114.8855,114.6255,114.7495,0.0,
20160310  06:30:00,114.744,114.795,114.5595,114.76,0.0,
20160310  07:00:00,114.8005,114.8475,114.6355,114.744,0.0,
20160310  07:30:00,114.7675,114.891,114.651,114.8005,0.0,
20160310  08:00:00,114.706,114.802,114.6695,114.7675,0.0,
20160310  08:30:00,114.924,114.9395,114.706,114.706,0.0,
20160310  09:00:00,115.0525,115.056,114.91,114.924,0.0,
20160310  09:30:00,115.086,115.1245,115.021,115.0525,0.0,
20160310  10:00:00,115.08,115.1215,115.0105,115.086,0.0,
20160310  10:30:00,114.9315,115.13,114.8935,115.08,0.0,
20160310  11:00:00,114.878,114.965,114.858,114.9315,0.0,
20160310  11:30:00,114.9095,114.952,114.863,114.878,0.0,
20160310  12:00:00,114.952,114.982,114.9165,114.9165,0.0,
20160310  12:30:00,114.8945,114.9835,114.789,114.952,0.0,
20160310  13:00:00,114.747,114.9575,114.7145,114.8945,0.0,
20160310  13:30:00,114.61,114.754,114.5655,114.747,0.0,
20160310  14:00:00,114.967,114.967,114.515,114.61,0.0,
20160310  14:30:00,115.1325,115.2195,114.891,114.967,0.0,
20160310  15:00:00,114.977,115.1675,114.931,115.1325,0.0,
20160310  15:30:00,115.1095,115.1275,114.9285,114.977,0.0,
20160310  16:00:00,114.9795,115.1425,114.952,115.1095,0.0,
20160310  16:30:00,114.9095,114.987,114.871,114.9795,0.0,
20160310  17:00:00,114.976,114.9865,114.8385,114.9095,0.0,
20160310  17:30:00,115.158,115.1985,114.9475,114.976,0.0,
20160310  18:00:00,115.2405,115.2445,115.133,115.158,0.0,
20160310  18:30:00,115.213,115.279,115.191,115.2405,0.0,
20160310  19:00:00,115.2245,115.2545,115.1635,115.213,0.0,
20160310  19:30:00,115.176,115.2275,115.082,115.2245,0.0,
20160310  20:00:00,115.1745,115.2355,115.12,115.176,0.0,
20160310  20:30:00,115.0935,115.233,115.073,115.1745,0.0,
20160310  21:00:00,115.287,115.3525,115.0925,115.0935,0.0,
20160310  21:30:00,115.337,115.4175,115.184,115.287,0.0,
20160310  22:00:00,115.271,115.47,115.247,115.337,0.0,
20160310  22:30:00,115.131,115.284,114.997,115.271,0.0,
20160310  23:00:00,115.3855,115.4075,115.103,115.131,0.0,
20160310  23:30:00,115.311,115.4485,115.274,115.3855,0.0,
20160311  00:00:00,115.3385,115.3535,115.192,115.311,0.0,
20160311  00:30:00,115.1745,115.3595,115.1175,115.3385,0.0,
20160311  01:00:00,115.1145,115.1925,115.072,115.1745,0.0,
20160311  01:30:00,115.3245,115.3385,115.0905,115.1145,0.0,
20160311  02:00:00,115.2935,115.4125,115.277,115.3245,0.0,
20160311  02:30:00,115.3675,115.3725,115.246,115.2935,0.0,
20160311  03:00:00,115.267,115.4225,115.2415,115.3675,0.0,
20160311  03:30:00,115.289,115.362,115.138,115.267,0.0,
20160311  04:00:00,115.353,115.3545,115.2275,115.289,0.0,
20160311  04:30:00,115.346,115.478,115.277,115.353,0.0,
20160311  05:00:00,115.4185,115.434,115.192,115.346,0.0,
20160311  05:30:00,115.3885,115.4825,115.239,115.4185,0.0,
20160311  06:00:00,115.708,115.7095,115.3265,115.3885,0.0,
20160311  06:30:00,115.804,115.9265,115.6715,115.708,0.0,
20160311  07:00:00,115.7695,115.9125,115.7605,115.804,0.0,
20160311  07:30:00,115.849,115.969,115.755,115.7695,0.0,
20160311  08:00:00,115.8305,115.8805,115.821,115.849,0.0,
20160311  08:30:00,115.882,115.885,115.7465,115.8305,0.0,
20160311  09:00:00,115.8215,115.886,115.787,115.882,0.0,
20160311  09:30:00,115.8415,115.8625,115.7705,115.8215,0.0,
20160311  10:00:00,115.8575,115.919,115.8285,115.8415,0.0,
20160311  10:30:00,115.814,115.8585,115.7445,115.8575,0.0,
20160311  11:00:00,115.8155,115.832,115.759,115.814,0.0,
20160311  11:30:00,115.7775,115.9005,115.731,115.8155,0.0,
20160313  13:00:00,115.791,115.831,115.77,115.8225,0.0,
20160313  13:30:00,115.872,115.872,115.7445,115.791,0.0,
20160313  14:00:00,115.821,115.911,115.7625,115.872,0.0,
20160313  14:30:00,115.7385,115.8305,115.712,115.821,0.0,
20160313  15:00:00,115.7085,115.813,115.7045,115.7385,0.0,
20160313  15:30:00,115.7485,115.779,115.6605,115.7085,0.0,
20160313  16:00:00,115.745,115.796,115.6875,115.7485,0.0,
20160313  16:30:00,115.9205,115.925,115.7115,115.745,0.0,
20160313  17:00:00,115.9095,115.9445,115.819,115.9205,0.0,
20160313  17:30:00,115.87,115.91,115.828,115.9095,0.0,
20160313  18:00:00,115.818,115.881,115.7725,115.87,0.0,
20160313  18:30:00,115.79,115.8595,115.7685,115.818,0.0,
20160313  19:00:00,115.7485,115.7915,115.735,115.79,0.0,
20160313  19:30:00,115.747,115.773,115.692,115.7485,0.0,
20160313  20:00:00,115.7845,115.8415,115.715,115.747,0.0,
20160313  20:30:00,115.676,115.789,115.647,115.7845,0.0,
20160313  21:00:00,115.629,115.7185,115.621,115.676,0.0,
20160313  21:30:00,115.637,115.6905,115.614,115.629,0.0,
20160313  22:00:00,115.6285,115.707,115.575,115.637,0.0,
20160313  22:30:00,115.676,115.6815,115.5505,115.6285,0.0,
20160313  23:00:00,115.656,115.691,115.5985,115.676,0.0,
20160313  23:30:00,115.5055,115.6725,115.442,115.656,0.0,
20160314  00:00:00,115.2145,115.5065,115.1925,115.5055,0.0,
20160314  00:30:00,115.048,115.281,115.025,115.2145,0.0,
20160314  01:00:00,115.002,115.137,114.924,115.048,0.0,
20160314  01:30:00,115.0575,115.1175,114.955,115.002,0.0,
20160314  02:00:00,115.1035,115.1355,114.9985,115.0575,0.0,
20160314  02:30:00,115.112,115.128,115.0345,115.1035,0.0,
20160314  03:00:00,115.0815,115.173,115.066,115.112,0.0,
20160314  03:30:00,115.1435,115.147,115.0555,115.0815,0.0,
20160314  04:00:00,115.203,115.3125,115.134,115.1435,0.0,
20160314  04:30:00,115.2545,115.295,115.1375,115.203,0.0,
20160314  05:00:00,115.186,115.29,115.1205,115.2545,0.0,
