symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,balance,margin_available,purebalance
EURJPY,open,long,1.0,0.0,127.407,0.0,-2.0,0.0,2.0,1.0,,,,,EURJPY,,20160330 08:15:49 EST,20160330 08:15:49 EST,1.0,19996.0,377576.368,20000.0
EURUSD,open,long,1.0,0.0,1.13288,0.0,-2.0,0.0,2.0,2.0,,,,,EURUSD,,20160330 08:16:41 EST,20160330 08:16:41 EST,1.0,19994.0,366130.584,20000.0
GBPUSD,open,long,1.0,0.0,1.44229,0.0,-2.0,0.0,2.0,3.0,,,,,GBPUSD,,20160330 08:16:47 EST,20160330 08:16:47 EST,1.0,19992.0,348613.584,20000.0
AUDUSD,open,long,1.0,0.0,0.76782,0.0,-2.0,0.0,2.0,4.0,,,,,AUDUSD,,20160330 08:16:55 EST,20160330 08:16:55 EST,1.0,19990.0,347680.084,20000.0
USDCAD,open,short,1.0,0.0,1.30126,0.0,-2.0,0.0,2.0,5.0,,,,,USDCAD,,20160330 08:17:00 EST,20160330 08:17:00 EST,-1.0,19988.0,335907.04952,20000.0
NZDJPY,open,long,1.0,0.0,77.994,0.0,-2.0,0.0,2.0,6.0,,,,,NZDJPY,,20160330 08:17:04 EST,20160330 08:17:04 EST,1.0,19986.0,331905.72276,20000.0
CHFJPY,open,long,1.0,0.0,116.759,0.0,-2.0,0.0,2.0,8.0,,,,,CHFJPY,,20160330 08:17:15 EST,20160330 08:17:15 EST,1.0,19982.0,310615.09076,20000.0
EURCHF,open,long,1.0,0.0,1.0914,0.0,-2.0,0.0,2.0,9.0,,,,,EURCHF,,20160330 08:17:20 EST,20160330 08:17:20 EST,1.0,19980.0,298795.58116,20000.0
NZDUSD,open,long,1.0,0.0,0.69374,0.0,-2.0,0.0,2.0,11.0,,,,,NZDUSD,,20160330 08:17:28 EST,20160330 08:17:28 EST,1.0,19976.0,288368.51596,20000.0
CADJPY,open,long,1.0,0.0,86.583,0.0,-2.0,0.0,2.0,12.0,,,,,CADJPY,,20160330 08:21:55 EST,20160330 08:21:55 EST,1.0,19979.216,287679.04396,20007.216
AUDJPY,open,short,1.0,0.0,86.326,0.0,-2.0,0.0,2.0,13.0,,,,,AUDJPY,,20160330 08:26:19 EST,20160330 08:26:19 EST,-1.0,19972.488,287701.65996,20004.488
