symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency
EURUSD,EUR,,1000000.0,1000000.0,1.1324286,1.1324286,-1121095.8,22.421916,0.0,-28.021916,54.4,Paper,USD
EURJPY,EUR,,1000000.0,1000000.0,127.35184,127.35184,-1109499.336,22.18998672,0.0,-2.94198672,39.248,Paper,JPY
GBPUSD,GBP,,1000000.0,1000000.0,1.4412506,1.4412506,-1427015.7,28.540314,0.0,36.059686,70.6,Paper,USD
USDCHF,USD,,-1000000.0,-1000000.0,0.9635419,0.9635419,-965522.19456,19.3104438912,0.0,-73.2616438912,4.0488,Paper,CHF
USDJPY,USD,,-1000000.0,-1000000.0,112.4507,112.4507,-979646.976,19.59293952,0.0,-149.41693952,-109.824,Paper,JPY
AUDUSD,AUD,,1000000.0,1000000.0,0.7676909,0.7676909,-760052.7,15.201054,0.0,-58.701054,-3.5,Paper,USD
USDCAD,USD,,-1000000.0,-1000000.0,1.3017393,1.3017393,-963080.28234,19.2616056468,0.0,-99.6903056468,-56.4287,Paper,CAD
NZDJPY,NZD,,1000000.0,1000000.0,77.96836,77.96836,-679335.624,13.58671248,0.0,26.50928752,74.096,Paper,JPY
CADJPY,CAD,,1000000.0,1000000.0,86.40419,86.40419,-752760.36,15.0552072,0.0,-107.3112072,-58.256,Paper,JPY
CHFJPY,CHF,,1000000.0,1000000.0,116.78016,116.78016,-1017422.208,20.34844416,0.0,-34.04444416,-3.696,Paper,JPY
EURGBP,EUR,,-1000000.0,-1000000.0,0.7855189,0.7855189,-1096882.23645,21.937644729,0.0,-28.866794729,39.07085,Paper,GBP
GBPJPY,GBP,,-1000000.0,-1000000.0,162.21274,162.21274,-1413243.216,28.26486432,0.0,-88.64086432,-24.376,Paper,JPY
EURCHF,EUR,,1000000.0,1000000.0,1.0913911,1.0913911,-1093657.90842,21.8731581684,0.0,-69.9779981684,7.89516,Paper,CHF
NZDUSD,NZD,,1000000.0,1000000.0,0.6938152,0.6938152,-686881.8,13.737636,0.0,68.062364,109.8,Paper,USD
AUDJPY,AUD,,-1000000.0,-1000000.0,86.299,86.299,0.0,15.188624,0.0,-580.66781616,-498.432,Paper,JPY
