symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency
EURUSD,EUR,,1000000.0,1000000.0,1.1328974,1.1328974,-1121571.0,22.43142,0.0,12.06858,48.5,Paper,USD
EURJPY,EUR,,1000000.0,1000000.0,127.41003,127.41003,-1110022.056,22.20044112,0.0,-24.20044112,0.0,Paper,JPY
GBPUSD,GBP,,1000000.0,1000000.0,1.4424188,1.4424188,-1428183.9,28.563678,0.0,-38.163678,-3.6,Paper,USD
AUDUSD,AUD,,1000000.0,1000000.0,0.768188,0.768188,-760518.0,15.21036,0.0,-17.21036,0.0,Paper,USD
USDCAD,USD,,-1000000.0,-1000000.0,1.3009064,1.3009064,-962562.33414,19.2512466828,0.0,-21.2512466828,0.0,Paper,CAD
NZDJPY,NZD,,1000000.0,1000000.0,77.99113,77.99113,-679527.288,13.59054576,0.0,-15.59054576,0.0,Paper,JPY
CHFJPY,CHF,,1000000.0,1000000.0,116.72756,116.72756,-1016943.048,20.33886096,0.0,-22.33886096,0.0,Paper,JPY
EURCHF,EUR,,1000000.0,1000000.0,1.0914117,1.0914117,-1093677.94998,21.8735589996,0.0,-55.1821789996,-17.30862,Paper,CHF
NZDUSD,NZD,,1000000.0,1000000.0,0.6937723,0.6937723,-686842.2,13.736844,0.0,-15.736844,0.0,Paper,USD
CADJPY,CAD,,1000000.0,1000000.0,86.555,86.555,-761684.0,15.23368,0.0,-15.23368,0.0,Paper,JPY
AUDJPY,AUD,,-1000000.0,-1000000.0,86.307,86.307,0.0,15.190032,0.0,-435.3645272,-403.128,Paper,JPY
