symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,balance,margin_available,purebalance
EURJPY,open,long,1.0,0.0,127.287,0.0,-2.0,0.0,2.0,1.0,,,,,EURJPY,,20160329 19:20:29 EST,20160329 19:20:29 EST,1.0,19996.0,377597.488,20000.0
GBPUSD,open,long,1.0,0.0,1.43799,0.0,-2.0,0.0,2.0,3.0,,,,,GBPUSD,,20160329 19:20:31 EST,20160329 19:20:31 EST,1.0,19992.0,348749.844,20000.0
USDJPY,open,short,1.0,0.0,112.749,0.0,-2.0,0.0,2.0,5.0,,,,,USDJPY,,20160329 19:20:33 EST,20160329 19:20:33 EST,-1.0,19988.0,333501.4887,20000.0
AUDUSD,open,long,1.0,0.0,0.76334,0.0,-2.0,0.0,2.0,6.0,,,,,AUDUSD,,20160329 19:20:36 EST,20160329 19:20:36 EST,1.0,19986.0,328156.6007,20000.0
USDCAD,open,short,1.0,0.0,1.30664,0.0,-2.0,0.0,2.0,7.0,,,,,USDCAD,,20160329 19:20:37 EST,20160329 19:20:37 EST,-1.0,19984.0,316258.34598,20000.0
NZDJPY,open,long,1.0,0.0,77.28,0.0,-2.0,0.0,2.0,8.0,,,,,NZDJPY,,20160329 19:20:39 EST,20160329 19:20:39 EST,1.0,19982.0,312422.89334,20000.0
CADJPY,open,long,1.0,0.0,86.292,0.0,-2.0,0.0,2.0,9.0,,,,,CADJPY,,20160329 19:20:40 EST,20160329 19:20:40 EST,1.0,19980.0,304036.14134,20000.0
CHFJPY,open,long,1.0,0.0,116.407,0.0,-2.0,0.0,2.0,31.0,,,,,CHFJPY,,20160329 23:07:21 EST,20160329 23:07:21 EST,1.0,19868.76796,240305.35039,19964.76796
USDCHF,open,short,1.0,0.0,0.9658,0.0,-2.0,0.0,2.0,38.0,,,,,USDCHF,,20160330 02:36:33 EST,20160330 02:36:33 EST,-1.0,19807.47762,240773.33879,19931.47762
EURCHF,open,long,1.0,0.0,1.09152,0.0,-2.0,0.0,2.0,48.0,,,,,EURCHF,,20160330 05:09:16 EST,20160330 05:09:16 EST,1.0,19798.44039,239500.80095,19962.44039
EURGBP,open,short,1.0,0.0,0.78643,0.0,-2.0,0.0,2.0,54.0,,,,,EURGBP,,20160330 05:51:23 EST,20160330 05:51:23 EST,-1.0,19768.85194,239456.57124,19956.85194
NZDUSD,open,long,1.0,0.0,0.6933,0.0,-2.0,0.0,2.0,58.0,,,,,NZDUSD,,20160330 06:48:34 EST,20160330 06:48:34 EST,1.0,19736.02794,243616.16639,19940.02794
GBPJPY,open,short,1.0,0.0,161.729,0.0,-2.0,0.0,2.0,60.0,,,,,GBPJPY,,20160330 07:25:41 EST,20160330 07:25:41 EST,-1.0,19720.01994,236317.01439,19932.01994
AUDJPY,open,long,1.0,0.0,86.123,0.0,-2.0,0.0,2.0,61.0,,,,,AUDJPY,,20160330 07:34:53 EST,20160330 07:34:53 EST,1.0,19713.11594,242970.34239,19929.11594
EURUSD,open,long,1.0,0.0,1.13333,0.0,-2.0,0.0,2.0,63.0,,,,,EURUSD,,20160330 08:03:15 EST,20160330 08:03:15 EST,1.0,19731.71594,239215.86639,19955.71594
