symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,balance,margin_available,purebalance
GBPUSD,open,long,1.0,0.0,1.42349,0.0,-2.0,0.0,2.0,1615.0,,,,,GBPUSD,,20160329 01:15:57 EST,20160329 01:15:57 EST,1.0,11270.8709,227456.28746,17704.8709
EURJPY,open,long,1.0,0.0,127.195,0.0,-2.0,0.0,2.0,1625.0,,,,,EURJPY,,20160329 07:59:43 EST,20160329 07:59:43 EST,1.0,11214.12824,230498.02746,17688.12824
CADJPY,open,long,1.0,0.0,86.335,0.0,-2.0,0.0,2.0,1627.0,,,,,CADJPY,,20160329 08:04:57 EST,20160329 08:04:57 EST,1.0,11194.23168,234093.70746,17676.23168
USDCAD,open,short,1.0,0.0,1.31653,0.0,-2.0,0.0,2.0,1629.0,,,,,USDCAD,,20160329 08:12:19 EST,20160329 08:12:19 EST,-1.0,11170.85396,231851.44224,17660.85396
NZDJPY,open,long,1.0,0.0,77.109,0.0,-2.0,0.0,2.0,1654.0,,,,,NZDJPY,,20160329 12:08:43 EST,20160329 12:08:43 EST,1.0,11011.80729,234905.59546,17601.80729
USDJPY,open,short,1.0,0.0,112.715,0.0,-2.0,0.0,2.0,1675.0,,,,,USDJPY,,20160329 16:20:35 EST,20160329 16:20:35 EST,-1.0,11177.33678,231772.26746,17851.33678
AUDUSD,open,long,1.0,0.0,0.76329,0.0,-2.0,0.0,2.0,1682.0,,,,,AUDUSD,,20160329 17:42:32 EST,20160329 17:42:32 EST,1.0,11136.74324,234058.28746,17838.74324
CHFJPY,open,long,1.0,0.0,116.4,0.0,-2.0,0.0,2.0,1705.0,,,,,CHFJPY,,20160329 23:07:01 EST,20160329 23:07:01 EST,1.0,11015.8331,231447.98746,17809.8331
USDCHF,open,short,1.0,0.0,0.96585,0.0,-2.0,0.0,2.0,1712.0,,,,,USDCHF,,20160330 02:36:47 EST,20160330 02:36:47 EST,-1.0,10954.64364,231914.85376,17776.64364
EURCHF,open,long,1.0,0.0,1.0915,0.0,-2.0,0.0,2.0,1722.0,,,,,EURCHF,,20160330 05:08:57 EST,20160330 05:08:57 EST,1.0,10944.38292,230643.02446,17806.38292
EURGBP,open,short,1.0,0.0,0.78642,0.0,-2.0,0.0,2.0,1728.0,,,,,EURGBP,,20160330 05:51:21 EST,20160330 05:51:21 EST,-1.0,10914.36922,230598.73336,17800.36922
NZDUSD,open,long,1.0,0.0,0.69329,0.0,-2.0,0.0,2.0,1732.0,,,,,NZDUSD,,20160330 06:48:39 EST,20160330 06:48:39 EST,1.0,10884.27722,234758.28746,17786.27722
GBPJPY,open,short,1.0,0.0,161.731,0.0,-2.0,0.0,2.0,1734.0,,,,,GBPJPY,,20160330 07:25:33 EST,20160330 07:25:33 EST,-1.0,10869.14922,227458.85946,17779.14922
EURUSD,open,long,1.0,0.0,1.13326,0.0,-2.0,0.0,2.0,1737.0,,,,,EURUSD,,20160330 08:02:59 EST,20160330 08:02:59 EST,1.0,10881.48522,230358.58746,17803.48522
AUDJPY,open,short,1.0,0.0,86.292,0.0,-2.0,0.0,2.0,1738.0,,,,,AUDJPY,,20160330 08:27:36 EST,20160330 08:27:36 EST,-1.0,10892.26922,234097.49146,17818.26922
