symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency
GBPUSD,GBP,,10000.0,10000.0,1.43799,1.43799,-14379.9,2.0,0.0,-2.0,0.0,Paper,USD
NZDJPY,NZD,,10000.0,10000.0,77.28,77.28,-6800.64,2.0,0.0,-2.0,0.0,Paper,JPY
USDCAD,USD,,-10000.0,-10000.0,1.30253,1.30253,-9735.10922,2.0,0.0,-2.0,0.0,Paper,CAD
EURCHF,EUR,,10000.0,10000.0,1.09168,1.09168,0.0,2.0,0.0,-33.81472,-17.81472,Paper,CHF
CADJPY,CAD,,10000.0,10000.0,86.104,86.104,-7577.152,2.0,0.0,-2.0,0.0,Paper,JPY
NZDUSD,NZD,,10000.0,10000.0,0.69301,0.69301,-6930.1,2.0,0.0,-2.0,0.0,Paper,USD
CHFJPY,CHF,,10000.0,10000.0,116.565,116.565,-10257.72,2.0,0.0,-2.0,0.0,Paper,JPY
EURJPY,EUR,,10000.0,10000.0,127.116,127.116,-11186.208,2.0,0.0,-2.0,0.0,Paper,JPY
AUDUSD,AUD,,10000.0,10000.0,0.76691,0.76691,-7669.1,2.0,0.0,-2.0,0.0,Paper,USD
AUDJPY,AUD,,10000.0,10000.0,86.135,86.135,-7579.88,2.0,0.0,-2.0,0.0,Paper,JPY
EURUSD,EUR,,10000.0,10000.0,1.13295,1.13295,0.0,2.0,0.0,33.4,47.4,Paper,USD
