symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,balance,margin_available,purebalance
GBPUSD,open,long,1.0,0.0,1.42349,0.0,-2.0,0.0,2.0,7010.0,,,,,GBPUSD,,20160329 01:14:19 EST,20160329 01:14:19 EST,1.0,-23957.9407299,287672.58428,6048.05927
NZDJPY,open,long,1.0,0.0,77.211,0.0,-2.0,0.0,2.0,7122.0,,,,,NZDJPY,,20160329 16:47:14 EST,20160329 16:47:14 EST,1.0,-24349.7002899,303913.85411,6110.29971
USDCAD,open,short,1.0,0.0,1.30262,0.0,-2.0,0.0,2.0,7273.0,,,,,USDCAD,,20160330 04:43:15 EST,20160330 04:43:15 EST,-1.0,-24903.0193799,291188.77136,6160.98062
EURCHF,open,long,1.0,0.0,1.0918,0.0,-2.0,0.0,2.0,7279.0,,,,,EURCHF,,20160330 05:03:37 EST,20160330 05:03:37 EST,1.0,-24947.5613399,258681.85315,6134.43866
NZDUSD,open,long,1.0,0.0,0.69301,0.0,-2.0,0.0,2.0,7294.0,,,,,NZDUSD,,20160330 06:51:54 EST,20160330 06:51:54 EST,1.0,-25096.1295299,273045.37942,6047.87047
CHFJPY,open,long,1.0,0.0,116.565,0.0,-2.0,0.0,2.0,7296.0,,,,,CHFJPY,,20160330 07:02:15 EST,20160330 07:02:15 EST,1.0,-25114.9775299,259460.03942,6035.02247
EURJPY,open,long,1.0,0.0,127.119,0.0,-2.0,0.0,2.0,7297.0,,,,,EURJPY,,20160330 07:08:07 EST,20160330 07:08:07 EST,1.0,-25118.0095299,258531.28742,6035.99047
AUDUSD,open,long,1.0,0.0,0.76691,0.0,-2.0,0.0,2.0,7299.0,,,,,AUDUSD,,20160330 07:15:40 EST,20160330 07:15:40 EST,1.0,-25164.2815299,262045.45942,5997.71847
EURUSD,open,long,1.0,0.0,1.13264,0.0,-2.0,0.0,2.0,7304.0,,,,,EURUSD,,20160330 08:13:17 EST,20160330 08:13:17 EST,1.0,-25140.3700199,285878.26752,6045.62998
CADJPY,open,long,1.0,0.0,86.553,0.0,-2.0,0.0,2.0,7305.0,,,,,CADJPY,,20160330 08:21:24 EST,20160330 08:21:24 EST,1.0,-25108.4660199,289583.95552,6081.53398
AUDJPY,open,short,1.0,0.0,86.307,0.0,-2.0,0.0,2.0,7306.0,,,,,AUDJPY,,20160330 08:26:34 EST,20160330 08:26:34 EST,-1.0,-25097.2420199,289605.60352,6096.75798
