symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency
EURUSD,EUR,,1000000.0,1000000.0,1.1327808,1.1327808,-1121462.1,22.429242,0.0,-31.229242,-4.8,Paper,USD
EURJPY,EUR,,1000000.0,1000000.0,127.38434,127.38434,-1109804.256,22.19608512,0.0,-24.19608512,0.0,Paper,JPY
GBPUSD,GBP,,1000000.0,1000000.0,1.4422729,1.4422729,-1427867.1,28.557342,0.0,-30.557342,0.0,Paper,USD
USDCHF,USD,,-1000000.0,-1000000.0,0.9627609,0.9627609,-964760.61528,19.2952123056,0.0,-32.3037923056,-9.00858,Paper,CHF
USDJPY,USD,,-1000000.0,-1000000.0,112.43616,112.43616,-979542.432,19.59084864,0.0,-21.59084864,0.0,Paper,JPY
AUDUSD,AUD,,1000000.0,1000000.0,0.7679857,0.7679857,-760320.0,15.2064,0.0,37.0936,66.3,Paper,USD
USDCAD,USD,,-1000000.0,-1000000.0,1.3010623,1.3010623,-962643.726,19.25287452,0.0,-21.25287452,0.0,Paper,CAD
NZDJPY,NZD,,1000000.0,1000000.0,77.99944,77.99944,-679579.56,13.5915912,0.0,-15.5915912,0.0,Paper,JPY
CADJPY,CAD,,1000000.0,1000000.0,86.41243,86.41243,-752847.48,15.0569496,0.0,-48.9529496,-27.896,Paper,JPY
CHFJPY,CHF,,1000000.0,1000000.0,116.74323,116.74323,-1017082.44,20.3416488,0.0,-29.5096488,-3.168,Paper,JPY
EURGBP,EUR,,-1000000.0,-1000000.0,0.7853854,0.7853854,-1096714.66905,21.934293381,0.0,-7.442193381,28.4921,Paper,GBP
GBPJPY,GBP,,1000000.0,1000000.0,162.20533,162.20533,-1413182.232,28.26364464,0.0,-24.60764464,7.656,Paper,JPY
EURCHF,EUR,,1000000.0,1000000.0,1.0914549,1.0914549,-1093718.0331,21.874360662,0.0,-51.004940662,-19.13058,Paper,CHF
AUDJPY,AUD,,1000000.0,1000000.0,86.35437,86.35437,-752342.184,15.04684368,0.0,-47.11884368,-28.072,Paper,JPY
NZDUSD,NZD,,1000000.0,1000000.0,0.6937876,0.6937876,-686842.2,13.736844,0.0,-15.736844,0.0,Paper,USD
