symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency
EURUSD,EUR,,1000000.0,1000000.0,1.1323979,1.1323979,-1121066.1,22.421322,0.0,8.978678,83.4,Paper,USD
EURJPY,EUR,,1000000.0,1000000.0,127.37324,127.37324,-1109691.0,22.19382,0.0,3.91818,46.112,Paper,JPY
GBPUSD,GBP,,1000000.0,1000000.0,1.4415768,1.4415768,-1427342.4,28.546848,0.0,37.353152,71.9,Paper,USD
USDCHF,USD,,-1000000.0,-1000000.0,0.9630458,0.9630458,-965021.15556,19.3004231112,0.0,-52.7039631112,24.59646,Paper,CHF
USDJPY,USD,,-1000000.0,-1000000.0,112.46948,112.46948,-979812.504,19.59625008,0.0,-151.44425008,-111.848,Paper,JPY
AUDUSD,AUD,,1000000.0,1000000.0,0.7678405,0.7678405,-760201.2,15.204024,0.0,-61.004024,-5.8,Paper,USD
USDCAD,USD,,-1000000.0,-1000000.0,1.3014554,1.3014554,-962865.7038,19.257314076,0.0,-92.959414076,-49.7021,Paper,CAD
NZDJPY,NZD,,1000000.0,1000000.0,77.96457,77.96457,-679300.776,13.58601552,0.0,33.63798448,81.224,Paper,JPY
CADJPY,CAD,,1000000.0,1000000.0,86.40514,86.40514,-752769.072,15.05538144,0.0,-96.66338144,-47.608,Paper,JPY
CHFJPY,CHF,,1000000.0,1000000.0,116.77227,116.77227,-1017352.512,20.34705024,0.0,-32.98705024,-2.64,Paper,JPY
EURGBP,EUR,,-1000000.0,-1000000.0,0.7853106,0.7853106,-1096588.9935,21.93177987,0.0,-27.87357987,40.0582,Paper,GBP
GBPJPY,GBP,,-1000000.0,-1000000.0,162.23704,162.23704,-1413452.304,28.26904608,0.0,-69.46104608,-5.192,Paper,JPY
EURCHF,EUR,,1000000.0,1000000.0,1.0914003,1.0914003,-1093667.9292,21.873358584,0.0,-82.578278584,-8.70492,Paper,CHF
NZDUSD,NZD,,1000000.0,1000000.0,0.6937552,0.6937552,-686822.4,13.736448,0.0,46.163552,87.9,Paper,USD
AUDJPY,AUD,,-1000000.0,-1000000.0,86.29,86.29,0.0,15.18704,0.0,-662.64170944,-584.408,Paper,JPY
