symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,balance,margin_available,purebalance
GBPUSD,open,long,1.0,0.0,1.42349,0.0,-2.0,0.0,2.0,7015.0,,,,,GBPUSD,,20160329 01:14:19 EST,20160329 01:14:19 EST,1.0,-24481.6944102,287672.45948,5536.3055898
NZDJPY,open,long,1.0,0.0,77.212,0.0,-2.0,0.0,2.0,7127.0,,,,,NZDJPY,,20160329 16:46:56 EST,20160329 16:46:56 EST,1.0,-24889.6940802,303915.2,5582.3059198
USDCAD,open,short,1.0,0.0,1.30253,0.0,-2.0,0.0,2.0,7278.0,,,,,USDCAD,,20160330 04:43:04 EST,20160330 04:43:04 EST,-1.0,-25451.8579302,291214.98109,5624.1420698
EURCHF,open,long,1.0,0.0,1.09158,0.0,-2.0,0.0,2.0,7284.0,,,,,EURCHF,,20160330 05:03:26 EST,20160330 05:03:26 EST,1.0,-25493.1507502,258710.31,5600.8492498
NZDUSD,open,long,1.0,0.0,0.69301,0.0,-2.0,0.0,2.0,7299.0,,,,,NZDUSD,,20160330 06:51:52 EST,20160330 06:51:52 EST,1.0,-25642.2807802,273067.85984,5513.7192198
CHFJPY,open,long,1.0,0.0,116.585,0.0,-2.0,0.0,2.0,7301.0,,,,,CHFJPY,,20160330 07:02:26 EST,20160330 07:02:26 EST,1.0,-25660.0727802,259478.99984,5501.9272198
EURJPY,open,long,1.0,0.0,127.116,0.0,-2.0,0.0,2.0,7302.0,,,,,EURJPY,,20160330 07:08:01 EST,20160330 07:08:01 EST,1.0,-25663.4567802,258552.79984,5502.5432198
AUDUSD,open,long,1.0,0.0,0.767,0.0,-2.0,0.0,2.0,7304.0,,,,,AUDUSD,,20160330 07:16:15 EST,20160330 07:16:15 EST,1.0,-25708.1207802,262064.80784,5465.8792198
EURUSD,open,long,1.0,0.0,1.13264,0.0,-2.0,0.0,2.0,7309.0,,,,,EURUSD,,20160330 08:13:12 EST,20160330 08:13:12 EST,1.0,-25684.1707402,285900.071,5513.8292598
CADJPY,open,long,1.0,0.0,86.555,0.0,-2.0,0.0,2.0,7310.0,,,,,CADJPY,,20160330 08:21:24 EST,20160330 08:21:24 EST,1.0,-25653.0587402,289604.615,5548.9412598
AUDJPY,open,short,1.0,0.0,86.307,0.0,-2.0,0.0,2.0,7311.0,,,,,AUDJPY,,20160330 08:26:34 EST,20160330 08:26:34 EST,-1.0,-25642.0107402,289626.439,5563.9892598
