symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,balance,margin_available,purebalance
EURJPY,open,long,1.0,0.0,127.375,0.0,-2.0,0.0,2.0,1.0,,,,,EURJPY,,20160330 08:15:25 EST,20160330 08:15:25 EST,1.0,19996.0,377582.0,20000.0
EURUSD,open,long,1.0,0.0,1.13278,0.0,-2.0,0.0,2.0,2.0,,,,,EURUSD,,20160330 08:15:44 EST,20160330 08:15:44 EST,1.0,19994.0,366135.4,20000.0
GBPUSD,open,long,1.0,0.0,1.44205,0.0,-2.0,0.0,2.0,3.0,,,,,GBPUSD,,20160330 08:16:41 EST,20160330 08:16:41 EST,1.0,19992.0,348622.2,20000.0
USDCHF,open,short,1.0,0.0,0.96303,0.0,-2.0,0.0,2.0,4.0,,,,,USDCHF,,20160330 08:16:46 EST,20160330 08:16:46 EST,-1.0,19990.0,343547.12068,20000.0
USDJPY,open,short,1.0,0.0,112.434,0.0,-2.0,0.0,2.0,5.0,,,,,USDJPY,,20160330 08:16:53 EST,20160330 08:16:53 EST,-1.0,19988.0,333506.52634,20000.0
AUDUSD,open,long,1.0,0.0,0.76785,0.0,-2.0,0.0,2.0,6.0,,,,,AUDUSD,,20160330 08:16:58 EST,20160330 08:16:58 EST,1.0,19986.0,328043.71834,20000.0
USDCAD,open,short,1.0,0.0,1.30127,0.0,-2.0,0.0,2.0,7.0,,,,,USDCAD,,20160330 08:17:02 EST,20160330 08:17:02 EST,-1.0,19984.0,316270.83438,20000.0
NZDJPY,open,long,1.0,0.0,77.995,0.0,-2.0,0.0,2.0,8.0,,,,,NZDJPY,,20160330 08:17:07 EST,20160330 08:17:07 EST,1.0,19982.0,312269.40636,20000.0
CADJPY,open,long,1.0,0.0,86.423,0.0,-2.0,0.0,2.0,9.0,,,,,CADJPY,,20160330 08:17:13 EST,20160330 08:17:13 EST,1.0,19980.0,303922.51836,20000.0
CHFJPY,open,long,1.0,0.0,116.747,0.0,-2.0,0.0,2.0,10.0,,,,,CHFJPY,,20160330 08:17:18 EST,20160330 08:17:18 EST,1.0,19978.0,290980.27036,20000.0
EURGBP,open,short,1.0,0.0,0.78531,0.0,-2.0,0.0,2.0,11.0,,,,,EURGBP,,20160330 08:17:22 EST,20160330 08:17:22 EST,-1.0,19976.0,279100.41126,20000.0
GBPJPY,open,short,1.0,0.0,162.202,0.0,-2.0,0.0,2.0,12.0,,,,,GBPJPY,,20160330 08:17:25 EST,20160330 08:17:25 EST,-1.0,19974.0,261629.65681,20000.0
EURCHF,open,long,1.0,0.0,1.09147,0.0,-2.0,0.0,2.0,13.0,,,,,EURCHF,,20160330 08:17:28 EST,20160330 08:17:28 EST,1.0,19972.0,253807.71413,20000.0
NZDUSD,open,long,1.0,0.0,0.69378,0.0,-2.0,0.0,2.0,15.0,,,,,NZDUSD,,20160330 08:17:32 EST,20160330 08:17:32 EST,1.0,19968.0,243380.55747,20000.0
AUDJPY,open,short,1.0,0.0,86.291,0.0,-2.0,0.0,2.0,16.0,,,,,AUDJPY,,20160330 08:27:34 EST,20160330 08:27:34 EST,-1.0,19958.192,242724.74947,19994.192
