symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency
CADJPY,CAD,,-20000.0,-20000.0,86.0171493385,86.0171493385,-7572.4,2.0,0.0,-392.690283568,-290.690283568,Paper,JPY
GBPUSD,GBP,,-15000.0,-15000.0,1.42461076142,1.42461076142,-14242.0,2.0,0.0,49.0885782,199.0885782,Paper,USD
AUDUSD,AUD,,20000.0,20000.0,0.754638888889,0.754638888889,7554.0,2.0,0.0,8.47777778,18.47777778,Paper,USD
EURCHF,EUR,,-50000.0,-50000.0,1.09059704188,1.09059704188,-11039.0532,2.0,0.0,-318.461088737,-216.461088737,Paper,CHF
USDCAD,USD,,95204.0,95204.0,1.32053079701,1.32053079701,9857.8323,2.0,0.0,-275.210758919,70.789241091,Paper,CAD
AUDJPY,AUD,,10000.0,10000.0,85.64496875,85.64496875,7543.8,2.0,0.0,16.13325,48.13325,Paper,JPY
NZDJPY,NZD,,-30000.0,-30000.0,76.5383333333,76.5383333333,-13472.8,2.0,0.0,-4.0,0.0,Paper,JPY
USDJPY,USD,,-80000.0,-80000.0,113.408847903,113.408847903,-19990.96,2.0,0.0,-1414.72892281,-1276.72892281,Paper,JPY
EURUSD,EUR,,13000.0,13000.0,1.11951615401,1.11951615401,11194.0,2.0,0.0,-1420.87999687,-702.99000187,Paper,USD
GBPJPY,GBP,,-107000.0,-107000.0,161.392920106,161.392920106,-14233.12,2.0,0.0,-603.285574872,-473.285574872,Paper,JPY
EURJPY,EUR,,5000.0,5000.0,127.042,127.042,11188.32,2.0,0.0,-422.483999868,-88.483999868,Paper,JPY
USDCHF,USD,,-145000.0,-145000.0,0.974864584942,0.974864584942,9862.3707,2.0,0.0,-714.262687218,99.7373127922,Paper,CHF
EURGBP,EUR,,-30000.0,-30000.0,0.785820017368,0.785820017368,22170.239,2.0,0.0,90.3990650589,236.399065058,Paper,GBP
NZDUSD,NZD,,80000.0,80000.0,0.672467358479,0.672467358479,-6749.0,2.0,0.0,-352.21132163,-222.21132163,Paper,USD
