symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency
EURUSD,EUR,,1000000.0,1000000.0,1.1327749,1.1327749,-1121442.3,22.428846,0.0,-22.128846,60.3,Paper,USD
EURJPY,EUR,,1000000.0,1000000.0,127.39894,127.39894,-1109917.512,22.19835024,0.0,-1.71835024,40.48,Paper,JPY
GBPUSD,GBP,,1000000.0,1000000.0,1.4420525,1.4420525,-1427817.6,28.556352,0.0,35.843648,70.4,Paper,USD
USDCHF,USD,,-1000000.0,-1000000.0,0.9628899,0.9628899,-964860.82308,19.2972164616,0.0,-88.4314164616,-11.1342,Paper,CHF
USDJPY,USD,,-1000000.0,-1000000.0,112.44275,112.44275,-979577.28,19.5915456,0.0,-143.9595456,-104.368,Paper,JPY
AUDUSD,AUD,,1000000.0,1000000.0,0.7678044,0.7678044,-760171.5,15.20343,0.0,-80.20343,-21.0,Paper,USD
USDCAD,USD,,-1000000.0,-1000000.0,1.3012147,1.3012147,-962688.12156,19.2537624312,0.0,-92.0589824312,-48.80522,Paper,CAD
NZDJPY,NZD,,1000000.0,1000000.0,77.98713,77.98713,-679501.152,13.59002304,0.0,33.80997696,81.4,Paper,JPY
CADJPY,CAD,,1000000.0,1000000.0,86.4241,86.4241,-752934.6,15.058692,0.0,-101.858692,-52.8,Paper,JPY
CHFJPY,CHF,,1000000.0,1000000.0,116.74551,116.74551,-1017117.288,20.34234576,0.0,-34.56634576,-4.224,Paper,JPY
EURGBP,EUR,,-1000000.0,-1000000.0,0.7853211,0.7853211,-1096602.95745,21.932059149,0.0,-39.349509149,32.58255,Paper,GBP
GBPJPY,GBP,,-1000000.0,-1000000.0,162.19729,162.19729,-1413103.824,28.26207648,0.0,-93.95807648,-25.696,Paper,JPY
EURCHF,EUR,,1000000.0,1000000.0,1.0914703,1.0914703,-1093738.07466,21.8747614932,0.0,-86.8345414932,-4.95978,Paper,CHF
NZDUSD,NZD,,1000000.0,1000000.0,0.6938147,0.6938147,-686881.8,13.737636,0.0,59.362364,101.1,Paper,USD
AUDJPY,AUD,,-1000000.0,-1000000.0,86.292,86.292,0.0,15.187392,0.0,-659.68223568,-569.448,Paper,JPY
