,signals,gainAhead,safef,safef,trade,numBars,equity,maxEquity,drawdown,maxDD
2016-03-18 16:54:00,1.0,-0.000144662607346,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2016-03-18 16:55:00,1.0,-0.000131530488767,1.0,1.0,-0.000144662607346,1.0,0.999855337393,1.0,0.000144662607346,0.000144662607346
2016-03-18 16:56:00,1.0,1.97321686969e-05,1.0,1.0,-0.000131511461224,2.0,0.999723825931,1.0,0.00027617406857,0.00027617406857
2016-03-18 16:57:00,1.0,0.000677457757549,1.0,1.0,1.97267191836e-05,3.0,0.999743552651,1.0,0.000256447349387,0.00027617406857
2016-03-18 16:58:00,1.0,8.54464907783e-05,1.0,1.0,0.000677284025303,4.0,1.00042083668,1.00042083668,0.0,0.00027617406857
2016-03-18 16:59:00,1.0,-0.00151161644376,1.0,1.0,8.54824497955e-05,5.0,1.00050631913,1.00050631913,0.0,0.00027617406857
2016-03-20 17:15:00,1.0,0.0,1.0,1.0,-0.00151238180407,6.0,0.998993937322,1.00050631913,0.00151161644376,0.00151161644376
2016-03-20 17:16:00,1.0,0.0,1.0,1.0,0.0,7.0,0.998993937322,1.00050631913,0.00151161644376,0.00151161644376
2016-03-20 17:17:00,1.0,0.0,1.0,1.0,0.0,8.0,0.998993937322,1.00050631913,0.00151161644376,0.00151161644376
2016-03-20 17:19:00,1.0,-1.97465854862e-05,1.0,1.0,0.0,9.0,0.998993937322,1.00050631913,0.00151161644376,0.00151161644376
2016-03-20 17:21:00,1.0,0.0,1.0,1.0,-1.97267191836e-05,10.0,0.998974210602,1.00050631913,0.00153133317998,0.00153133317998
2016-03-20 17:22:00,1.0,1.97469754216e-05,1.0,1.0,0.0,11.0,0.998974210602,1.00050631913,0.00153133317998,0.00153133317998
2016-03-20 17:24:00,1.0,6.58219516213e-06,1.0,1.0,1.97267191836e-05,12.0,0.998993937322,1.00050631913,0.00151161644376,0.00153133317998
2016-03-20 17:25:00,1.0,0.0,1.0,1.0,6.57557306124e-06,13.0,0.999000512895,1.00050631913,0.00150504419835,0.00153133317998
2016-03-20 17:26:00,1.0,5.26572146965e-05,1.0,1.0,0.0,14.0,0.999000512895,1.00050631913,0.00150504419835,0.00153133317998
2016-03-20 17:28:00,1.0,5.92362473179e-05,1.0,1.0,5.26045844894e-05,15.0,0.999053117479,1.00050631913,0.00145246623509,0.00153133317998
2016-03-20 17:29:00,1.0,-6.5814153992e-05,1.0,1.0,5.91801575507e-05,16.0,0.999112297637,1.00050631913,0.00139331602642,0.00153133317998
2016-03-20 17:30:00,1.0,-1.97455457338e-05,1.0,1.0,-6.57557306119e-05,17.0,0.999046541906,1.00050631913,0.0014590384805,0.00153133317998
2016-03-20 17:31:00,1.0,2.63279141709e-05,1.0,1.0,-1.97267191834e-05,18.0,0.999026815187,1.00050631913,0.00147875521672,0.00153133317998
2016-03-20 17:32:00,1.0,-6.58180525759e-06,1.0,1.0,2.63022922446e-05,19.0,0.999053117479,1.00050631913,0.00145246623509,0.00153133317998
2016-03-20 17:33:00,1.0,-1.97455457338e-05,1.0,1.0,-6.57557306124e-06,20.0,0.999046541906,1.00050631913,0.0014590384805,0.00153133317998
2016-03-20 17:34:00,1.0,8.55657210556e-05,1.0,1.0,-1.97267191834e-05,21.0,0.999026815187,1.00050631913,0.00147875521672,0.00153133317998
2016-03-20 17:35:00,1.0,-3.9488492395e-05,1.0,1.0,8.54824497953e-05,22.0,0.999112297637,1.00050631913,0.00139331602642,0.00153133317998
2016-03-20 17:36:00,1.0,1.97450258989e-05,1.0,1.0,-3.9453438367e-05,23.0,0.999072844198,1.00050631913,0.00143274949887,0.00153133317998
2016-03-20 17:37:00,1.0,-9.87231802028e-05,1.0,1.0,1.97267191836e-05,24.0,0.999092570918,1.00050631913,0.00141303276264,0.00153133317998
