,price_diff,profit,total,returns,accuracy,equity
2016-05-13 08:00:00,-0.016,320.0,320.0,,1.0,320.0
2016-05-13 08:30:00,0.024,-480.0,-160.0,-1.5,0.5,-160.0
2016-05-13 09:00:00,-0.083,1660.0,1500.0,-10.375,0.833333333333,1500.0
2016-05-13 09:30:00,0.021,-420.0,1080.0,-0.28,0.583333333333,1080.0
2016-05-13 10:00:00,-0.21,4200.0,5280.0,3.88888888889,0.783333333333,5280.0
2016-05-13 10:30:00,-0.112,2240.0,7520.0,0.424242424242,0.783333333333,7520.0
2016-05-13 11:00:00,0.038,-760.0,6760.0,-0.101063829787,0.640476190476,6760.0
2016-05-13 11:30:00,0.219,-4380.0,2380.0,-0.647928994083,0.640476190476,2380.0
2016-05-13 12:00:00,0.1085,-2170.0,209.999999999,-0.911764705883,0.640476190476,209.999999999
2016-05-13 12:30:00,-0.0755,1510.0,1720.0,7.1904761905,0.740476190476,1720.0
2016-05-13 13:00:00,-0.2755,5510.0,7230.0,3.20348837209,0.740476190476,7230.0
2016-05-13 13:30:00,-0.4885,9770.0,17000.0,1.35131396957,0.740476190476,17000.0
2016-05-13 14:00:00,-0.441,8820.0,25820.0,0.518823529412,0.740476190476,25820.0
2016-05-13 14:30:00,-0.6005,12010.0,37830.0,0.465143299768,0.740476190476,37830.0
2016-05-13 15:00:00,-0.74,14800.0,52630.0,0.391223896379,0.740476190476,52630.0
2016-05-13 15:30:00,-0.7225,14450.0,67080.0,0.274558236747,0.740476190476,67080.0
2016-05-13 16:00:00,-0.6225,12450.0,79530.0,0.185599284436,0.740476190476,79530.0
2016-05-13 16:30:00,-0.7345,14690.0,94220.0,0.184710172262,0.740476190476,94220.0
2016-05-13 17:00:00,-0.618,12360.0,106580.0,0.131182339206,0.740476190476,106580.0
2016-05-13 17:30:00,-0.6655,13310.0,119890.0,0.124882717208,0.740476190476,119890.0
2016-05-13 18:00:00,0.018,-360.0,119530.0,-0.00300275252315,0.692857142857,119530.0
2016-05-13 18:30:00,0.016,-320.0,119210.0,-0.00267715217937,0.692857142857,119210.0
2016-05-13 19:00:00,0.055,-1100.0,118110.0,-0.00922741380757,0.692857142857,118110.0
2016-05-13 19:30:00,0.053,-1060.0,117050.0,-0.00897468461604,0.692857142857,117050.0
2016-05-13 20:00:00,-0.164,3280.0,120330.0,0.0280222127296,0.732857142857,120330.0
2016-05-13 20:30:00,-0.198,3960.0,124290.0,0.0329094988781,0.732857142857,124290.0
2016-05-13 21:00:00,-0.056,1120.0,125410.0,0.0090111835224,0.732857142857,125410.0
2016-05-13 21:30:00,-0.062,1240.0,126650.0,0.00988756877442,0.732857142857,126650.0
2016-05-13 22:00:00,-0.058,1160.0,127810.0,0.00915909988156,0.732857142857,127810.0
2016-05-13 22:30:00,0.014,-280.0,127530.0,-0.00219075189735,0.699523809524,127530.0
2016-05-13 23:00:00,0.126,-2520.0,125010.0,-0.0197600564573,0.699523809524,125010.0
2016-05-13 23:30:00,-0.00600000000001,120.0,125130.0,0.000959923206146,0.730773809524,125130.0
2016-05-14 00:00:00,-0.00600000000001,120.0,125250.0,0.00095900263726,0.730773809524,125250.0
2016-05-16 01:00:00,0.146,-2920.0,122330.0,-0.0233133732535,0.701362044818,122330.0
2016-05-16 01:30:00,-0.091,1820.0,124150.0,0.0148777895855,0.729933473389,124150.0
2016-05-16 02:00:00,-0.078,1560.0,125710.0,0.0125654450262,0.729933473389,125710.0
2016-05-16 02:30:00,0.065,-1300.0,124410.0,-0.0103412616339,0.702906446362,124410.0
2016-05-16 03:00:00,0.022,-440.0,123970.0,-0.00353669319187,0.702906446362,123970.0
2016-05-16 03:30:00,0.052,-1040.0,122930.0,-0.00838912640155,0.702906446362,122930.0
2016-05-16 04:00:00,0.029,-580.0,122350.0,-0.0047181322704,0.702906446362,122350.0
2016-05-16 04:30:00,0.076,-1520.0,120830.0,-0.0124233755619,0.702906446362,120830.0
2016-05-16 05:00:00,-0.013,260.0,121090.0,0.00215178349748,0.726715970172,121090.0
2016-05-16 05:30:00,0.061,-1220.0,119870.0,-0.0100751507143,0.703460156218,119870.0
2016-05-16 06:00:00,-0.036,720.0,120590.0,0.0060065070493,0.726187428946,120590.0
2016-05-16 06:30:00,0.1,-2000.0,118590.0,-0.0165851231445,0.703965206723,118590.0
2016-05-16 07:00:00,-0.061,1220.0,119810.0,0.0102875453242,0.725704337158,119810.0
2016-05-16 07:30:00,-0.021,420.0,120230.0,0.00350555045488,0.725704337158,120230.0
2016-05-16 08:00:00,-0.001,20.0000000001,120250.0,0.00016634783332,0.725704337158,120250.0
