,gainAhead,safef,signals,trade,numBars,equity,maxEquity,drawdown,maxDD
2016-03-25 04:56:00,0.0,1,1,0.0,0.0,1.0,1.0,0.0,0.0
2016-03-25 04:57:00,-5.2429568078e-06,1,1,0.0,1.0,1.0,1.0,0.0,0.0
2016-03-25 05:01:00,6.02834749193e-06,1,1,-5.2429568078e-06,2.0,0.999994757043,1.0,5.24295680782e-06,5.24295680782e-06
2016-03-25 05:02:00,4.46595781747e-07,1,1,6.02831588556e-06,3.0,1.00000078536,1.00000078536,0.0,5.24295680782e-06
2016-03-25 05:08:00,-6.48405320539e-06,1,1,4.46596132485e-07,4.0,1.00000123196,1.00000123196,0.0,5.24295680782e-06
2016-03-25 05:09:00,3.6272368003e-06,1,1,-6.48406119346e-06,5.0,0.999994747894,1.00000123196,6.48405320535e-06,6.48405320535e-06
2016-03-25 05:10:00,-4.68341340274e-07,1,1,3.62721774966e-06,6.0,0.999998375112,1.00000123196,2.8568399242e-06,6.48405320535e-06
2016-03-25 05:15:00,1.7316937062e-06,1,1,-4.68340579271e-07,7.0,0.999997906771,1.00000123196,3.32517992654e-06,6.48405320535e-06
2016-03-25 05:16:00,7.99391831122e-06,1,1,1.73169008136e-06,8.0,0.999999638461,1.00000123196,1.59349197858e-06,6.48405320535e-06
2016-03-25 05:17:00,-5.25174000833e-06,1,1,7.99391542111e-06,9.0,1.00000763238,1.00000763238,0.0,6.48405320535e-06
2016-03-25 05:22:00,-4.35245464956e-07,1,1,-5.25178009159e-06,10.0,1.0000023806,1.00000763238,5.25174000844e-06,6.48405320535e-06
2016-03-25 05:23:00,2.52884024684e-06,1,1,-4.352465011e-07,11.0,1.00000194535,1.00000763238,5.68698318756e-06,6.48405320535e-06
2016-03-25 05:24:00,-4.56486383001e-06,1,1,2.52884516632e-06,12.0,1.0000044742,1.00000763238,3.15815732213e-06,6.48405320535e-06
2016-03-25 05:25:00,-6.84604122288e-06,1,1,-4.5648842541e-06,13.0,0.999999909311,1.00000763238,7.72300673564e-06,7.72300673564e-06
2016-03-25 05:26:00,3.18297629132e-06,1,1,-6.84604060202e-06,14.0,0.99999306327,1.00000763238,1.45689950864e-05,1.45689950864e-05
2016-03-25 05:27:00,-3.44942183186e-06,1,1,3.18295421187e-06,15.0,0.999996246225,1.00000763238,1.13860651679e-05,1.45689950864e-05
2016-03-25 05:28:00,-5.41797295711e-06,1,1,-3.4494088835e-06,16.0,0.999992796816,1.00000763238,1.48354477244e-05,1.48354477244e-05
2016-03-25 05:29:00,-2.59048836416e-06,1,1,-5.41793393045e-06,17.0,0.999987378882,1.00000763238,2.02533403035e-05,2.02533403035e-05
2016-03-25 05:30:00,5.29593557193e-06,1,1,-2.5904556693e-06,18.0,0.999984788426,1.00000763238,2.28437762017e-05,2.28437762017e-05
2016-03-25 05:32:00,-1.07681156449e-06,1,1,5.29585501241e-06,19.0,0.999990084281,1.00000763238,1.75479616089e-05,2.28437762017e-05
2016-03-25 05:33:00,-2.17997379316e-06,1,1,-1.07680088713e-06,20.0,0.99998900748,1.00000763238,1.86247542775e-05,2.28437762017e-05
2016-03-25 05:34:00,6.09239659263e-06,1,1,-2.17994982976e-06,21.0,0.99998682753,1.00000763238,2.08046874692e-05,2.28437762017e-05
2016-03-25 05:35:00,-3.11166894529e-06,1,1,6.09231634072e-06,22.0,0.999992919847,1.00000763238,1.4712417627e-05,2.28437762017e-05
2016-03-25 05:36:00,-1.02339637719e-06,1,1,-3.1116469142e-06,23.0,0.9999898082,1.00000763238,1.78240407921e-05,2.28437762017e-05
2016-03-25 05:37:00,-5.26477218295e-06,1,1,-1.02338594694e-06,24.0,0.999988784814,1.00000763238,1.88474189283e-05,2.28437762017e-05
2016-03-25 05:38:00,-3.13571334165e-06,1,1,-5.26471313755e-06,25.0,0.999983520101,1.00000763238,2.41120918839e-05,2.41120918839e-05
2016-03-25 05:39:00,-7.60593405312e-06,1,1,-3.13566166541e-06,26.0,0.999980384439,1.00000763238,2.7247729617e-05,2.7247729617e-05
2016-03-25 05:40:00,5.26147394557e-06,1,1,-7.60578485846e-06,27.0,0.999972778654,1.00000763238,3.48534564257e-05,3.48534564257e-05
2016-03-25 05:41:00,-1.09656946273e-05,1,1,5.26133072117e-06,28.0,0.999978039985,1.00000763238,2.95921658606e-05,3.48534564257e-05
2016-03-25 05:42:00,7.6036383372e-06,1,1,-1.09654538204e-05,29.0,0.999967074531,1.00000763238,4.05575359892e-05,4.05575359892e-05
2016-03-25 05:43:00,-4.38505705284e-06,1,1,7.60338798384e-06,30.0,0.999974677919,1.00000763238,3.29542060368e-05,4.05575359892e-05
2016-03-25 05:44:00,1.01891468925e-05,1,1,-4.38494601408e-06,31.0,0.999970292973,1.00000763238,3.73391185835e-05,4.05575359892e-05
2016-03-25 05:47:00,-1.32822317971e-05,1,1,1.01888442033e-05,32.0,0.999980481817,1.00000763238,2.71503521448e-05,4.05575359892e-05
2016-03-25 05:48:00,-4.37464874729e-05,1,1,-1.3281972552e-05,33.0,0.999967199845,1.00000763238,4.04322233246e-05,4.05575359892e-05
2016-03-25 05:51:00,2.50585073706e-05,1,1,-4.37450525813e-05,34.0,0.999923454792,1.00000763238,8.41769420297e-05,8.41769420297e-05
2016-03-25 05:52:00,1.37484051263e-06,1,1,2.5056589262e-05,35.0,0.999948511381,1.00000763238,5.91205440076e-05,8.41769420297e-05
2016-03-25 05:53:00,-9.71165311757e-06,1,1,1.374769724e-06,36.0,0.999949886151,1.00000763238,5.77457847763e-05,8.41769420297e-05
2016-03-25 05:54:00,-8.07116730924e-05,1,1,-9.71116642925e-06,37.0,0.999940174985,1.00000763238,6.74568770868e-05,8.41769420297e-05
2016-03-25 05:55:00,1.86109560046e-05,1,1,-8.07068445153e-05,38.0,0.99985946814,1.00000763238,0.000148163105622,0.000148163105622
2016-03-25 05:56:00,-6.03524805767e-06,1,1,1.86083405723e-05,39.0,0.999878076481,1.00000763238,0.000129554907074,0.000148163105622
2016-03-25 05:57:00,5.05290345946e-05,1,1,-6.03451221899e-06,40.0,0.999872041969,1.00000763238,0.000135589373236,0.000148163105622
2016-03-25 05:58:00,3.01461128278e-06,1,1,5.05225689988e-05,41.0,0.999922564538,1.00000763238,8.50671898416e-05,0.000148163105622
2016-03-25 06:02:00,4.56307949358e-06,1,1,3.01437784496e-06,42.0,0.999925578915,1.00000763238,8.20528350033e-05,0.000148163105622
2016-03-25 06:03:00,7.75748582946e-06,1,1,4.56273990425e-06,43.0,0.999930141655,1.00000763238,7.74901299233e-05,0.000148163105622
2016-03-25 06:04:00,1.56345628734e-05,1,1,7.75694390434e-06,44.0,0.999937898599,1.00000763238,6.97332452225e-05,0.000148163105622
2016-03-25 06:05:00,-1.68196438868e-05,1,1,1.56335919452e-05,45.0,0.999953532191,1.00000763238,5.40997725978e-05,0.000148163105622
2016-03-25 06:08:00,-5.92795458609e-05,1,1,-1.68188623148e-05,46.0,0.999936713329,1.00000763238,7.09185065457e-05,0.000148163105622
2016-03-25 06:09:00,-6.39416973085e-07,1,1,-5.92757942557e-05,47.0,0.999877437535,1.00000763238,0.00013019384839,0.000148163105622
2016-03-25 06:10:00,-2.82255218533e-05,1,1,-6.39338604564e-07,48.0,0.999876798196,1.00000763238,0.000130833182115,0.000148163105622
2016-03-25 06:11:00,-1.51734032647e-05,1,1,-2.82220444181e-05,49.0,0.999848576152,1.00000763238,0.000159055011133,0.000159055011133
2016-03-25 06:12:00,-3.68739040563e-05,1,1,-1.51711056496e-05,50.0,0.999833405046,1.00000763238,0.000174226000992,0.000174226000992
