,signals,gainAhead,safef,safef,trade,numBars,equity,maxEquity,drawdown,maxDD
2016-03-20 22:55:00,1.0,-4.4831274297e-05,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2016-03-20 22:56:00,1.0,1.92142646702e-05,1.0,1.0,-4.4831274297e-05,1.0,0.999955168726,1.0,4.4831274297e-05,4.4831274297e-05
2016-03-20 22:57:00,1.0,-9.60694774461e-05,1.0,1.0,1.92134032702e-05,2.0,0.999974382129,1.0,2.56178710267e-05,4.4831274297e-05
2016-03-20 22:58:00,1.0,7.04577189633e-05,1.0,1.0,-9.60670163507e-05,3.0,0.999878315113,1.0,0.000121684887377,0.000121684887377
2016-03-20 22:59:00,1.0,-7.68575509341e-05,1.0,1.0,7.04491453237e-05,4.0,0.999948764258,1.0,5.12357420537e-05,0.000121684887377
2016-03-20 23:00:00,1.0,3.20264410298e-05,1.0,1.0,-7.68536130804e-05,5.0,0.999871910645,1.0,0.000128089355134,0.000128089355134
2016-03-20 23:01:00,1.0,0.0,1.0,1.0,3.20223387836e-05,6.0,0.999903932984,1.0,9.60670163505e-05,0.000128089355134
2016-03-20 23:02:00,1.0,7.04559138132e-05,1.0,1.0,0.0,7.0,0.999903932984,1.0,9.60670163505e-05,0.000128089355134
2016-03-20 23:03:00,1.0,0.0,1.0,1.0,7.04491453238e-05,8.0,0.999974382129,1.0,2.56178710266e-05,0.000128089355134
2016-03-20 23:04:00,1.0,0.0,1.0,1.0,0.0,9.0,0.999974382129,1.0,2.56178710266e-05,0.000128089355134
2016-03-20 23:05:00,1.0,2.56185273188e-05,1.0,1.0,0.0,10.0,0.999974382129,1.0,2.56178710266e-05,0.000128089355134
2016-03-20 23:06:00,1.0,-5.76402098103e-05,1.0,1.0,2.56178710267e-05,11.0,1.0,1.0,0.0,0.000128089355134
2016-03-20 23:07:00,1.0,-1.28096738658e-05,1.0,1.0,-5.76402098103e-05,12.0,0.99994235979,1.0,5.76402098104e-05,0.000128089355134
2016-03-20 23:08:00,1.0,-5.12393518221e-05,1.0,1.0,-1.28089355135e-05,13.0,0.999929550855,1.0,7.04491453238e-05,0.000128089355134
2016-03-20 23:09:00,1.0,-9.60787076772e-05,1.0,1.0,-5.12357420536e-05,14.0,0.999878315113,1.0,0.000121684887377,0.000128089355134
2016-03-20 23:10:00,1.0,0.0,1.0,1.0,-9.60670163505e-05,15.0,0.999782248096,1.0,0.000217751903728,0.000217751903728
