,signals,gainAhead,safef,safef,trade,numBars,equity,maxEquity,drawdown,maxDD
2016-03-18 16:54:00,-1.0,4.93098857355e-05,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2016-03-18 16:55:00,-1.0,9.41324129275e-05,5.0,5.0,-0.0,1.0,1.0,1.0,0.0,0.0
2016-03-18 16:56:00,-1.0,-5.82669612884e-05,5.0,5.0,-0.000470662064637,2.0,0.999529337935,1.0,0.000470662064637,0.000470662064637
2016-03-18 16:57:00,-1.0,-1.34470053518e-05,5.0,5.0,0.0002911976862,3.0,0.999820535622,1.0,0.000179464378437,0.000470662064637
2016-03-18 16:58:00,-1.0,-5.37887447052e-05,0.0,0.0,6.72229604669e-05,4.0,0.999887758582,1.0,0.00011224141797,0.000470662064637
2016-03-18 16:59:00,-1.0,0.000336197738062,0.0,0.0,0.0,5.0,0.999887758582,1.0,0.00011224141797,0.000470662064637
2016-03-20 17:15:00,-1.0,5.82546895025e-05,0.0,0.0,-0.0,6.0,0.999887758582,1.0,0.00011224141797,0.000470662064637
2016-03-20 17:16:00,-1.0,-1.34426067902e-05,0.0,0.0,-0.0,7.0,0.999887758582,1.0,0.00011224141797,0.000470662064637
2016-03-20 17:17:00,-1.0,-0.000134427874964,0.0,0.0,0.0,8.0,0.999887758582,1.0,0.00011224141797,0.000470662064637
2016-03-20 17:18:00,-1.0,2.24076580412e-05,0.0,0.0,0.0,9.0,0.999887758582,1.0,0.00011224141797,0.000470662064637
2016-03-20 17:19:00,-1.0,0.0,0.0,0.0,-0.0,10.0,0.999887758582,1.0,0.00011224141797,0.000470662064637
2016-03-20 17:20:00,-1.0,0.0,0.0,0.0,-0.0,11.0,0.999887758582,1.0,0.00011224141797,0.000470662064637
2016-03-20 17:21:00,-1.0,-3.13700183291e-05,0.0,0.0,-0.0,12.0,0.999887758582,1.0,0.00011224141797,0.000470662064637
2016-03-20 17:22:00,-1.0,0.000197189158182,0.0,0.0,0.0,13.0,0.999887758582,1.0,0.00011224141797,0.000470662064637
2016-03-20 17:23:00,-1.0,-3.1364817636e-05,0.0,0.0,-0.0,14.0,0.999887758582,1.0,0.00011224141797,0.000470662064637
2016-03-20 17:24:00,-1.0,-5.37699452891e-05,0.0,0.0,0.0,15.0,0.999887758582,1.0,0.00011224141797,0.000470662064637
