,signals,gainAhead,safef,trade,numBars,equity,maxEquity,drawdown,maxDD
2016-03-23 22:28:00,1.0,4.32492280012e-05,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2016-03-23 22:29:00,-1.0,0.000103793658208,1.0,4.32492280012e-05,1.0,1.00004324923,1.00004324923,0.0,0.0
2016-03-23 22:30:00,-1.0,-0.000108107173127,1.0,-0.000103798147203,2.0,0.999939451081,1.00004324923,0.000103793658208,0.000103793658208
2016-03-23 22:31:00,-1.0,-0.000121093124938,1.0,0.000108100627355,3.0,1.00004755171,1.00004755171,0.0,0.000103793658208
2016-03-23 22:32:00,-1.0,-9.51561209176e-05,1.0,0.000121098883123,4.0,1.00016865059,1.00016865059,0.0,0.000103793658208
2016-03-23 22:33:00,-1.0,-9.08394866272e-05,1.0,9.51721690536e-05,5.0,1.00026382276,1.00026382276,0.0,0.000103793658208
2016-03-23 22:34:00,-1.0,4.32608281867e-06,1.0,9.08634521513e-05,6.0,1.00035468621,1.00035468621,0.0,0.000103793658208
2016-03-23 22:35:00,-1.0,-4.32606410363e-05,1.0,-4.3276172206e-06,7.0,1.0003503586,1.00035468621,4.32608281865e-06,0.000103793658208
2016-03-23 22:36:00,-1.0,-0.000103830030241,1.0,4.32757977737e-05,8.0,1.00039363439,1.00039363439,0.0,0.000103793658208
2016-03-23 22:37:00,-1.0,-7.35539085249e-05,1.0,0.000103870901311,9.0,1.00049750529,1.00049750529,0.0,0.000103793658208
2016-03-23 22:38:00,-1.0,-0.000134137581889,1.0,7.35905019838e-05,10.0,1.0005710958,1.0005710958,0.0,0.000103793658208
2016-03-23 22:39:00,-1.0,-6.49139889646e-05,1.0,0.000134214187298,11.0,1.00070530998,1.00070530998,0.0,0.000103793658208
2016-03-23 22:40:00,-1.0,0.000220721890418,1.0,6.49597734491e-05,12.0,1.00077026976,1.00077026976,0.0,0.000103793658208
2016-03-23 22:41:00,-1.0,-1.29807754715e-05,1.0,-0.000220891905815,13.0,1.00054937785,1.00077026976,0.000220721890418,0.000220721890418
2016-03-23 22:42:00,-1.0,-3.89428319228e-05,1.0,1.2987906822e-05,14.0,1.00056236576,1.00077026976,0.000207743980088,0.000220721890418
2016-03-23 22:43:00,-1.0,-4.32714983621e-05,1.0,3.8964732038e-05,15.0,1.00060133049,1.00077026976,0.000168809238304,0.000220721890418
2016-03-23 22:44:00,-1.0,-9.08740788182e-05,1.0,4.32975188335e-05,16.0,1.00064462801,1.00077026976,0.00012554504457,0.000220721890418
2016-03-23 22:45:00,1.0,-0.000134159641318,1.0,9.09326587947e-05,17.0,1.00073556067,1.00077026976,3.46823745425e-05,0.000220721890418
2016-03-23 22:46:00,1.0,3.89547994476e-05,1.0,-0.000134258323873,18.0,1.00060130234,1.00077026976,0.000168837362885,0.000220721890418
2016-03-23 22:47:00,1.0,-4.32814244784e-06,1.0,3.89782230599e-05,19.0,1.00064028057,1.00077026976,0.000129889140463,0.000220721890418
2016-03-23 22:48:00,1.0,-7.7906901253e-05,1.0,-4.33091367335e-06,20.0,1.00063594965,1.00077026976,0.000134216720732,0.000220721890418
2016-03-23 22:49:00,1.0,-0.000151497444022,1.0,-7.79564461198e-05,21.0,1.00055799321,1.00077026976,0.000212113165576,0.000220721890418
2016-03-23 22:50:00,1.0,0.000112558010667,1.0,-0.000151581978566,22.0,1.00040641123,1.00077026976,0.000363578474995,0.000363578474995
2016-03-23 22:51:00,1.0,-2.59720021816e-05,1.0,0.000112603755506,23.0,1.00051901498,1.00077026976,0.000251061387998,0.000363578474995
2016-03-23 22:52:00,1.0,7.35892507748e-05,1.0,-2.59854820399e-05,24.0,1.0004930295,1.00077026976,0.000277026869613,0.000363578474995
2016-03-23 22:53:00,1.0,0.000138510749733,1.0,7.36255324465e-05,25.0,1.00056665503,1.00077026976,0.000203458005038,0.000363578474995
2016-03-23 22:54:00,1.0,0.000155803013057,1.0,0.000138589237546,26.0,1.00070524427,1.00077026976,6.4975436426e-05,0.000363578474995
2016-03-23 22:55:00,1.0,-1.73087491401e-05,1.0,0.00015591289224,27.0,1.00086115716,1.00086115716,0.0,0.000363578474995
