x,y
1452276905,447.04
1452363305,450.15
1452449705,446.24
1452536105,447.11
1452622505,446.66
1452708905,429.57
1452795305,431.9
1452881705,391.62
1452968105,370.4
1453054505,385.45
1453140905,385.28
1453227305,378.66
1453313705,408.33
1453400105,408.0
1453486505,385.7
1453572905,388.5
1453659305,404.75
1453745705,387.09
1453832105,394.12
1453918505,394.45
1454004905,382.44
1454091305,377.26
1454177705,378.24
1454264105,376.86
1454350505,372.0
1454436905,373.48
1454523305,368.38
1454609705,385.06
1454696105,386.49
1454782505,373.04
1454868905,373.74
1454955305,375.8
1455041705,372.61
1455128105,378.98
1455214505,376.75
1455300905,381.46
1455387305,388.6
1455473705,402.38
1455560105,402.64
1455646505,406.69
1455732905,418.04
1455819305,418.97
1455905705,418.02
1455992105,439.48
1456078505,434.67
1456164905,438.5
1456251305,417.0
1456337705,423.1
1456424105,421.4
1456510505,424.34
1456596905,432.0
1456683305,433.47
1456769705,436.18
1456856105,431.87
1456942505,429.99
1457028905,421.44
1457115305,416.48
1457201705,401.0
1457288105,408.86
1457374505,411.94
1457441942,411.0
