model,params,sample,FS,cols,featureRank,input_signal,test_split,longMemory,v_start,statsLookback,rfe_model,RSILookback,data_type,wf_step,iters,t_start,ticker,rows,ACLookback,ROCLookback,ATRLookback,zScoreLookback,t_end,DPOLookback,v_end,signal,CCLookback,filter,rStochLookback,beLongThreshold,n_features,tox_adj,YIF,CAR75,safef,DD95,DD100,SOR25,C25sig,TPY,CAR25,CAR50,SHA25,f1,acc,prec,rec,fn_mag,fp_mag,avg_prec,logloss,ham,tp,fn,fp,tn,f1mm,accmm,precmm,recmm,fn_magmm,fp_magmm,CAR25mm,CAR50mm,CAR75mm,TPYmm,scoremm,timestamp,cycleTime,lastBarTime
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,64,"['priceChangeY2', 'priceChangeY3', 'priceChangeY4', 'mean60_ga', 'std60_ga', 'autoCor', 'autoCor_Y1', 'autoCor_Y2', 'autoCor_Y3', 'autoCor_Y4']",1,0,False,2016-03-18 16:09:00,100,None,1.5,ALL,1,1,2016-03-11 03:19:00,EURJPY,25,12,600,5,10,2016-03-18 16:08:00,10,2016-03-18 16:58:00,"ZZ 0.006,-0.006",60,DF1,300,0.0,10,0,0.198412698413,50.8961975896,56.9886605952,0.0467005454978,0.0559503289888,0.0,"ZZ 0.006,-0.006",252.0,26.307479161,41.4618643335,0.0,0.0,0.56,0.0,0.0,7.11673875608e-05,0.0,0.72,15.1970616138,0.44,0,22,0,28,0.0,0.857142857143,0.0,0.0,-0.611539031598,-0.0,1.0,1.0,0.872159190092,-0.0,2.26062015849,2016-03-19 19:51:45,,
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,64,"['priceChangeY2', 'priceChangeY3', 'priceChangeY4', 'mean60_ga', 'std60_ga', 'autoCor', 'autoCor_Y1', 'autoCor_Y2', 'autoCor_Y3', 'autoCor_Y4']",1,0,False,2016-03-18 16:09:00,100,None,1.5,ALL,1,1,2016-03-11 03:19:00,EURJPY,25,12,600,5,10,2016-03-18 16:08:00,10,2016-03-18 16:58:00,"ZZ 0.006,-0.006",60,DF1,300,0.0,10,0,0.198412698413,50.8961975896,56.9886605952,0.0467005454978,0.0559503289888,0.0,"ZZ 0.006,-0.006",252.0,26.307479161,41.4618643335,0.0,0.0,0.56,0.0,0.0,7.11673875608e-05,0.0,0.72,15.1970616138,0.44,0,22,0,28,0.0,0.857142857143,0.0,0.0,-0.611539031598,-0.0,1.0,1.0,0.872159190092,-0.0,2.26062015849,2016-03-19 19:51:45,,
GNBayes,GaussianNB(),DF1,None,64,"['priceChangeY2', 'priceChangeY3', 'priceChangeY4', 'mean60_ga', 'std60_ga', 'autoCor', 'autoCor_Y1', 'autoCor_Y2', 'autoCor_Y3', 'autoCor_Y4']",1,0,False,2016-03-18 16:09:00,100,None,1.5,ALL,1,1,2016-03-11 03:19:00,EURJPY,25,12,600,5,10,2016-03-18 16:08:00,10,2016-03-18 16:58:00,"ZZ 0.006,-0.006",60,DF1,300,0.0,10,0,0.198412698413,58.3015435976,58.3083647994,0.051644891635,0.0622748205121,0.0,"ZZ 0.006,-0.006",252.0,13.5082524873,39.6791625135,0.0,0.0,0.56,0.0,0.0,7.11673875608e-05,0.0,0.72,15.1970616138,0.44,0,22,0,28,0.0,0.857142857143,0.0,0.0,-0.611539031598,-0.0,0.837510275006,1.0,1.0,-0.0,2.22597124341,2016-03-19 20:24:49,,
GNBayes,GaussianNB(),DF1,None,64,"['Pri_rStochCADJPY', 'Pri_rStochNZDJPY', 'Pri_rStochEURUSD', 'Pri_rStochAUDJPY', 'Pri_RSI', 'Pri_rStoch', 'Pri_rStoch_Y1', 'mean60_ga', 'autoCor_Y1', 'autoCor_Y2']",1,0,False,2016-03-17 17:37:00,100,None,1.5,ALL,1,1,2016-03-11 03:19:00,EURJPY,500,12,600,5,10,2016-03-17 17:36:00,10,2016-03-18 16:58:00,gainAhead,60,DF1,300,0.0,10,0,5.55555555556,3.10950078536,8.12303942073,0.0509588531416,0.065235001499,0.0,gainAhead,252.0,1.59802137341,2.46217889916,0.0,0.544698544699,0.530714285714,0.53036437247,0.559829059829,0.000100506113269,0.000126061427313,0.655453859006,16.2087531081,0.469285714286,393,309,348,350,0.889966130526,1.0,1.0,0.719257540603,-0.0,-0.695860242792,1.0,1.0,1.0,-0.0,2.30413975721,2016-03-20 02:45:56,,
GNBayes,GaussianNB(),DF1,None,64,"['Pri_rStochCADJPY', 'Pri_rStochNZDJPY', 'Pri_rStochEURUSD', 'Pri_rStochAUDJPY', 'Pri_RSI', 'Pri_rStoch', 'Pri_rStoch_Y1', 'mean60_ga', 'autoCor_Y1', 'autoCor_Y2']",1,0,False,2016-03-17 17:37:00,100,None,1.5,ALL,1,1,2016-03-11 03:19:00,EURJPY,500,12,600,5,10,2016-03-17 17:36:00,10,2016-03-18 16:58:00,gainAhead,60,DF1,300,0.0,10,0,5.55555555556,3.76140350675,9.24474234222,0.053625885233,0.0613956516613,0.0,gainAhead,252.0,2.29665391625,3.2254617443,0.0,0.544698544699,0.530714285714,0.53036437247,0.559829059829,0.000100506113269,0.000126061427313,0.655453859006,16.2087531081,0.469285714286,393,309,348,350,0.889966130526,1.0,1.0,0.719257540603,-0.0,-0.695860242792,1.0,1.0,1.0,-0.0,2.30413975721,2016-03-20 06:48:12,,
