model,params,sample,CAR25,FS,f1mm,f1,rec,CAR75,cols,DD95,featureRank,fn,fn_magmm,validationPeriod,logloss,input_signal,ham,test_split,longMemory,scoremm,prec,C25sig,tn,v_start,statsLookback,TPY,rfe_model,CAR50mm,fp_magmm,fp,RSILookback,YIF,data_type,wf_step,iters,CAR25mm,SHA25,avg_prec,t_start,fn_mag,ticker,rows,DD100,ACLookback,SOR25,ROCLookback,fp_mag,accmm,ATRLookback,zScoreLookback,t_end,acc,recmm,safef,DPOLookback,v_end,signal,tp,CCLookback,precmm,filter,TPYmm,CAR50,rStochLookback,beLongThreshold,n_features,tox_adj,CAR75mm,timestamp,validationPeriod.1
GNBayes,GaussianNB(),DF1,0.0405708746722,None,0.0,0.492866407263,0.487894350697,0.805376916724,56,0.047868667164,"['corrGBPUSD', 'priceChangeGBPUSD', 'priceChangeAUDJPY', 'ROC_AUDJPY', 'corrUSDCAD', 'ROC_NZDUSD', 'Pri_ROC', 'priceChange', 'priceChangeY1', 'mean60_ga']",1396,-0.0,250,16.881018438,1,0.48875,0,False,1.0,0.497940846125,AUDUSD Validation Period 250,1533,2016-03-17 17:26:00,100,252.0,None,1.0,-1.0,1341,1.5,2.85714285714,ALL,1,1,1.0,0.0,0.617560455554,2016-03-11 08:34:00,0.000161497101685,AUDUSD,500,0.0783961984667,12,0.0,500,0.000172663153049,1.0,5,10,2016-03-17 17:25:00,0.51125,0.0,3.09997527997,10,2016-03-18 16:58:00,gainAhead,1330,60,1.0,DF1,-0.0,0.418719604031,300,0.0,10,0,0.0,2016-03-19 11:15:17,250.0
GNBayes,GaussianNB(),DF1,0.0405708746722,None,0.0,0.492866407263,0.487894350697,0.805376916724,56,0.047868667164,"['corrGBPUSD', 'priceChangeGBPUSD', 'priceChangeAUDJPY', 'ROC_AUDJPY', 'corrUSDCAD', 'ROC_NZDUSD', 'Pri_ROC', 'priceChange', 'priceChangeY1', 'mean60_ga']",1396,-0.0,250,16.881018438,1,0.48875,0,False,1.0,0.497940846125,AUDUSD Validation Period 250,1533,2016-03-17 17:26:00,100,252.0,None,1.0,-1.0,1341,1.5,2.85714285714,ALL,1,1,1.0,0.0,0.617560455554,2016-03-11 08:34:00,0.000161497101685,AUDUSD,500,0.0783961984667,12,0.0,500,0.000172663153049,1.0,5,10,2016-03-17 17:25:00,0.51125,0.0,3.09997527997,10,2016-03-18 16:58:00,gainAhead,1330,60,1.0,DF1,-0.0,0.418719604031,300,0.0,10,0,0.0,2016-03-19 11:15:17,250.0
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,7.11357104492,None,1.0,0.452261306533,0.401785714286,15.2437891443,56,0.0522591811603,"['corrEURUSD', 'Pri_rStochEURUSD', 'ROC_EURUSD', 'Pri_rStoch', 'Pri_rStoch_Y4', 'Pri_ATR_Y1', 'Pri_ATR_Y4', 'priceChangeY3', 'mean60_ga', 'autoCor_Y4']",67,-0.0,50,15.0590408405,1,0.436,0,False,2.0,0.51724137931,AUDUSD Validation Period 50,96,2016-03-18 12:48:00,100,252.0,None,1.0,-1.0,42,1.5,0.992063492063,ALL,1,1,1.0,0.0,0.593513546798,2016-03-18 08:28:00,0.00011397317157,AUDUSD,10,0.0550580053794,12,0.0,500,8.16010015092e-05,1.0,5,10,2016-03-18 12:47:00,0.564,1.0,19.9879309096,10,2016-03-18 16:58:00,gainAhead,45,60,1.0,DF1,-0.0,10.8281410235,300,0.0,10,0,1.0,2016-03-19 19:30:46,
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,5.76040131707,None,1.0,0.381502890173,0.294642857143,10.6617735863,56,0.0507014175649,"['corrEURUSD', 'Pri_rStochEURUSD', 'ROC_EURUSD', 'Pri_rStoch', 'Pri_rStoch_Y4', 'Pri_ATR_Y1', 'Pri_ATR_Y4', 'priceChangeY3', 'mean60_ga', 'autoCor_Y4']",79,-1.0,50,14.7826858519,1,0.428,0,False,1.0,0.540983606557,AUDUSD Validation Period 50,110,2016-03-18 12:48:00,100,252.0,None,1.0,-1.0,28,1.5,0.992063492063,ALL,1,1,1.0,0.0,0.57581323185,2016-03-18 08:28:00,0.000120316719538,AUDUSD,10,0.0699493611253,12,0.0,500,6.43654822989e-05,1.0,5,10,2016-03-18 12:47:00,0.572,1.0,17.8377357306,10,2016-03-18 16:58:00,gainAhead,33,60,1.0,DF1,-0.0,8.18997923592,300,0.0,10,0,1.0,2016-03-19 19:40:57,
GNBayes,GaussianNB(),DF1,-0.341359820202,None,1.0,0.53121801433,0.571166544387,1.05512897198,56,0.0503942926453,"['corrGBPUSD', 'priceChangeGBPUSD', 'priceChangeAUDJPY', 'ROC_AUDJPY', 'corrUSDCAD', 'ROC_NZDUSD', 'Pri_ROC', 'priceChange', 'priceChangeY1', 'mean60_ga']",1169,-1.0,1400,16.948896446,1,0.490714285714,0,False,2.0,0.496492346939,AUDUSD Validation Period 1400,1295,2016-03-17 17:26:00,100,252.0,None,1.0,-0.0,1579,1.5,2.85714285714,ALL,1,1,1.0,0.0,0.638204445663,2016-03-11 08:34:00,0.000165197120841,AUDUSD,500,0.0541733505637,12,0.0,500,0.000164051822388,0.0,5,10,2016-03-17 17:25:00,0.509285714286,1.0,3.92524660868,10,2016-03-18 16:58:00,gainAhead,1557,60,0.0,DF1,-0.0,0.456881408389,300,0.0,10,0,1.0,2016-03-19 23:02:13,
