dates,signals,gainAhead,safef,CAR25,dd95,ddTol
2006-10-23,1,0.00289697628101,2.0,235.558356957,0.0,0.0117953564924
2006-10-24,1,0.00324968405849,2.0,131.390431673,0.0,0.0117953564924
2006-10-25,1,0.00269929818247,2.0,156.252772413,0.0,0.0117953564924
2006-10-26,1,-0.00592246949031,2.0,118.524773462,0.0,0.0117953564924
2006-10-27,0,-0.0010832280195,0.0,0.0,0.0,0.0
2006-10-30,1,0.0,0.0,-96.7726631841,0.0,0.0117953564924
2006-10-31,1,-0.00741008494488,0.0,0.0,0.0,0.0117953564924
2006-11-01,1,-0.00127458120903,0.0,-88.3682371565,0.0,0.0117953564924
2006-11-02,1,-0.00200546946217,0.0,-30.8914261182,0.0,0.0117953564924
2006-11-03,1,0.0111435878699,0.0,-44.0927787329,0.0,0.0117953564924
2006-11-06,1,0.00379403794038,2.0,2403.93412037,0.0,0.0117953564924
2006-11-07,1,0.00179985601152,2.0,199.95750074,0.0,0.0117953564924
2006-11-08,1,-0.00538986704995,2.0,68.4323016427,0.0,0.0117953564924
2006-11-09,0,0.000541907514451,0.0,0.0,0.0,0.0
2006-11-10,1,0.00234699404225,0.0,-79.0722044702,0.0,0.0117953564924
2006-11-13,1,0.00702449567723,2.0,97.340426203,0.0,0.0117953564924
2006-11-14,1,0.00268288320515,2.0,663.033886539,0.0,0.0117953564924
2006-11-15,0,0.0024973242954,0.0,0.0,0.0,0.0
2006-11-16,0,-0.00017793594306,0.0,0.0,0.0,0.0
2006-11-17,0,0.00035593521979,0.0,0.0,0.0,0.0
2006-11-20,0,0.000711617149973,0.0,0.0,0.0,0.0
2006-11-21,0,0.0016,0.0,0.0,0.0,0.0
2006-11-22,0,-0.0177493787717,0.0,0.0,0.0,0.0
2006-11-27,0,0.00361402240694,0.0,0.0,0.0,0.0
2006-11-28,1,0.00990277277638,2.0,117.489096798,0.0,0.0117953564924
2006-11-29,0,0.000534854697807,0.0,0.0,0.0,0.0
2006-11-30,1,-0.00178189593728,2.0,1650.94741359,0.0,0.0117953564924
2006-12-01,1,0.00731881470903,0.0,-40.3468731695,0.0,0.0117953564924
2006-12-04,1,0.00425305688464,2.0,730.718793736,0.0,0.0117953564924
2006-12-05,1,-0.00141168166578,2.0,242.543074509,0.0,0.0117953564924
2006-12-06,1,-0.00424103198445,0.0,-33.5851690223,0.0,0.0117953564924
