,system,signals,gainAhead,safef,CAR25,EMA30,dd95,ddTol,trade,numDays,equity,maxEquity,drawdown,maxDD
2007-01-17,"2DF_ESlong2DF_ES__L250, L400(S250), S400(S250)_20060929to20160203_2 DPS wl2.0 maxL2 dd95_0.012 thres_0.0",1,0.0028969762810100003,2.0,235.558356957,235.558356957,0.0,0.011795356492399999,0.0,0.0,1.0,1.0,0.0,0.0
2007-01-18,"2DF_ESboth2DF_ES__L250, L400(S250), S400(S250)_20060929to20160203_2 DPS wl2.0 maxL2 dd95_0.012 thres_0.0",-1.0,0.0024420024419999999,2.0,202.460124135,202.460124135,0.0,0.011795356492399999,0.00579395256202,1.0,1.00579395256,1.00579395256,0.0,0.0
2007-01-19,"2DF_ESlong2DF_ES__L250, L400(S250), S400(S250)_20060929to20160203_2 DPS wl2.0 maxL2 dd95_0.012 thres_0.0",1,0.0026992981824699998,2.0,156.252772413,156.252772413,0.0,0.011795356492399999,-0.00491230257661,2.0,1.00088164999,1.00579395256,0.004884004884,0.004884004884
2007-01-22,"2DF_ESboth2DF_ES__L250, L400(S250), S400(S250)_20060929to20160203_2 DPS wl2.0 maxL2 dd95_0.012 thres_0.0",1.0,0.0031446540880500002,2.0,218.56178283900002,218.56178283900002,0.0,0.011795356492399999,0.00540335603735,3.0,1.00628500602,1.00628500602,0.0,0.004884004884
2007-01-23,"2DF_ESboth2DF_ES__L250, L400(S250), S400(S250)_20060929to20160203_2 DPS wl2.0 maxL2 dd95_0.012 thres_0.0",1.0,0.0074886799024700005,2.0,148.58261466799999,148.58261466799999,0.0,0.011795356492399999,0.00632883651587,4.0,1.01261384254,1.01261384254,0.0,0.004884004884
2007-01-24,"2DF_ESboth2DF_ES__L250, L400(S250), S400(S250)_20060929to20160203_2 DPS wl2.0 maxL2 dd95_0.012 thres_0.0",1.0,-0.0117545375972,2.0,772.47736921399996,772.47736921399996,0.0,0.011795356492399999,0.0151662818632,5.0,1.0277801244,1.0277801244,0.0,0.004884004884
2007-01-25,"('EMA30', 'less than threshold of', 0.0)",0,-0.00122441840126,0,0,0,0,0,-0.0241621602279,6.0,1.00361796417,1.0277801244,0.0235090751944,0.0235090751944
2007-01-26,"2DF_ESboth2DF_ES__L250, L400(S250), S400(S250)_20060929to20160203_2 DPS wl2.0 maxL2 dd95_0.012 thres_0.0",1.0,-0.00087565674255699999,2.0,42.579261469400002,42.579261469400002,0.0,0.011795356492399999,0.0,6.0,1.00361796417,1.0277801244,0.0235090751944,0.0235090751944
2007-01-29,"('EMA30', 'less than threshold of', 0.0)",0,0.00543382997371,0,0,0,0,0,-0.00175764967456,7.0,1.0018603145,1.0277801244,0.0252192169191,0.0252192169191
2007-01-30,"2DF_ESboth2DF_ES__L250, L400(S250), S400(S250)_20060929to20160203_2 DPS wl2.0 maxL2 dd95_0.012 thres_0.0",1.0,0.0062761506276200005,2.0,381.91067902300006,381.91067902300006,0.0,0.011795356492399999,0.0,7.0,1.0018603145,1.0277801244,0.0252192169191,0.0252192169191
