account,clientid,exchange,execid,expiry,orderid,permid,price,qty,side,symbol,symbol_currency,times
DU159913,9711,IDEALPRO,0001f4e8.56de7f97.01.01,,1,2103549817,0.9928,50000,BOT,USD,CHF,20160309  00:01:14
DU159913,6429,IDEALPRO,0001f4e8.56de9712.01.01,,1,2103549819,1.1051,50000,SLD,EUR,USD,20160309  01:01:26
DU159913,5338,IDEALPRO,0001f4e8.56de9714.01.01,,1,2103549820,0.992,50000,SLD,USD,CHF,20160309  01:01:27
DU159913,1994,IDEALPRO,0001f4e8.56de9716.01.01,,1,2103549821,112.475,50000,BOT,USD,JPY,20160309  01:01:28
DU159913,6722,IDEALPRO,0001f4e8.56dea2b5.01.01,,1,2103549830,1.10305,50000,BOT,EUR,USD,20160309  02:01:21
DU159913,8627,IDEALPRO,0001f4e8.56dea2b6.01.01,,1,2103549831,112.535,50000,SLD,USD,JPY,20160309  02:01:22
DU159913,7424,IDEALPRO,0001f4e8.56deac04.01.01,,1,2103549844,1.42255,50000,SLD,GBP,USD,20160309  03:01:32
DU159913,4671,IDEALPRO,0001f4e8.56deac05.01.01,,1,2103549845,112.57,50000,BOT,USD,JPY,20160309  03:01:33
DU159913,7134,IDEALPRO,0001f4e8.56deb4a9.01.01,,1,2103549861,1.42045,50000,BOT,GBP,USD,20160309  04:01:30
DU159913,5566,IDEALPRO,0001f4e8.56deb4aa.01.01,,1,2103549862,112.615,50000,SLD,USD,JPY,20160309  04:01:31
DU159913,9758,IDEALPRO,0001f4e8.56debbe3.01.01,,1,2103549883,1.34005,50000,BOT,USD,CAD,20160309  05:02:23
DU159913,9335,IDEALPRO,0001f4e8.56dec1ef.01.01,,1,2103549906,1.341,50000,SLD,USD,CAD,20160309  06:02:22
