account,clientid,exchange,execid,expiry,orderid,permid,price,qty,side,symbol,symbol_currency,times
DU159913,4027,IDEALPRO,0001f4e8.56dcf39d.01.01,,1,1742932415,1.09495,25000,SLD,EUR,USD,20160308  00:02:36
DU159913,7352,IDEALPRO,0001f4e8.56dcf39f.01.01,,1,1742932416,1.09495,25000,SLD,EUR,USD,20160308  00:02:52
DU159913,9434,IDEALPRO,0001f4e8.56dcf3a3.01.01,,1,1742932417,0.9998,25000,BOT,USD,CHF,20160308  00:03:03
DU159913,9185,IDEALPRO,0001f4e8.56dcf3a6.01.01,,1,1742932418,0.9998,25000,BOT,USD,CHF,20160308  00:03:14
DU159913,244,IDEALPRO,0001f4e8.56dcf3b0.01.01,,1,1742932419,1.33435,25000,BOT,USD,CAD,20160308  00:03:40
DU159913,8439,IDEALPRO,0001f4e8.56dcf3b9.01.01,,1,1742932420,1.33405,25000,BOT,USD,CAD,20160308  00:03:51
DU159913,7250,IDEALPRO,0001f4e8.56dd02eb.01.01,,1,1742932433,1.09815,25000,BOT,EUR,USD,20160308  01:02:36
DU159913,9430,IDEALPRO,0001f4e8.56dd02ff.01.01,,1,1742932434,1.09815,25000,BOT,EUR,USD,20160308  01:02:51
DU159913,4459,IDEALPRO,0001f4e8.56dd0300.01.01,,1,1742932435,1.42035,25000,BOT,GBP,USD,20160308  01:02:52
DU159913,8310,IDEALPRO,0001f4e8.56dd030b.01.01,,1,1742932436,1.4205,25000,BOT,GBP,USD,20160308  01:03:04
DU159913,3275,IDEALPRO,0001f4e8.56dd0fff.01.01,,1,1742932457,1.4263,25000,SLD,GBP,USD,20160308  02:02:41
DU159913,7539,IDEALPRO,0001f4e8.56dd1006.01.01,,1,1742932458,1.42625,25000,SLD,GBP,USD,20160308  02:02:54
DU159913,8919,IDEALPRO,0001f4e8.56dd1008.01.01,,1,1742932459,0.9959,25000,SLD,USD,CHF,20160308  02:02:55
DU159913,8651,IDEALPRO,0001f4e8.56dd1010.01.01,,1,1742932460,0.996,25000,SLD,USD,CHF,20160308  02:03:06
DU159913,1922,IDEALPRO,0001f4e8.56dd1020.01.01,,1,1742932461,1.32975,25000,SLD,USD,CAD,20160308  02:03:26
DU159913,8412,IDEALPRO,0001f4e8.56dd1028.01.01,,1,1742932462,1.32975,25000,SLD,USD,CAD,20160308  02:03:40
DU159913,3441,IDEALPRO,0001f4e8.56dd1993.01.01,,1,1742932495,0.9946,25000,BOT,USD,CHF,20160308  03:03:48
DU159913,3150,IDEALPRO,0001f4e8.56dd1999.01.01,,1,1742932496,0.9946,25000,BOT,USD,CHF,20160308  03:03:59
DU159913,5823,IDEALPRO,0001f4e8.56dd19ae.01.01,,1,1742932497,1.3277,25000,BOT,USD,CAD,20160308  03:04:20
DU159913,4394,IDEALPRO,0001f4e8.56dd19b4.01.01,,1,1742932498,1.32775,25000,BOT,USD,CAD,20160308  03:04:30
DU159913,1774,IDEALPRO,0001f4e8.56dd20c9.01.01,,1,1742932539,1.3288,25000,SLD,USD,CAD,20160308  04:02:50
DU159913,2196,IDEALPRO,0001f4e8.56dd20cc.01.01,,1,1742932540,1.32885,25000,SLD,USD,CAD,20160308  04:03:02
DU159913,6718,IDEALPRO,0001f4e8.56dd27de.01.01,,1,1742932585,1.42625,25000,BOT,GBP,USD,20160308  05:02:29
DU159913,2931,IDEALPRO,0001f4e8.56dd27e1.01.01,,1,1742932586,1.42625,25000,BOT,GBP,USD,20160308  05:02:40
DU159913,5083,IDEALPRO,0001f4e8.56dd2800.01.01,,1,1742932587,1.3282,25000,BOT,USD,CAD,20160308  05:03:11
DU159913,6430,IDEALPRO,0001f4e8.56dd2804.01.01,,1,1742932588,1.32818,25000,BOT,USD,CAD,20160308  05:03:26
DU159913,8789,IDEALPRO,0001f4e8.56dd2d46.01.01,,1,1742932641,1.10105,25000,SLD,EUR,USD,20160308  06:02:21
DU159913,6005,IDEALPRO,0001f4e8.56dd2d48.01.01,,1,1742932642,1.10115,25000,SLD,EUR,USD,20160308  06:02:31
DU159913,7333,IDEALPRO,0001f4e8.56dd2d51.01.01,,1,1742932643,1.3282,25000,SLD,USD,CAD,20160308  06:03:12
DU159913,479,IDEALPRO,0001f4e8.56dd2d56.01.01,,1,1742932644,1.32822,25000,SLD,USD,CAD,20160308  06:03:26
DU159913,4046,IDEALPRO,0001f4e8.56de016e.01.01,,1,1742932767,1.1013,25000,BOT,EUR,USD,20160308  08:04:59
DU159913,9962,IDEALPRO,0001f4e8.56de0175.01.01,,1,1742932768,1.1013,25000,BOT,EUR,USD,20160308  08:05:12
DU159913,7026,IDEALPRO,0001f4e8.56de066a.01.01,,1,1742932833,1.10145,25000,BOT,EUR,USD,20160308  09:04:58
DU159913,1984,IDEALPRO,0001f4e8.56de0675.01.01,,1,1742932834,1.10145,25000,BOT,EUR,USD,20160308  09:05:09
DU159913,3403,IDEALPRO,0001f4e8.56de0bcf.01.01,,1,1742932869,1.4254,25000,SLD,GBP,USD,20160308  10:03:47
DU159913,224,IDEALPRO,0001f4e8.56de0bd1.01.01,,1,1742932870,1.4254,25000,SLD,GBP,USD,20160308  10:03:59
DU159913,8923,IDEALPRO,0001f4e8.56de0bd6.01.01,,1,1742932871,0.99505,25000,SLD,USD,CHF,20160308  10:04:06
DU159913,7715,IDEALPRO,0001f4e8.56de0be0.01.01,,1,1742932872,0.99495,25000,SLD,USD,CHF,20160308  10:04:36
DU159913,9656,IDEALPRO,0001f4e8.56de12d9.01.01,,1,1742932873,1.10255,25000,SLD,EUR,USD,20160308  11:05:27
DU159913,8591,IDEALPRO,0001f4e8.56de12df.01.01,,1,1742932874,1.10255,25000,SLD,EUR,USD,20160308  11:05:40
DU159913,5588,IDEALPRO,0001f4e8.56de12e2.01.01,,1,1742932875,1.42525,25000,SLD,GBP,USD,20160308  11:05:41
DU159913,2307,IDEALPRO,0001f4e8.56de12e6.01.01,,1,1742932876,1.4252,25000,SLD,GBP,USD,20160308  11:05:52
