Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
19990104,115950.0,116900.0,115950.0,116600.0,670,441,0,0,0.0
19990105,116800.0,117020.0,116560.0,116560.0,612,540,0,0,0.0
19990106,116720.0,116920.0,116720.0,116770.0,199,515,0,0,0.0
19990107,116830.0,117000.0,116600.0,116630.0,726,835,0,0,0.0
19990108,116660.0,116910.0,116660.0,116820.0,118,767,0,0,0.0
19990111,116660.0,116880.0,115980.0,115980.0,698,770,0,0,0.0
19990112,116130.0,116750.0,115260.0,116750.0,1575,1305,0,0,0.0
19990113,116770.0,117560.0,116650.0,117030.0,9049,4959,0,0,0.0
19990114,116890.0,117320.0,116890.0,117320.0,4310,5211,0,0,0.0
19990115,117480.0,117680.0,117070.0,117190.0,6898,6626,0,0,0.0
19990118,117150.0,117400.0,117150.0,117400.0,1399,6491,0,0,0.0
19990119,117340.0,117510.0,117170.0,117480.0,3081,7838,0,0,0.0
19990120,117380.0,117380.0,117050.0,117070.0,5071,9974,0,0,0.0
19990121,117250.0,117520.0,117240.0,117520.0,2782,9163,0,0,0.0
19990122,117650.0,117800.0,117610.0,117730.0,4210,12009,0,0,0.0
19990125,117900.0,117920.0,117650.0,117700.0,5136,12517,0,0,0.0
19990126,117590.0,117940.0,117550.0,117670.0,2194,14009,0,0,0.0
19990127,117450.0,117730.0,117400.0,117730.0,3014,14874,0,0,0.0
19990128,117800.0,117850.0,117520.0,117700.0,3401,15242,0,0,0.0
19990129,117640.0,117700.0,117570.0,117570.0,7722,16467,0,0,0.0
19990201,117540.0,117540.0,117030.0,117030.0,0,19235,0,0,0.0
19990202,116760.0,117190.0,116760.0,117190.0,10082,22579,0,0,0.0
19990203,116930.0,116940.0,116590.0,116750.0,12552,25405,0,0,0.0
19990204,116810.0,116830.0,116030.0,116100.0,15932,30870,0,0,0.0
19990205,116060.0,116400.0,115940.0,116290.0,6735,32623,0,0,0.0
19990208,116030.0,116040.0,115570.0,115690.0,9844,31952,0,0,0.0
19990209,115950.0,116390.0,115950.0,116320.0,16992,36588,0,0,0.0
19990210,116560.0,116560.0,116360.0,116360.0,21662,38204,0,0,0.0
19990211,116220.0,116610.0,116150.0,116560.0,16181,38204,0,0,0.0
19990212,116580.0,116590.0,115730.0,115730.0,2942,39682,0,0,0.0
19990215,115660.0,115710.0,115190.0,115190.0,8531,38204,0,0,0.0
