Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140515,43840.0,45090.0,42890.0,44690.0,283641,81118,201407,201407,0.0
20140516,44490.0,44640.0,44120.0,44170.0,128413,210684,0,0,40.0
20140519,44180.0,45209.0,43960.0,44690.0,189481,216060,0,0,0.0
20140520,44730.0,45639.0,44320.0,45489.0,282457,219224,0,0,0.0
20140521,45309.0,45739.0,44660.0,44740.0,237351,222584,0,0,0.0
20140522,44879.0,45130.0,43461.0,43531.0,378764,222693,0,0,0.0
20140523,43690.0,44081.0,43561.0,44011.0,146143,221158,0,0,0.0
20140527,44000.0,45140.0,43601.0,45070.0,235227,226784,0,0,0.0
20140528,44919.0,46229.0,44840.0,46109.0,241254,226750,0,0,0.0
20140529,46038.0,46609.0,45250.0,45549.0,284100,226493,0,0,0.0
20140530,45778.0,45880.0,44850.0,45379.0,223024,225113,0,0,0.0
20140602,45468.0,46160.0,45180.0,46078.0,178393,224713,0,0,0.0
20140603,46127.0,46580.0,45889.0,46248.0,173872,221216,0,0,0.0
20140604,46107.0,46490.0,45719.0,46358.0,167927,220074,0,0,0.0
20140605,46357.0,47189.0,45819.0,46967.0,303543,218190,0,0,0.0
20140606,46966.0,47319.0,46748.0,47057.0,276366,197493,0,0,0.0
20140609,47096.0,47389.0,46258.0,46408.0,326740,178355,0,0,0.0
20140610,46257.0,46320.0,45159.0,45259.0,378865,156109,0,0,0.0
20140611,45308.0,45691.0,44999.0,45039.0,289711,137592,0,0,0.0
20140612,45218.0,47649.0,45159.0,47577.0,533085,119211,0,0,0.0
20140613,47496.0,47889.0,47117.0,47347.0,293814,99179,0,0,0.0
20140616,47526.0,48818.0,46647.0,47027.0,248563,86119,0,0,0.0
20140617,47026.0,47349.0,46677.0,47047.0,177157,76591,201408,201408,0.0
20140618,46996.0,47629.0,46397.0,46537.0,196463,150480,0,0,170.0
20140619,46439.0,46952.0,45571.0,45820.0,366960,159262,0,0,0.0
20140620,45752.0,46126.0,45173.0,45312.0,220625,163624,0,0,0.0
20140623,45234.0,45738.0,44377.0,44476.0,240698,166414,0,0,0.0
20140624,44398.0,45569.0,44327.0,45352.0,235576,168431,0,0,0.0
20140625,45214.0,45858.0,45113.0,45481.0,179965,165608,0,0,0.0
20140626,45493.0,45878.0,43849.0,44207.0,267020,166254,0,0,0.0
20140627,44239.0,44464.0,43550.0,43888.0,163691,160190,0,0,0.0
20140630,43990.0,44733.0,43580.0,44406.0,194603,153404,0,0,0.0
20140701,44269.0,44683.0,43829.0,44346.0,136958,149017,0,0,0.0
20140702,44239.0,44394.0,43182.0,43370.0,203379,150469,0,0,0.0
20140703,43383.0,43916.0,43092.0,43858.0,192661,144267,0,0,0.0
20140707,43254.0,43826.0,41808.0,42056.0,248114,146472,0,0,0.0
20140708,42089.0,42193.0,41101.0,41847.0,299137,136672,0,0,0.0
20140709,41860.0,42113.0,41439.0,41509.0,212249,126707,0,0,0.0
20140710,41541.0,41745.0,40892.0,41011.0,287114,116748,0,0,0.0
20140711,41073.0,41407.0,40872.0,41270.0,185785,106112,0,0,0.0
20140714,41262.0,41546.0,40733.0,41280.0,238050,98765,0,0,0.0
20140715,41381.0,41397.0,40624.0,40782.0,212563,87361,0,0,0.0
20140716,40684.0,41278.0,40654.0,41001.0,151463,81093,0,0,0.0
20140717,40903.0,40920.0,39181.0,39359.0,416876,67772,201409,201409,0.0
20140718,39440.0,39576.0,39141.0,39309.0,163733,223504,0,0,60.0
20140721,38864.0,38870.0,38207.0,38385.0,295599,226089,0,0,0.0
20140722,38456.0,38572.0,37452.0,37620.0,260811,228837,0,0,0.0
20140723,37482.0,38025.0,37462.0,37531.0,187982,233475,0,0,0.0
20140724,37601.0,38691.0,37363.0,38267.0,276321,232353,0,0,0.0
20140725,38227.0,38452.0,37443.0,37641.0,170688,231742,0,0,0.0
20140728,37193.0,38343.0,37026.0,37422.0,200133,238457,0,0,0.0
20140729,37322.0,38085.0,37165.0,38008.0,190429,239454,0,0,0.0
20140730,37978.0,38075.0,37264.0,37630.0,163184,237230,0,0,0.0
20140731,37640.0,38671.0,37373.0,38177.0,289662,230013,0,0,0.0
20140801,38057.0,38542.0,37582.0,37750.0,204514,221829,0,0,0.0
20140804,37630.0,38303.0,37383.0,38108.0,150643,214156,0,0,0.0
20140805,38177.0,38919.0,38029.0,38734.0,172210,209451,0,0,0.0
20140806,38734.0,39267.0,38526.0,39092.0,190717,199677,0,0,0.0
20140807,39221.0,39575.0,38347.0,38525.0,367333,182692,0,0,0.0
20140808,38535.0,39515.0,38486.0,39380.0,285482,165041,0,0,0.0
20140811,39638.0,39883.0,38983.0,39410.0,307296,145884,0,0,0.0
20140812,39668.0,39963.0,39301.0,39499.0,289513,128967,0,0,0.0
20140813,39549.0,39625.0,37890.0,38078.0,416413,109469,0,0,0.0
20140814,37899.0,39237.0,37761.0,38823.0,352409,91686,0,0,0.0
20140815,38615.0,38829.0,37403.0,37531.0,247346,79112,201410,201410,0.0
20140818,37233.0,38173.0,37194.0,37869.0,224138,174876,0,0,180.0
20140819,37846.0,38984.0,37738.0,38660.0,249169,172049,0,0,0.0
20140820,38608.0,38756.0,37876.0,38185.0,231724,173077,0,0,0.0
20140821,38291.0,39458.0,37886.0,38877.0,311707,176182,0,0,0.0
20140822,38805.0,38894.0,38282.0,38412.0,165390,177700,0,0,0.0
20140825,38558.0,39428.0,38430.0,39362.0,218159,183119,0,0,0.0
20140826,39339.0,39784.0,38934.0,39065.0,228365,182711,0,0,0.0
20140827,39299.0,39893.0,38894.0,39599.0,289718,189104,0,0,0.0
20140828,39655.0,40576.0,39300.0,40005.0,284053,192435,0,0,0.0
20140829,40120.0,40418.0,39686.0,40213.0,177070,192400,0,0,0.0
20140902,40041.0,40349.0,38430.0,38482.0,177070,192400,0,0,0.0
20140903,38488.0,38756.0,37876.0,38057.0,246895,179693,0,0,0.0
20140904,38112.0,38380.0,37480.0,37780.0,252536,175161,0,0,0.0
20140905,37964.0,38073.0,37401.0,37523.0,168116,170598,0,0,0.0
20140908,37420.0,38568.0,37203.0,38344.0,232840,161637,0,0,0.0
20140909,38449.0,39736.0,38113.0,39412.0,429680,155169,0,0,0.0
20140910,39349.0,39518.0,38944.0,39115.0,195538,146941,0,0,0.0
20140911,39112.0,39211.0,37678.0,37819.0,350676,136285,0,0,0.0
20140912,38024.0,38182.0,37450.0,38155.0,249985,127733,0,0,0.0
20140915,37994.0,39102.0,37974.0,38887.0,328354,108644,0,0,0.0
