trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,balance,commission,margin_available,index
2,-19.4649,20160314  00:59:13,20160314  00:59:13,20160314  00:59:13,1.1163,,EURUSD,long,20160314  00:56:22,20160314  00:56:25,closed,20160314  00:56:22,1.11615,1.0,,100000.0,100000.0,,EURUSD,IB_Live,9978.5351,12.045875,-20057.0,
3,13.03585,20160314  01:05:16,20160314  01:05:16,20160314  01:05:16,1.11595,,EURUSD,long,20160314  01:02:08,20160314  01:02:13,closed,20160314  01:02:08,1.116125,1.0,,100000.0,100000.0,,EURUSD,IB_Live,9991.57095,12.0445125,-20074.5,
4,-7.96353,20160314  01:11:54,20160314  01:11:54,20160314  01:11:54,1.1159,,EURUSD,long,20160314  01:08:27,20160314  01:08:30,closed,20160314  01:08:27,1.115865,1.0,,100000.0,100000.0,,EURUSD,IB_Live,9983.60742,12.0429075,-20071.0,
6,-4.465,20160314  01:18:12,20160314  01:18:12,20160314  01:18:12,1.11625,,EURUSD,long,20160314  01:15:17,20160314  01:15:21,closed,20160314  01:15:17,1.11625,1.0,,100000.0,100000.0,,EURUSD,IB_Live,9977.14242,12.04625,-58011.0,
7,10.5343,20160314  01:24:34,20160314  01:24:34,20160314  01:24:34,1.11635,,EURUSD,long,20160314  01:21:18,20160314  01:21:21,closed,20160314  01:21:18,1.1165,1.0,,100000.0,100000.0,,EURUSD,IB_Live,9987.67672,12.047975,-58026.0,
8,10.5349,20160314  01:30:21,20160314  01:30:21,20160314  01:30:21,1.1162,,EURUSD,long,20160314  01:27:22,20160314  01:27:28,closed,20160314  01:27:22,1.11635,1.0,,100000.0,100000.0,,EURUSD,IB_Live,9998.21162,12.046625,-58041.0,
5,-54.5,20160314  01:38:45,20160314  01:38:45,20160314  01:38:45,0.75775,,AUDUSD,short,20160314  01:12:02,20160314  01:12:02,closed,20160314  01:12:02,0.7588,1.0,,50000.0,50000.0,,AUDUSD,IB_Live,9943.47902,4.0,-131783.5,
9,-29.4657,20160314  01:38:53,20160314  01:38:53,20160314  01:38:53,1.11655,,EURUSD,long,20160314  01:33:57,20160314  01:34:03,closed,20160314  01:33:57,1.1163,1.0,,100000.0,100000.0,,EURUSD,IB_Live,9916.24592,12.047575,-20128.5,
10,8.03454999999,20160314  01:45:22,20160314  01:45:22,20160314  01:45:22,1.1163,,EURUSD,long,20160314  01:42:19,20160314  01:42:33,closed,20160314  01:42:19,1.116425,1.0,,100000.0,100000.0,,EURUSD,IB_Live,9924.28047,12.0473875,-20141.0,
11,10.5365,20160314  01:51:40,20160314  01:51:40,20160314  01:51:40,1.1158,,EURUSD,long,20160314  01:48:36,20160314  01:48:40,closed,20160314  01:48:36,1.11595,1.0,,100000.0,100000.0,,EURUSD,IB_Live,9934.81697,12.043025,-20156.0,
1,-10.802704,20160314  01:55:52,20160314  01:55:52,20160314  01:55:52,113.78,,USDJPY,short,20160314  00:48:10,20160314  00:48:10,closed,20160314  00:48:10,113.8,1.0,,50000.0,50000.0,,USDJPY,IB_Live,9921.782366,4.002704,-119525.3,
13,5.5364,20160314  01:59:25,20160314  01:59:25,20160314  01:59:25,1.11585,,EURUSD,long,20160314  01:55:43,20160314  01:55:46,closed,20160314  01:55:43,1.11595,1.0,,100000.0,100000.0,,EURUSD,IB_Live,9927.550666,12.0432,-57377.073,
15,30.5353,20160314  02:07:06,20160314  02:07:06,20160314  02:07:06,1.116,,EURUSD,long,20160314  02:02:53,20160314  02:02:56,closed,20160314  02:02:53,1.11635,1.0,,100000.0,100000.0,,EURUSD,IB_Live,9958.085966,12.045925,-57412.073,
16,-17.402308,20160314  04:05:18,20160314  04:05:18,20160314  04:05:18,113.75,,USDJPY,short,20160314  03:58:30,20160314  03:58:30,closed,20160314  03:58:30,113.785,1.0,,50000.0,50000.0,,USDJPY,IB_Live,9940.683658,4.002308,-57427.473,
14,-117.847,20160314  05:08:29,20160314  05:08:29,20160314  05:08:29,1.326,,USDCAD,long,20160314  01:55:57,20160314  01:55:57,closed,20160314  01:55:57,1.3229,1.0,,50000.0,50000.0,,USDCAD,IB_Live,9822.836658,4.0,-57920.453,
12,-117.0,20160314  05:42:23,20160314  05:42:23,20160314  05:42:23,0.75445,,AUDUSD,short,20160314  01:51:48,20160314  01:51:48,closed,20160314  01:51:48,0.75675,1.0,,50000.0,50000.0,,AUDUSD,IB_Live,9705.836658,4.0,-92065.453,
