permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,1.10662,10000.0,-10000.0,-2.0,SLD,EUR,USD,20160316 12:49:06 EST,
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,125.806,10000.0,-10000.0,-2.0,SLD,EUR,JPY,20160316 12:49:06 EST,
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,1.40935,10000.0,10000.0,-2.0,BOT,GBP,USD,20160316 12:49:07 EST,
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,0.98954,10000.0,-10000.0,-2.0,SLD,USD,CHF,20160316 12:49:07 EST,
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,1.33451,10000.0,-10000.0,-2.0,SLD,USD,CAD,20160316 13:29:57 EST,
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,1.10702666667,20000.0,10000.0,6.13333333333,BOT,EUR,USD,20160316 13:31:14 EST,
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,113.766,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160316 13:41:32 EST,
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,0.74355,10000.0,-10000.0,-2.0,SLD,AUD,USD,20160316 13:41:50 EST,
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,113.2985,50000.0,0.0,-207.7,BOT,USD,JPY,20160316 14:26:33 EST,
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,0.750416666667,20000.0,10000.0,135.333333333,BOT,AUD,USD,20160316 14:29:46 EST,
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,126.057333333,20000.0,10000.0,42.2346666667,BOT,EUR,JPY,20160316 14:31:40 EST,
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,1.32409666667,20000.0,10000.0,-157.658506667,BOT,USD,CAD,20160316 14:37:12 EST,
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,1.11614888889,20000.0,-10000.0,-184.4444444,SLD,EUR,USD,20160316 14:45:54 EST,
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,0.982653333333,20000.0,10000.0,-141.41368,BOT,USD,CHF,20160316 14:46:44 EST,
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,112.414,30000.0,-30000.0,-2.0,SLD,USD,JPY,20160316 15:28:11 EST,
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,1.42062333333,20000.0,-10000.0,-227.466666667,SLD,GBP,USD,20160316 15:40:18 EST,
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,0.978704444444,20000.0,-10000.0,77.9413066622,SLD,USD,CHF,20160316 15:45:22 EST,
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,0.752958888889,20000.0,-10000.0,-52.84444444,SLD,AUD,USD,20160316 15:46:52 EST,
19,Paper,Paper,2.0,USD,IDEALPRO,19.0,,,1.0,0.754832962963,20000.0,10000.0,35.48148148,BOT,AUD,USD,20160316 16:27:40 EST,
20,Paper,Paper,2.0,USD,IDEALPRO,20.0,,,1.0,1.12050962963,20000.0,10000.0,85.2148148,BOT,EUR,USD,20160316 16:30:30 EST,
21,Paper,Paper,2.0,USD,IDEALPRO,21.0,,,1.0,1.31589222222,20000.0,-10000.0,120.640035589,SLD,USD,CAD,20160316 16:31:32 EST,
22,Paper,Paper,2.0,USD,IDEALPRO,22.0,,,1.0,112.501428571,40000.0,10000.0,28.7748571429,BOT,USD,JPY,20160316 16:34:01 EST,
23,Paper,Paper,2.0,USD,IDEALPRO,23.0,,,1.0,1.42485444444,20000.0,10000.0,82.6222222667,BOT,GBP,USD,20160316 16:49:40 EST,
24,Paper,Paper,2.0,USD,IDEALPRO,24.0,,,1.0,1.31173844444,40000.0,-50000.0,-2.0,SLD,USD,CAD,20160316 17:25:08 EST,
25,Paper,Paper,2.0,USD,IDEALPRO,25.0,,,1.0,0.755910987654,20000.0,-10000.0,-23.5604938267,SLD,AUD,USD,20160316 17:27:28 EST,
26,Paper,Paper,2.0,USD,IDEALPRO,26.0,,,1.0,126.341111111,20000.0,-10000.0,-51.944888928,SLD,EUR,JPY,20160316 17:30:02 EST,
27,Paper,Paper,2.0,USD,IDEALPRO,27.0,,,1.0,0.978448148148,20000.0,10000.0,-7.18846221622,BOT,USD,CHF,20160316 17:31:35 EST,
28,Paper,Paper,2.0,USD,IDEALPRO,28.0,,,1.0,1.12132987654,20000.0,-10000.0,-18.4049382667,SLD,EUR,USD,20160316 17:40:30 EST,
29,Paper,Paper,2.0,USD,IDEALPRO,29.0,,,1.0,112.602714285,10000.0,0.0,-10.913142876,SLD,USD,JPY,20160316 17:52:46 EST,
30,Paper,Paper,2.0,USD,IDEALPRO,30.0,,,1.0,126.386555555,10000.0,0.0,1.999111116,BOT,EUR,JPY,20160316 18:25:00 EST,
31,Paper,Paper,2.0,USD,IDEALPRO,31.0,,,1.0,1.31223691358,40000.0,-10000.0,12.902233343,BOT,USD,CAD,20160316 18:30:12 EST,
32,Paper,Paper,2.0,USD,IDEALPRO,32.0,,,1.0,1.12133662551,20000.0,10000.0,-1.86502053333,BOT,EUR,USD,20160316 18:44:18 EST,
33,Paper,Paper,2.0,USD,IDEALPRO,33.0,,,1.0,0.978262716049,20000.0,-10000.0,1.75388740541,SLD,USD,CHF,20160316 18:48:48 EST,
34,Paper,Paper,2.0,USD,IDEALPRO,34.0,,,1.0,1.42495148148,20000.0,-10000.0,-3.9407408,SLD,GBP,USD,20160316 19:37:15 EST,
35,Paper,Paper,2.0,USD,IDEALPRO,35.0,,,1.0,1.31237230453,20000.0,10000.0,0.0238238707689,BOT,USD,CAD,20160316 19:38:25 EST,
36,Paper,Paper,2.0,USD,IDEALPRO,36.0,,,1.0,1.12151887517,20000.0,-10000.0,-5.6449932,SLD,EUR,USD,20160316 20:17:54 EST,
37,Paper,Paper,2.0,USD,IDEALPRO,37.0,,,1.0,126.554,50000.0,-50000.0,-2.0,SLD,EUR,JPY,20160316 20:17:54 EST,
38,Paper,Paper,2.0,USD,IDEALPRO,38.0,,,1.0,0.756016995885,20000.0,10000.0,0.120164613331,BOT,AUD,USD,20160316 20:17:55 EST,
39,Paper,Paper,2.0,USD,IDEALPRO,39.0,,,1.0,126.567636364,60000.0,10000.0,5.2,BOT,EUR,JPY,20160316 20:34:35 EST,
