permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,0.74355,10000.0,-10000.0,-2.0,SLD,AUD,USD,20160316 13:41:51 EST,
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,0.750416666667,20000.0,10000.0,135.333333333,BOT,AUD,USD,20160316 14:29:47 EST,
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,0.752958888889,20000.0,-10000.0,-52.84444444,SLD,AUD,USD,20160316 15:46:53 EST,
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,0.754832962963,20000.0,10000.0,35.48148148,BOT,AUD,USD,20160316 16:27:41 EST,
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,0.755910987654,20000.0,-10000.0,-23.5604938267,SLD,AUD,USD,20160316 17:27:28 EST,
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,0.756016995885,20000.0,10000.0,0.120164613331,BOT,AUD,USD,20160316 20:17:56 EST,
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,0.758558998628,20000.0,-10000.0,-52.8400548667,SLD,AUD,USD,20160316 22:38:39 EST,
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,0.759292999543,20000.0,10000.0,12.6800182933,BOT,AUD,USD,20160317 00:42:11 EST,
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,0.759597666514,20000.0,-10000.0,-8.09333942667,SLD,AUD,USD,20160317 01:37:07 EST,
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,0.759565888838,20000.0,10000.0,-2.63555352,BOT,AUD,USD,20160317 02:51:36 EST,
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,0.762255296279,20000.0,-10000.0,-55.7881488267,SLD,AUD,USD,20160317 03:37:23 EST,
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,0.76068509876,20000.0,10000.0,-33.4039503867,BOT,AUD,USD,20160317 08:36:42 EST,
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,0.761808366253,20000.0,-10000.0,-24.4653498667,SLD,AUD,USD,20160317 09:31:58 EST,
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,0.762636122084,20000.0,10000.0,14.5551166267,BOT,AUD,USD,20160317 10:46:45 EST,
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,0.763525374028,20000.0,-10000.0,-19.78503888,SLD,AUD,USD,20160317 12:46:40 EST,
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,0.764535124676,20000.0,10000.0,18.19501296,BOT,AUD,USD,20160317 13:37:52 EST,
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,0.764711708225,20000.0,-10000.0,-5.53167098667,SLD,AUD,USD,20160317 14:43:52 EST,
