permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,balance,margin_available
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,113.8,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160314  00:48:10,,9998.0,-20072.0
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,1.11615,50000.0,50000.0,-2.0,BOT,EUR,USD,20160314  00:56:22,,9996.0,-75879.5
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,1.11615,50000.0,100000.0,-2.0,BOT,EUR,USD,20160314  00:56:25,,9994.0,-131687.0
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,1.11615,50000.0,50000.0,-9.5,SLD,EUR,USD,20160314  00:59:08,,9984.5,-75872.0
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,1.11615,50000.0,0.0,-9.5,SLD,EUR,USD,20160314  00:59:13,,9975.0,-20057.0
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,1.1161,50000.0,50000.0,-2.0,BOT,EUR,USD,20160314  01:02:08,,9973.0,-75862.0
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,1.116125,50000.0,100000.0,-2.0,BOT,EUR,USD,20160314  01:02:13,,9971.0,-131669.5
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,1.116125,50000.0,50000.0,6.75,SLD,EUR,USD,20160314  01:05:13,,9977.75,-75872.0
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,1.116125,50000.0,0.0,6.75,SLD,EUR,USD,20160314  01:05:16,,9984.5,-20074.5
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,1.11588,50000.0,50000.0,-2.0,BOT,EUR,USD,20160314  01:08:27,,9982.5,-75868.5
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,1.115865,50000.0,100000.0,-2.0,BOT,EUR,USD,20160314  01:08:30,,9980.5,-131661.0
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,1.115865,50000.0,50000.0,-3.75,SLD,EUR,USD,20160314  01:11:54,,9976.75,-75866.0
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,1.115865,50000.0,0.0,-3.75,SLD,EUR,USD,20160314  01:11:54,,9973.0,-20071.0
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,0.7588,50000.0,-50000.0,-2.0,SLD,AUD,USD,20160314  01:12:02,,9971.0,-58011.0
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,1.11625,50000.0,50000.0,-2.0,BOT,EUR,USD,20160314  01:15:17,,9969.0,-113823.5
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,1.11625,50000.0,100000.0,-2.0,BOT,EUR,USD,20160314  01:15:21,,9967.0,-169636.0
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,1.11625,50000.0,50000.0,-2.0,SLD,EUR,USD,20160314  01:18:09,,9965.0,-113823.5
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,1.11625,50000.0,0.0,-2.0,SLD,EUR,USD,20160314  01:18:12,,9963.0,-58011.0
19,Paper,Paper,2.0,USD,IDEALPRO,19.0,,,1.0,1.1165,50000.0,50000.0,-2.0,BOT,EUR,USD,20160314  01:21:18,,9961.0,-113836.0
20,Paper,Paper,2.0,USD,IDEALPRO,20.0,,,1.0,1.1165,50000.0,100000.0,-2.0,BOT,EUR,USD,20160314  01:21:21,,9959.0,-169661.0
21,Paper,Paper,2.0,USD,IDEALPRO,21.0,,,1.0,1.1165,50000.0,50000.0,5.5,SLD,EUR,USD,20160314  01:24:34,,9964.5,-113843.5
22,Paper,Paper,2.0,USD,IDEALPRO,22.0,,,1.0,1.1165,50000.0,0.0,5.5,SLD,EUR,USD,20160314  01:24:34,,9970.0,-58026.0
23,Paper,Paper,2.0,USD,IDEALPRO,23.0,,,1.0,1.11635,50000.0,50000.0,-2.0,BOT,EUR,USD,20160314  01:27:22,,9968.0,-113843.5
24,Paper,Paper,2.0,USD,IDEALPRO,24.0,,,1.0,1.11635,50000.0,100000.0,-2.0,BOT,EUR,USD,20160314  01:27:28,,9966.0,-169661.0
25,Paper,Paper,2.0,USD,IDEALPRO,25.0,,,1.0,1.11635,50000.0,50000.0,5.49999999999,SLD,EUR,USD,20160314  01:30:17,,9971.5,-113851.0
26,Paper,Paper,2.0,USD,IDEALPRO,26.0,,,1.0,1.11635,50000.0,0.0,5.49999999999,SLD,EUR,USD,20160314  01:30:21,,9977.0,-58041.0
27,Paper,Paper,2.0,USD,IDEALPRO,27.0,,,1.0,1.1163,50000.0,50000.0,-2.0,BOT,EUR,USD,20160314  01:33:57,,9975.0,-113856.0
28,Paper,Paper,2.0,USD,IDEALPRO,28.0,,,1.0,1.1163,50000.0,100000.0,-2.0,BOT,EUR,USD,20160314  01:34:03,,9973.0,-169671.0
29,Paper,Paper,2.0,USD,IDEALPRO,29.0,,,1.0,0.7588,50000.0,0.0,-54.5,BOT,AUD,USD,20160314  01:38:45,,9918.5,-131731.0
30,Paper,Paper,2.0,USD,IDEALPRO,30.0,,,1.0,1.1163,50000.0,50000.0,-14.5,SLD,EUR,USD,20160314  01:38:53,,9904.0,-75903.5
31,Paper,Paper,2.0,USD,IDEALPRO,31.0,,,1.0,1.1163,50000.0,0.0,-14.5,SLD,EUR,USD,20160314  01:38:53,,9889.5,-20076.0
32,Paper,Paper,2.0,USD,IDEALPRO,32.0,,,1.0,1.11645,50000.0,50000.0,-2.0,BOT,EUR,USD,20160314  01:42:19,,9887.5,-75898.5
33,Paper,Paper,2.0,USD,IDEALPRO,33.0,,,1.0,1.116425,50000.0,100000.0,-2.0,BOT,EUR,USD,20160314  01:42:33,,9885.5,-131718.5
34,Paper,Paper,2.0,USD,IDEALPRO,34.0,,,1.0,1.116425,50000.0,50000.0,4.25,SLD,EUR,USD,20160314  01:45:19,,9889.75,-75903.5
35,Paper,Paper,2.0,USD,IDEALPRO,35.0,,,1.0,1.116425,50000.0,0.0,4.25,SLD,EUR,USD,20160314  01:45:22,,9894.0,-20088.5
36,Paper,Paper,2.0,USD,IDEALPRO,36.0,,,1.0,1.11595,50000.0,50000.0,-2.0,BOT,EUR,USD,20160314  01:48:36,,9892.0,-75886.0
37,Paper,Paper,2.0,USD,IDEALPRO,37.0,,,1.0,1.11595,50000.0,100000.0,-2.0,BOT,EUR,USD,20160314  01:48:40,,9890.0,-131683.5
38,Paper,Paper,2.0,USD,IDEALPRO,38.0,,,1.0,1.11595,50000.0,50000.0,5.5,SLD,EUR,USD,20160314  01:51:34,,9895.5,-75893.5
39,Paper,Paper,2.0,USD,IDEALPRO,39.0,,,1.0,1.11595,50000.0,0.0,5.5,SLD,EUR,USD,20160314  01:51:40,,9901.0,-20103.5
40,Paper,Paper,2.0,USD,IDEALPRO,40.0,,,1.0,0.75675,50000.0,-50000.0,-2.0,SLD,AUD,USD,20160314  01:51:48,,9899.0,-57941.0
41,Paper,Paper,2.0,USD,IDEALPRO,41.0,,,1.0,1.11595,50000.0,50000.0,-2.0,BOT,EUR,USD,20160314  01:55:43,,9897.0,-113738.5
42,Paper,Paper,2.0,USD,IDEALPRO,42.0,,,1.0,1.11595,50000.0,100000.0,-2.0,BOT,EUR,USD,20160314  01:55:46,,9895.0,-169536.0
43,Paper,Paper,2.0,USD,IDEALPRO,43.0,,,1.0,113.8,50000.0,0.0,-10.8,BOT,USD,JPY,20160314  01:55:52,,9884.2,-119464.0
44,Paper,Paper,2.0,USD,IDEALPRO,44.0,,,1.0,1.3229,50000.0,50000.0,-2.0,BOT,USD,CAD,20160314  01:55:57,,9882.2,-168900.773
