permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,0.98954,10000.0,-10000.0,-2.0,SLD,USD,CHF,20160316 12:49:08 EST,
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,0.982653333333,20000.0,10000.0,-141.41368,BOT,USD,CHF,20160316 14:46:44 EST,
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,0.978617777778,20000.0,-10000.0,79.6957866622,SLD,USD,CHF,20160316 15:45:22 EST,
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,0.978419259259,20000.0,10000.0,-6.01880889189,BOT,USD,CHF,20160316 17:31:35 EST,
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,0.97825308642,20000.0,-10000.0,1.36400295946,SLD,USD,CHF,20160316 18:48:48 EST,
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,0.978327583774,60000.0,50000.0,2.52437332047,BOT,USD,CHF,20160316 20:36:01 EST,
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,0.977985265352,60000.0,-10000.0,18.7896824159,SLD,USD,CHF,20160316 21:50:59 EST,
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,0.977721755117,20000.0,10000.0,-7.33450119059,BOT,USD,CHF,20160316 22:40:26 EST,
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,0.977747251706,20000.0,-10000.0,-2.51615294097,SLD,USD,CHF,20160316 23:28:26 EST,
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,0.977648625853,10000.0,0.0,-2.99829088407,BOT,USD,CHF,20160317 01:45:06 EST,
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,0.97789,10000.0,10000.0,-2.0,BOT,USD,CHF,20160317 02:42:37 EST,
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,0.976596666667,20000.0,-10000.0,24.18224,SLD,USD,CHF,20160317 03:49:08 EST,
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,0.972393333334,10000.0,0.0,-44.5461400017,BOT,USD,CHF,20160317 06:31:25 EST,
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,0.97026,10000.0,10000.0,-2.0,BOT,USD,CHF,20160317 07:34:05 EST,
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,0.96934,20000.0,-10000.0,16.62448,SLD,USD,CHF,20160317 08:56:51 EST,
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,0.968026666667,20000.0,10000.0,-28.58712,BOT,USD,CHF,20160317 11:28:49 EST,
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,0.967148888889,20000.0,-10000.0,15.7697333378,SLD,USD,CHF,20160317 12:33:00 EST,
<<<<<<< HEAD:data/paper/trades/ib_strat103USDCHFv2_trades.csv
=======
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,0.967562962963,20000.0,10000.0,6.38251555406,BOT,USD,CHF,20160317 15:41:11 EST,
19,Paper,Paper,2.0,USD,IDEALPRO,19.0,,,1.0,0.967727654321,20000.0,-10000.0,-5.33401185135,SLD,USD,CHF,20160317 16:45:53 EST,
20,Paper,Paper,2.0,USD,IDEALPRO,20.0,,,1.0,0.96781382716,10000.0,0.0,-1.12775851858,BOT,USD,CHF,20160317 17:36:40 EST,
21,Paper,Paper,2.0,USD,IDEALPRO,21.0,,,1.0,0.96693,50000.0,-50000.0,-2.0,SLD,USD,CHF,20160317 19:31:18 EST,
22,Paper,Paper,2.0,USD,IDEALPRO,22.0,,,1.0,0.966894444444,40000.0,-10000.0,-3.43957333333,BOT,USD,CHF,20160317 20:39:12 EST,
>>>>>>> 45a5abfefbb190afc2de4e02a4dd90342770ebd0:data/paper/ib_strat103USDCHFv2_trades.csv
