permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,1.40935,10000.0,10000.0,-2.0,BOT,GBP,USD,20160316 12:49:04 EST,
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,1.41760333333,20000.0,-10000.0,-167.066666667,SLD,GBP,USD,20160316 14:59:20 EST,
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,1.42341444444,20000.0,10000.0,114.222222267,BOT,GBP,USD,20160316 15:32:14 EST,
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,1.42461814815,20000.0,-10000.0,-26.0740741333,SLD,GBP,USD,20160316 15:46:18 EST,
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,1.42494604938,20000.0,10000.0,4.55802466667,BOT,GBP,USD,20160316 15:47:20 EST,
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,1.42431534979,20000.0,-10000.0,10.6139917333,SLD,GBP,USD,20160316 18:40:11 EST,
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,1.42683844993,20000.0,10000.0,48.4620028,BOT,GBP,USD,20160316 21:03:36 EST,
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,1.42637948331,20000.0,-10000.0,7.1793324,SLD,GBP,USD,20160316 21:36:30 EST,
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,1.42545982777,20000.0,10000.0,-20.3931108,BOT,GBP,USD,20160317 03:05:49 EST,
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,1.42548660926,20000.0,-10000.0,-2.53562973333,SLD,GBP,USD,20160317 03:14:55 EST,
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,1.42542220309,20000.0,10000.0,-3.28812346667,BOT,GBP,USD,20160317 03:17:54 EST,
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,1.4257140677,20000.0,-10000.0,-7.83729213333,SLD,GBP,USD,20160317 03:44:19 EST,
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,1.42574468923,20000.0,10000.0,-1.38756933334,BOT,GBP,USD,20160317 03:45:24 EST,
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,1.42482822974,20000.0,-10000.0,16.3291897333,SLD,GBP,USD,20160317 03:53:26 EST,
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,1.42479607658,20000.0,10000.0,-2.6430632,BOT,GBP,USD,20160317 03:57:22 EST,
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,1.43141869219,20000.0,-10000.0,-134.452312267,SLD,GBP,USD,20160317 06:59:26 EST,
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,1.43677956406,20000.0,10000.0,105.217437467,BOT,GBP,USD,20160317 08:02:33 EST,
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,1.43763985469,20000.0,-10000.0,-19.2058125333,SLD,GBP,USD,20160317 08:27:51 EST,
