trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,commission,index
<<<<<<< HEAD:data/paper/trades/c2_strat103GBPUSDv1_trades.csv
1,-4.34295,,,,0.0,,GBPUSD,short,20160317 14:09:55 EST,20160317 14:09:55 EST,open,20160317 14:09:55 EST,1.44765,10000.0,,0.0,15.0,,GBPUSD,strat103GBPUSDv1,4.34295,
=======
1,9.1815504,20160317 17:37:45 EST,20160317 17:37:45 EST,20160317 17:37:45 EST,126.113,,EURJPY,short,20160317 16:41:48 EST,20160317 16:41:48 EST,closed,20160317 16:41:48 EST,126.101,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6584496,
2,32.9420256,20160317 17:40:04 EST,20160317 17:40:04 EST,20160317 17:40:04 EST,126.083,,EURJPY,long,20160317 17:37:45 EST,20160317 17:37:45 EST,closed,20160317 17:37:45 EST,126.113,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6579744,
3,-72.6558624,20160317 17:48:00 EST,20160317 17:48:00 EST,20160317 17:48:00 EST,126.033,,EURJPY,short,20160317 17:40:04 EST,20160317 17:40:04 EST,closed,20160317 17:40:04 EST,126.083,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6558624,
4,-22.4948592,20160317 17:58:52 EST,20160317 17:58:52 EST,20160317 17:58:52 EST,126.045,,EURJPY,long,20160317 17:48:00 EST,20160317 17:48:00 EST,closed,20160317 17:48:00 EST,126.033,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6548592,
5,59.343504,20160317 17:59:39 EST,20160317 17:59:39 EST,20160317 17:59:39 EST,126.095,,EURJPY,short,20160317 17:58:52 EST,20160317 17:58:52 EST,closed,20160317 17:58:52 EST,126.045,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.656496,
6,46.14324,20160317 18:01:46 EST,20160317 18:01:46 EST,20160317 18:01:46 EST,126.055,,EURJPY,long,20160317 17:59:39 EST,20160317 17:59:39 EST,closed,20160317 17:59:39 EST,126.095,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.65676,
7,3.90408479999,20160317 18:02:44 EST,20160317 18:02:44 EST,20160317 18:02:44 EST,126.063,,EURJPY,short,20160317 18:01:46 EST,20160317 18:01:46 EST,closed,20160317 18:01:46 EST,126.055,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6559152,
8,-10.6162056,20160317 18:05:55 EST,20160317 18:05:55 EST,20160317 18:05:55 EST,126.066,,EURJPY,long,20160317 18:02:44 EST,20160317 18:02:44 EST,closed,20160317 18:02:44 EST,126.063,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6562056,
9,-5.33631120001,20160317 18:12:45 EST,20160317 18:12:45 EST,20160317 18:12:45 EST,126.067,,EURJPY,short,20160317 18:05:55 EST,20160317 18:05:55 EST,closed,20160317 18:05:55 EST,126.066,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6563112,
10,-15.8965224,20160317 18:13:55 EST,20160317 18:13:55 EST,20160317 18:13:55 EST,126.074,,EURJPY,long,20160317 18:12:45 EST,20160317 18:12:45 EST,closed,20160317 18:12:45 EST,126.067,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6565224,
11,35.582448,20160317 18:15:51 EST,20160317 18:15:51 EST,20160317 18:15:51 EST,126.106,,EURJPY,short,20160317 18:13:55 EST,20160317 18:13:55 EST,closed,20160317 18:13:55 EST,126.074,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.657552,
12,-7.97842319999,20160317 18:16:50 EST,20160317 18:16:50 EST,20160317 18:16:50 EST,126.107,,EURJPY,long,20160317 18:15:51 EST,20160317 18:15:51 EST,closed,20160317 18:15:51 EST,126.106,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6584232,
13,10.5012072,20160317 18:20:51 EST,20160317 18:20:51 EST,20160317 18:20:51 EST,126.12,,EURJPY,short,20160317 18:16:50 EST,20160317 18:16:50 EST,closed,20160317 18:16:50 EST,126.107,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6587928,
14,42.1818408,20160317 18:23:50 EST,20160317 18:23:50 EST,20160317 18:23:50 EST,126.083,,EURJPY,long,20160317 18:20:51 EST,20160317 18:20:51 EST,closed,20160317 18:20:51 EST,126.12,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6581592,
15,11.822448,20160317 18:25:44 EST,20160317 18:25:44 EST,20160317 18:25:44 EST,126.097,,EURJPY,short,20160317 18:23:50 EST,20160317 18:23:50 EST,closed,20160317 18:23:50 EST,126.083,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.657552,
16,19.7426064,20160317 18:26:53 EST,20160317 18:26:53 EST,20160317 18:26:53 EST,126.077,,EURJPY,long,20160317 18:25:44 EST,20160317 18:25:44 EST,closed,20160317 18:25:44 EST,126.097,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6573936,
17,10.5027912,20160317 18:32:59 EST,20160317 18:32:59 EST,20160317 18:32:59 EST,126.09,,EURJPY,short,20160317 18:26:53 EST,20160317 18:26:53 EST,closed,20160317 18:26:53 EST,126.077,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6572088,
18,-6.657552,20160317 18:36:47 EST,20160317 18:36:47 EST,20160317 18:36:47 EST,126.09,,EURJPY,long,20160317 18:32:59 EST,20160317 18:32:59 EST,closed,20160317 18:32:59 EST,126.09,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.657552,
19,-30.4170768,20160317 18:43:45 EST,20160317 18:43:45 EST,20160317 18:43:45 EST,126.072,,EURJPY,short,20160317 18:36:47 EST,20160317 18:36:47 EST,closed,20160317 18:36:47 EST,126.09,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6570768,
20,7.86368879999,20160317 18:45:12 EST,20160317 18:45:12 EST,20160317 18:45:12 EST,126.061,,EURJPY,long,20160317 18:43:45 EST,20160317 18:43:45 EST,closed,20160317 18:43:45 EST,126.072,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6563112,
21,36.903108,20160317 18:47:42 EST,20160317 18:47:42 EST,20160317 18:47:42 EST,126.094,,EURJPY,short,20160317 18:45:12 EST,20160317 18:45:12 EST,closed,20160317 18:45:12 EST,126.061,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.656892,
22,44.8232664,20160317 18:50:56 EST,20160317 18:50:56 EST,20160317 18:50:56 EST,126.055,,EURJPY,long,20160317 18:47:42 EST,20160317 18:47:42 EST,closed,20160317 18:47:42 EST,126.094,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6567336,
23,11.8239264,20160317 18:53:48 EST,20160317 18:53:48 EST,20160317 18:53:48 EST,126.069,,EURJPY,short,20160317 18:50:56 EST,20160317 18:50:56 EST,closed,20160317 18:50:56 EST,126.055,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6560736,
24,17.104032,20160317 18:59:50 EST,20160317 18:59:50 EST,20160317 18:59:50 EST,126.051,,EURJPY,long,20160317 18:53:48 EST,20160317 18:53:48 EST,closed,20160317 18:53:48 EST,126.069,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.655968,
25,30.303768,20160317 19:03:28 EST,20160317 19:03:28 EST,20160317 19:03:28 EST,126.079,,EURJPY,short,20160317 18:59:50 EST,20160317 18:59:50 EST,closed,20160317 18:59:50 EST,126.051,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.656232,
26,27.6637152,20160317 19:04:45 EST,20160317 19:04:45 EST,20160317 19:04:45 EST,126.053,,EURJPY,long,20160317 19:03:28 EST,20160317 19:03:28 EST,closed,20160317 19:03:28 EST,126.079,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6562848,
27,17.1039264,20160317 19:10:45 EST,20160317 19:10:45 EST,20160317 19:10:45 EST,126.071,,EURJPY,short,20160317 19:04:45 EST,20160317 19:04:45 EST,closed,20160317 19:04:45 EST,126.053,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6560736,
28,14.4638736,20160317 19:20:31 EST,20160317 19:20:31 EST,20160317 19:20:31 EST,126.055,,EURJPY,long,20160317 19:10:45 EST,20160317 19:10:45 EST,closed,20160317 19:10:45 EST,126.071,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6561264,
29,-62.0945952,20160317 19:24:40 EST,20160317 19:24:40 EST,20160317 19:24:40 EST,126.013,,EURJPY,short,20160317 19:20:31 EST,20160317 19:20:31 EST,closed,20160317 19:20:31 EST,126.055,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6545952,
30,91.0284672,20160317 19:32:50 EST,20160317 19:32:50 EST,20160317 19:32:50 EST,125.939,,EURJPY,long,20160317 19:24:40 EST,20160317 19:24:40 EST,closed,20160317 19:24:40 EST,126.013,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6515328,
31,25.0297872,20160317 19:34:56 EST,20160317 19:34:56 EST,20160317 19:34:56 EST,125.963,,EURJPY,short,20160317 19:32:50 EST,20160317 19:32:50 EST,closed,20160317 19:32:50 EST,125.939,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6502128,
32,-2.6907672,20160317 19:36:51 EST,20160317 19:36:51 EST,20160317 19:36:51 EST,125.96,,EURJPY,long,20160317 19:34:56 EST,20160317 19:34:56 EST,closed,20160317 19:34:56 EST,125.963,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6507672,
33,1.2691536,20160317 19:41:44 EST,20160317 19:41:44 EST,20160317 19:41:44 EST,125.966,,EURJPY,short,20160317 19:36:51 EST,20160317 19:36:51 EST,closed,20160317 19:36:51 EST,125.96,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6508464,
34,1.26915360002,20160317 19:42:51 EST,20160317 19:42:51 EST,20160317 19:42:51 EST,125.96,,EURJPY,long,20160317 19:41:44 EST,20160317 19:41:44 EST,closed,20160317 19:41:44 EST,125.966,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,6.6508464,
