trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,commission,index
2,2.1,20160316 13:31:14 EST,,,1.10723,,EURUSD,short,20160316 12:49:06 EST,20160316 12:49:06 EST,closed,20160316 12:49:06 EST,1.10662,10000.0,,1.0,1.0,,EURUSD,stratFX,4.0,
1,29.176,20160316 14:31:40 EST,,,126.183,,EURJPY,short,20160316 12:49:05 EST,20160316 12:49:05 EST,closed,20160316 12:49:05 EST,125.806,10000.0,,1.0,1.0,,EURJPY,stratFX,4.0,
5,-121.04284,20160316 14:37:12 EST,,,1.31885,,USDCAD,short,20160316 13:29:56 EST,20160316 13:29:56 EST,closed,20160316 13:29:56 EST,1.33451,10000.0,,1.0,1.0,,USDCAD,stratFX,4.0,
6,-138.8,20160316 14:45:53 EST,,,1.12071,,EURUSD,long,20160316 13:31:14 EST,20160316 13:31:14 EST,closed,20160316 13:31:14 EST,1.10723,10000.0,,1.0,1.0,,EURUSD,stratFX,4.0,
4,-108.45904,20160316 14:46:43 EST,,,0.97922,,USDCHF,short,20160316 12:49:06 EST,20160316 12:49:06 EST,closed,20160316 12:49:06 EST,0.98954,10000.0,,1.0,1.0,,USDCHF,stratFX,4.0,
3,-172.7,20160316 15:40:18 EST,,,1.42622,,GBPUSD,long,20160316 12:49:06 EST,20160316 12:49:06 EST,closed,20160316 12:49:06 EST,1.40935,10000.0,,1.0,1.0,,GBPUSD,stratFX,4.0,
11,22.51964,20160316 15:45:21 EST,,,0.9766,,USDCHF,long,20160316 14:46:43 EST,20160316 14:46:43 EST,closed,20160316 14:46:43 EST,0.97922,10000.0,,1.0,1.0,,USDCHF,stratFX,4.0,
7,-7.8,20160316 15:46:51 EST,,,0.75423,,AUDUSD,long,20160316 14:29:46 EST,20160316 14:29:46 EST,closed,20160316 14:29:46 EST,0.75385,10000.0,,1.0,1.0,,AUDUSD,stratFX,4.0,
10,15.8,20160316 16:30:30 EST,,,1.12269,,EURUSD,short,20160316 14:45:53 EST,20160316 14:45:53 EST,closed,20160316 14:45:53 EST,1.12071,10000.0,,1.0,1.0,,EURUSD,stratFX,4.0,
9,48.6917,20160316 16:31:32 EST,,,1.3118,,USDCAD,long,20160316 14:37:12 EST,20160316 14:37:12 EST,closed,20160316 14:37:12 EST,1.31885,10000.0,,1.0,1.0,,USDCAD,stratFX,4.0,
12,36.392,20160316 16:34:01 EST,,,112.567,,USDJPY,short,20160316 15:28:11 EST,20160316 15:28:11 EST,closed,20160316 15:28:11 EST,112.414,10000.0,,3.0,3.0,,USDJPY,stratFX,4.0,
13,3.5,20160316 16:49:39 EST,,,1.42697,,GBPUSD,short,20160316 15:40:18 EST,20160316 15:40:18 EST,closed,20160316 15:40:18 EST,1.42622,10000.0,,1.0,1.0,,GBPUSD,stratFX,4.0,
15,-10.8,20160316 17:27:27 EST,,,0.75645,,AUDUSD,long,20160316 16:27:40 EST,20160316 16:27:40 EST,closed,20160316 16:27:40 EST,0.75577,10000.0,,1.0,1.0,,AUDUSD,stratFX,4.0,
8,-30.488,20160316 17:30:02 EST,,,126.484,,EURJPY,long,20160316 14:31:40 EST,20160316 14:31:40 EST,closed,20160316 14:31:40 EST,126.183,10000.0,,1.0,1.0,,EURJPY,stratFX,4.0,
14,13.40984,20160316 17:31:34 EST,,,0.97832,,USDCHF,short,20160316 15:45:21 EST,20160316 15:45:21 EST,closed,20160316 15:45:21 EST,0.9766,10000.0,,1.0,1.0,,USDCHF,stratFX,4.0,
16,5.5,20160316 17:40:30 EST,,,1.12174,,EURUSD,long,20160316 16:30:30 EST,20160316 16:30:30 EST,closed,20160316 16:30:30 EST,1.12269,10000.0,,1.0,1.0,,EURUSD,stratFX,4.0,
18,-15.968,20160316 17:52:46 EST,,,112.703,,USDJPY,long,20160316 16:34:01 EST,20160316 16:34:01 EST,closed,20160316 16:34:01 EST,112.567,10000.0,,1.0,1.0,,USDJPY,stratFX,4.0,
21,-8.576,20160316 18:25:00 EST,,,126.432,,EURJPY,short,20160316 17:30:02 EST,20160316 17:30:02 EST,closed,20160316 17:30:02 EST,126.484,10000.0,,1.0,1.0,,EURJPY,stratFX,4.0,
22,-2.4817,20160316 18:48:47 EST,,,0.97817,,USDCHF,long,20160316 17:31:34 EST,20160316 17:31:34 EST,closed,20160316 17:31:34 EST,0.97832,10000.0,,1.0,1.0,,USDCHF,stratFX,4.0,
19,15.7,20160316 19:37:15 EST,,,1.425,,GBPUSD,long,20160316 16:49:39 EST,20160316 16:49:39 EST,closed,20160316 16:49:39 EST,1.42697,10000.0,,1.0,1.0,,GBPUSD,stratFX,4.0,
17,63.869984,20160316 19:38:24 EST,,,1.312776,,USDCAD,short,20160316 16:31:32 EST,20160316 17:25:08 EST,closed,20160316 16:31:32 EST,1.31092,10000.0,,5.0,5.0,,USDCAD,stratFX,8.0,
23,-6.7,20160316 20:17:53 EST,,,1.12161,,EURUSD,long,20160316 18:44:17 EST,20160316 18:44:17 EST,closed,20160316 18:44:17 EST,1.12134,10000.0,,1.0,1.0,,EURUSD,stratFX,4.0,
20,-7.8,20160316 20:17:53 EST,,,0.75607,,AUDUSD,short,20160316 17:27:27 EST,20160316 17:27:27 EST,closed,20160316 17:27:27 EST,0.75645,10000.0,,1.0,1.0,,AUDUSD,stratFX,4.0,
27,10.08,20160316 20:34:35 EST,,,126.579,,EURJPY,short,20160316 20:17:53 EST,20160316 20:17:53 EST,closed,20160316 20:17:53 EST,126.547,10000.0,,5.0,5.0,,EURJPY,stratFX,4.0,
24,-2.27926,20160316 20:36:00 EST,,,0.97834,,USDCHF,short,20160316 18:48:47 EST,20160316 18:48:47 EST,closed,20160316 18:48:47 EST,0.97817,10000.0,,1.0,1.0,,USDCHF,stratFX,4.0,
26,13.11546,20160316 21:32:46 EST,,,1.31015,,USDCAD,long,20160316 19:38:24 EST,20160316 19:38:24 EST,closed,20160316 19:38:24 EST,1.31244,10000.0,,1.0,1.0,,USDCAD,stratFX,4.0,
28,-3.5,20160316 21:49:18 EST,,,1.12166,,EURUSD,short,20160316 20:17:53 EST,20160316 20:17:53 EST,closed,20160316 20:17:53 EST,1.12161,10000.0,,1.0,1.0,,EURUSD,stratFX,4.0,
31,28.3904,20160316 21:50:59 EST,,,0.9777,,USDCHF,long,20160316 20:36:00 EST,20160316 20:36:00 EST,closed,20160316 20:36:00 EST,0.97834,10000.0,,5.0,5.0,,USDCHF,stratFX,4.0,
32,-4.67266,20160316 22:29:55 EST,,,1.31006,,USDCAD,short,20160316 21:32:46 EST,20160316 21:32:46 EST,closed,20160316 21:32:46 EST,1.31015,10000.0,,1.0,1.0,,USDCAD,stratFX,4.0,
29,-41.6,20160316 22:38:38 EST,,,0.75983,,AUDUSD,long,20160316 20:17:53 EST,20160316 20:17:53 EST,closed,20160316 20:17:53 EST,0.75607,10000.0,,1.0,1.0,,AUDUSD,stratFX,4.0,
34,-10.4,20160316 22:40:04 EST,,,1.1223,,EURUSD,long,20160316 21:49:18 EST,20160316 21:49:18 EST,closed,20160316 21:49:18 EST,1.12166,10000.0,,1.0,1.0,,EURUSD,stratFX,4.0,
35,-5.11342,20160316 22:40:26 EST,,,0.97759,,USDCHF,short,20160316 21:50:59 EST,20160316 21:50:59 EST,closed,20160316 21:50:59 EST,0.9777,10000.0,,1.0,1.0,,USDCHF,stratFX,4.0,
33,-5.232,20160316 22:43:32 EST,,,112.78,,USDJPY,short,20160316 21:45:35 EST,20160316 21:45:35 EST,closed,20160316 21:45:35 EST,112.794,10000.0,,1.0,1.0,,USDJPY,stratFX,4.0,
38,-1.8,20160316 23:45:41 EST,,,1.12252,,EURUSD,short,20160316 22:40:04 EST,20160316 22:40:04 EST,closed,20160316 22:40:04 EST,1.1223,10000.0,,1.0,1.0,,EURUSD,stratFX,4.0,
36,1.15706,20160316 23:48:54 EST,,,1.30937,,USDCAD,long,20160316 22:29:55 EST,20160316 22:29:55 EST,closed,20160316 22:29:55 EST,1.31006,10000.0,,1.0,1.0,,USDCAD,stratFX,4.0,
40,141.64,20160317 00:34:04 EST,,,112.35,,USDJPY,long,20160316 23:32:10 EST,20160316 23:32:10 EST,closed,20160316 23:32:10 EST,112.681,10000.0,,5.0,5.0,,USDJPY,stratFX,4.0,
37,-5.7,20160317 00:42:10 EST,,,0.75966,,AUDUSD,short,20160316 22:38:38 EST,20160316 22:38:38 EST,closed,20160316 22:38:38 EST,0.75983,10000.0,,1.0,1.0,,AUDUSD,stratFX,4.0,
42,26.6434,20160317 00:50:31 EST,,,1.31019,,USDCAD,short,20160316 23:48:54 EST,20160316 23:48:54 EST,closed,20160316 23:48:54 EST,1.30937,10000.0,,5.0,5.0,,USDCAD,stratFX,4.0,
44,-4.8,20160317 01:37:06 EST,,,0.75974,,AUDUSD,long,20160317 00:42:10 EST,20160317 00:42:10 EST,closed,20160317 00:42:10 EST,0.75966,10000.0,,1.0,1.0,,AUDUSD,stratFX,4.0,
39,-6.12562,20160317 01:45:06 EST,,,0.97755,,USDCHF,short,20160316 23:28:25 EST,20160316 23:28:25 EST,closed,20160316 23:28:25 EST,0.97776,10000.0,,1.0,1.0,,USDCHF,stratFX,4.0,
43,-21.512,20160317 01:45:49 EST,,,112.151,,USDJPY,short,20160317 00:34:04 EST,20160317 00:34:04 EST,closed,20160317 00:34:04 EST,112.35,10000.0,,1.0,1.0,,USDJPY,stratFX,4.0,
30,56.984,20160317 01:54:35 EST,,,125.886,,EURJPY,long,20160316 20:34:35 EST,20160316 20:34:35 EST,closed,20160316 20:34:35 EST,126.579,10000.0,,1.0,1.0,,EURJPY,stratFX,4.0,
41,1.5,20160317 01:58:21 EST,,,1.12197,,EURUSD,long,20160316 23:45:41 EST,20160316 23:45:41 EST,closed,20160316 23:45:41 EST,1.12252,10000.0,,1.0,1.0,,EURUSD,stratFX,4.0,
46,-5.9,20160317 02:51:35 EST,,,0.75955,,AUDUSD,short,20160317 01:37:06 EST,20160317 01:37:06 EST,closed,20160317 01:37:06 EST,0.75974,10000.0,,1.0,1.0,,AUDUSD,stratFX,4.0,
47,-20.456,20160317 03:33:47 EST,,,125.699,,EURJPY,short,20160317 01:54:35 EST,20160317 01:54:35 EST,closed,20160317 01:54:35 EST,125.886,10000.0,,1.0,1.0,,EURJPY,stratFX,4.0,
45,50.1865,20160317 03:46:32 EST,,,1.30294,,USDCAD,long,20160317 00:50:31 EST,20160317 00:50:31 EST,closed,20160317 00:50:31 EST,1.31019,10000.0,,1.0,1.0,,USDCAD,stratFX,4.0,
49,15.7379,20160317 03:49:08 EST,,,0.97594,,USDCHF,long,20160317 02:42:37 EST,20160317 02:42:37 EST,closed,20160317 02:42:37 EST,0.97789,10000.0,,1.0,1.0,,USDCHF,stratFX,4.0,
25,48.9,20160317 04:42:49 EST,,,1.43029,,GBPUSD,short,20160316 19:37:15 EST,20160316 19:37:15 EST,closed,20160316 19:37:15 EST,1.425,10000.0,,1.0,1.0,,GBPUSD,stratFX,4.0,
48,53.0,20160317 04:57:34 EST,,,1.12839,,EURUSD,short,20160317 02:30:50 EST,20160317 02:30:50 EST,closed,20160317 02:30:50 EST,1.12269,10000.0,,1.0,1.0,,EURUSD,stratFX,4.0,
53,5.24,20160317 05:28:36 EST,,,111.712,,USDJPY,short,20160317 04:34:16 EST,20160317 04:34:16 EST,closed,20160317 04:34:16 EST,111.607,10000.0,,1.0,1.0,,USDJPY,stratFX,4.0,
54,-4.7,20160317 05:47:42 EST,,,1.12846,,EURUSD,long,20160317 04:57:34 EST,20160317 04:57:34 EST,closed,20160317 04:57:34 EST,1.12839,10000.0,,1.0,1.0,,EURUSD,stratFX,4.0,
51,-25.97356,20160317 05:48:47 EST,,,1.3,,USDCAD,short,20160317 03:46:32 EST,20160317 03:46:32 EST,closed,20160317 03:46:32 EST,1.30294,10000.0,,1.0,1.0,,USDCAD,stratFX,4.0,
52,-82.4455,20160317 06:31:24 EST,,,0.96819,,USDCHF,short,20160317 03:49:08 EST,20160317 03:49:08 EST,closed,20160317 03:49:08 EST,0.97594,10000.0,,1.0,1.0,,USDCHF,stratFX,4.0,
55,245.04,20160317 06:35:54 EST,,,111.146,,USDJPY,long,20160317 05:28:36 EST,20160317 05:28:36 EST,closed,20160317 05:28:36 EST,111.712,10000.0,,5.0,5.0,,USDJPY,stratFX,4.0,
57,37.0,20160317 06:57:32 EST,,,1.13256,,EURUSD,short,20160317 05:47:42 EST,20160317 05:47:42 EST,closed,20160317 05:47:42 EST,1.12846,10000.0,,1.0,1.0,,EURUSD,stratFX,4.0,
56,-61.6,20160317 07:48:38 EST,,,1.43489,,GBPUSD,long,20160317 05:44:02 EST,20160317 05:44:02 EST,closed,20160317 05:44:02 EST,1.42913,10000.0,,1.0,1.0,,GBPUSD,stratFX,4.0,
58,-293.52,20160317 07:50:58 EST,,,125.505,,EURJPY,short,20160317 06:43:31 EST,20160317 06:43:31 EST,closed,20160317 06:43:31 EST,126.163,10000.0,,5.0,5.0,,EURJPY,stratFX,4.0,
50,-41.0,20160317 08:36:42 EST,,,0.7599,,AUDUSD,short,20160317 03:37:22 EST,20160317 03:37:22 EST,closed,20160317 03:37:22 EST,0.7636,10000.0,,1.0,1.0,,AUDUSD,stratFX,4.0,
