,dates, OPEN, HIGH, LOW, CLOSE, VOL, OI,F_ES,F_CL,F_DX,F_ED,F_GC,F_US,S_HSI,S_SEC,S_XLB,S_XLE,S_XLF,S_XLI,S_XLK,S_XLP,S_XLU,S_XLV,S_XLY,"Long1 ZZ 0.005,-0.005","Short-1 ZZ 0.005,-0.005",TOX25>0.01195,TOX20>0.013919,Pri_RSI,Pri_RSI_Y1,Pri_RSI_Y2,Pri_RSI_Y3,Pri_RSI_Y4,Pri_ATR,Pri_ATR_Y1,Pri_ATR_Y2,Pri_ATR_Y3,Rel_ATR,priceChange,priceChangeY1,priceChangeY2,priceChangeY3,Pri_DPO,GARCH,GARCH_Y1,GARCH_Y2,GARCH_Y3,autoCor,autoCor_Y1,autoCor_Y2,autoCor_Y3,K_Eff,K_Eff_Y1,K_Eff_Y2,K_Eff_Y3,volSpike,volSpike_Y1,volSpike_Y2,volSpike_Y3,F_CL_WOWzScore,F_DX_WOWzScore,F_ED_WOWzScore,F_GC_WOWzScore,F_US_WOWzScore,S_HSI_WOWzScore,S_SEC_WOWzScore,S_XLB_WOWzScore,S_XLE_WOWzScore,S_XLF_WOWzScore,S_XLI_WOWzScore,S_XLK_WOWzScore,S_XLP_WOWzScore,S_XLU_WOWzScore,S_XLV_WOWzScore,S_XLY_WOWzScore,runsScore10,percentUpDays10,mean60_ga,std60_ga,kurt60_ga,skew60_ga,gainAhead
5,1999-04-16,66600.0,66775.0,65875.0,66150.0,37172.0,16215.0,-0.00675675675676,17340.0,99860.0,237475.0,28560.0,121343.8,12490.299805,1166.237061,25.59,27.14,26.12,28.08,36.19,26.14,28.34,28.72,29.72,-1.0,-1.0,1,1,0.00563824808681,0.02356642634,0.235927989896,0.999662091462,0.996114114322,1.61374109814,1.6842725622,1.37943262353,1.57996488618,-0.0921747375256,-0.0121336568975,-0.0168838318958,-0.00710641399417,0.0101233204491,-0.0103018949514,0.201063619839,1.22603091706,-0.286462490312,-0.134337509426,0.946548230063,-0.0571938301136,-0.0806391151979,0.723366994459,-1.47770403566,-0.976561657796,0.598070317625,1.55582990053,-1.31044072337,0.0890682115731,0.215774639088,1.00886581936,0.0953885028427,-0.00468454101465,-0.000315723005683,0.010258224266,-0.0154661257606,0.0650128217252,-0.0301312825368,0.14139161463,0.0895222802088,-0.0132225160559,0.0883720930233,-0.073476702509,-0.0286138981791,-0.00281491907108,-0.0264406779661,-0.00933333333333,-0.210731807606,0.6,0.00113886772383,0.0131637800095,-0.592119566318,-0.299943981702,-0.0160619803477
6,1999-04-19,66212.5,67525.0,64537.5,65087.5,54456.0,18191.0,-0.0160619803477,17630.0,100400.0,237475.0,28630.0,121812.5,12766.44043,1159.473022,25.86,27.47,26.12,28.31,34.44,25.05,28.62,27.94,29.06,1.0,1.0,-1,-1,0.000943775687358,0.00563824808681,0.02356642634,0.235927989896,0.999662091462,1.99494620109,1.61374109814,1.6842725622,1.37943262353,0.228627999984,-0.0160619803477,-0.0121336568975,-0.0168838318958,-0.00710641399417,-0.0132730698722,0.751193270207,0.201063619839,1.22603091706,-0.286462490312,0.98458804103,0.946548230063,-0.0571938301136,-0.0806391151979,-0.602667207864,-1.47770403566,-0.976561657796,0.598070317625,0.860752553159,-1.31044072337,0.0890682115731,0.215774639088,0.06461352657,0.00480384307446,-0.000315723005683,0.0102328863797,-0.00940319820963,0.0715405149338,-0.0378927364894,0.159121470193,0.0823483057526,-0.0109806891329,0.0968616815188,-0.116923076923,-0.0711902113459,0.0141743444366,-0.0557620817844,-0.0402906208719,-0.913171166292,0.6,0.000824200794258,0.0133473350339,-0.707809901401,-0.252121663625,0.0101786057231
7,1999-04-20,65037.5,65875.0,64775.0,65750.0,45932.0,16903.0,0.0101786057231,17480.0,100680.0,237487.5,28590.0,122125.0,12409.780273,1171.603027,25.55,27.03,26.47,28.12,35.31,25.52,28.94,28.47,29.44,1.0,1.0,1,1,0.72215946399,0.000943775687358,0.00563824808681,0.02356642634,0.235927989896,1.54772368056,1.99494620109,1.61374109814,1.6842725622,0.717116355451,0.0101786057231,-0.0160619803477,-0.0121336568975,-0.0168838318958,-0.00161739448776,-0.277016263174,0.751193270207,0.201063619839,1.22603091706,0.300375704593,0.98458804103,0.946548230063,-0.0571938301136,-1.20370168313,-0.602667207864,-1.47770403566,-0.976561657796,-0.908639872679,0.860752553159,-1.31044072337,0.0890682115731,0.0619684082625,0.0103361766182,-0.000263102504736,0.00492091388401,-0.00761808024378,0.0566244996271,-0.0198554953835,0.112320417936,0.0575117370892,-0.0152529761905,0.0635400907716,-0.0807081489196,-0.0692924872356,0.0111809923131,-0.0616348055372,-0.0357025876187,-1.00623058987,0.5,0.00105406100338,0.0133883175327,-0.713605870285,-0.296482150204,0.0279467680608
14,1999-04-29,67925.0,68237.5,67137.5,67375.0,40453.0,21260.0,-0.00846210448859,18530.0,100820.0,237525.0,28730.0,122218.8,13179.700195,1116.405029,27.45,28.72,27.06,29.03,37.11,25.86,29.66,29.22,29.44,-1.0,-1.0,-1,-1,0.0170334748311,0.0690405370394,0.975740688088,0.902787961153,0.554332172588,-1.10776779825,-1.48968812749,-1.95682958833,-1.35035250813,0.587950065133,-0.00846210448859,-0.0127134035598,0.00364564345607,0.0047619047619,-0.00639941635917,-0.380906004797,-0.0391059792282,-0.787729211273,-0.83640631345,0.60301419218,-0.637306543073,0.310747622083,-0.348357707757,-1.37033501612,-0.499061644824,0.99716927753,0.457566976868,1.06970851621,0.233227752856,0.329098389841,-1.49828524504,0.0192519251925,0.00109224506007,0.000157903047529,0.00736325385694,0.0111172699069,0.0190326975645,-0.0182532992109,0.0871287128713,0.0601698043559,-0.00368188512518,0.0283386468296,-0.0213607594937,-0.0300075018755,0.0102179836512,-0.0168236877524,-0.0193204530313,-0.335410196625,0.5,0.00148844954977,0.0133994387435,-0.551291417126,-0.267670579248,-0.00816326530612
15,1999-04-30,67400.0,67987.5,65937.5,66825.0,35780.0,20316.0,-0.00816326530612,18660.0,100890.0,237475.0,28780.0,120187.5,13333.200195,1120.927002,27.12,28.23,26.69,28.69,36.81,25.52,29.27,29.0,29.34,1.0,1.0,-1,-1,0.00370079107387,0.0170334748311,0.0690405370394,0.975740688088,0.902787961153,-0.159602685677,-1.10776779825,-1.48968812749,-1.95682958833,-2.20812368082,-0.00816326530612,-0.00846210448859,-0.0127134035598,0.00364564345607,-0.00730824368724,-0.337975155718,-0.380906004797,-0.0391059792282,-0.787729211273,0.994380998332,0.60301419218,-0.637306543073,0.310747622083,-1.18674538833,-1.37033501612,-0.499061644824,0.99716927753,0.249527624315,1.06970851621,0.233227752856,0.329098389841,0.0401337792642,0.00148898153663,-5.26343491763e-05,0.010179010179,-0.00645869017466,0.0331569507463,-0.0167280675913,0.0585480093677,0.0553271028037,-0.0136733185514,0.00843585237258,-0.0313157894737,-0.0409620443442,-0.00238582140423,-0.0457387298453,-0.0329597890574,-0.335410196625,0.5,0.00162142929534,0.013260373379,-0.482499712385,-0.272855720955,0.00486344930789
16,1999-05-04,67950.0,68062.5,66862.5,67150.0,40733.0,19253.0,-0.0119551223101,18920.0,100510.0,237462.5,28690.0,119656.3,13559.69043,1111.927002,27.58,28.97,26.16,29.38,36.56,25.89,29.45,29.0,29.72,1.0,1.0,-1,-1,0.699241672712,0.00370079107387,0.0170334748311,0.0690405370394,0.975740688088,0.143759573683,-0.159602685677,-1.10776779825,-1.48968812749,-0.866394634707,0.00486344930789,-0.00816326530612,-0.00846210448859,-0.0127134035598,-0.00124170875451,-0.50078446817,-0.337975155718,-0.380906004797,-0.0391059792282,0.418541091566,0.994380998332,0.60301419218,-0.637306543073,-1.38353414427,-1.18674538833,-1.37033501612,-0.499061644824,1.14162158249,0.249527624315,1.06970851621,0.233227752856,0.0713476783692,-0.00376647834275,-0.000105268698353,0.0152158527955,-0.0141602471679,0.0329603302546,-0.000776438691162,0.086682427108,0.107415902141,-0.0187546886722,0.0337790288529,-0.0618424429048,-0.0200605601817,0.0089071599863,-0.0441661173368,-0.0145888594164,-0.335410196625,0.5,0.00129915071599,0.0129332656406,-0.412687399651,-0.309753185988,0.00670141474311
25,1999-05-17,66912.5,67300.0,66275.0,67050.0,40250.0,19491.0,0.00130670151204,17830.0,100730.0,237292.5,27480.0,117531.3,12588.599609,1065.557007,27.08,27.7,25.88,29.06,38.03,25.92,29.97,29.06,28.88,1.0,1.0,-1,-1,0.226539292704,0.0459709578408,0.99570562653,0.985990637698,0.926016088218,0.874620880202,1.20371034498,0.00720882273463,0.477918673807,0.427691239309,0.00130670151204,-0.026,0.00438276113952,0.00791459598748,-0.00468261217175,-0.479205232893,2.83465703273,-0.830634033204,0.545402446509,0.317242222255,-0.665050678866,0.98889544309,0.60572922827,-0.211799126146,0.00795528163603,1.98342457422,2.13768938386,-0.7558622303,-0.118833249552,-1.40409907867,-0.967079387419,-0.0362162162162,0.0122600743644,-0.00055807096978,-0.0129310344828,-0.0110439080541,-0.0436520433852,-0.00594256417472,-0.0345811051693,-0.0215471564818,-0.0152207001522,-0.0179114565732,0.0192977753953,0.0121046466224,0.021472392638,-0.00547570157426,-0.0190217391304,0.49170755108,0.6,0.000832665753474,0.0124227739119,-0.224838648358,-0.243739726134,0.000186428038777
32,1999-05-26,64175.0,65537.5,64025.0,65225.0,50744.0,23236.0,0.0155702608019,17350.0,102130.0,236737.5,27090.0,117750.0,12409.160156,1236.046021,25.75,28.19,25.3,28.31,36.73,25.0,30.06,28.22,28.19,-1.0,-1.0,1,1,0.752954285263,0.000396437917947,0.00269583235837,0.034476896783,0.19288153361,1.17948065726,0.504649578025,-0.850174941521,-1.71705190069,-0.413563140507,0.0155702608019,-0.0213333333333,-0.0166697883499,-0.00577281191806,-0.000305692535693,-0.103828060416,0.921896223166,0.735789283967,-0.255104388283,0.213411722299,0.978824003829,0.973131700611,-0.105748877246,0.516737204048,2.09909472362,1.84470722652,0.358391997997,1.00468718051,2.02250382869,2.2631896522,-0.739209592,0.0272350503256,0.011288246361,-0.00212862366566,-0.00950639853748,-0.00422832980973,0.000485401936192,0.114469653255,-0.0352191832147,0.027332361516,-0.031393568147,-0.0278159340659,-0.045974025974,-0.0362374710871,0.00467914438503,-0.0299071845995,-0.0184540389972,-1.00623058987,0.5,0.00120581631165,0.0123728339656,-0.168323613023,-0.28672730719,-0.0141816788041
35,1999-06-01,64937.5,65150.0,64125.0,64775.0,39143.0,22101.0,-0.0013490075159,16340.0,102100.0,236362.5,26950.0,116093.8,12363.55957,1311.593994,25.72,27.47,24.72,28.14,36.11,25.34,29.59,28.19,28.19,1.0,1.0,-1,-1,0.486624768397,0.752537953346,0.16799663849,0.752954285263,0.000396437917947,0.223084553748,0.990003025541,1.59082940518,1.17948065726,-0.323005606432,-0.0013490075159,0.00874805598756,-0.0141816788041,0.0155702608019,-0.000327844803349,-0.832169052037,-0.541175587218,-0.205894205421,-0.103828060416,-0.876266525497,-0.945383117156,-0.97726255614,0.213411722299,0.238197928803,0.271049976165,1.09877941289,0.516737204048,-0.621033012678,-1.77931610183,0.620584056057,1.00468718051,-0.042203985932,0.0069033530572,-0.00174216027875,-0.0178571428571,-0.0182342494715,-0.00589383332492,0.0806984006339,-0.0201904761905,-0.00181686046512,-0.0174880763116,-0.0164278224397,-0.0174149659864,0.00356435643564,-0.00970548862115,-0.0098349139445,0.00106534090909,-0.335410196625,0.5,0.00088611511402,0.0123579097679,-0.187739565564,-0.263759703787,0.000578927055191
38,1999-06-04,65237.5,66550.0,64775.0,66487.5,39391.0,22090.0,0.0189655172414,17320.0,102680.0,236400.0,26720.0,116062.5,12415.540039,1285.578979,26.25,28.31,25.0,29.11,37.33,26.06,29.75,29.0,29.0,1.0,1.0,-1,-1,0.999234463086,0.988821829329,0.707843018242,0.486624768397,0.752537953346,-0.516016803859,-0.871859427689,-0.211698412372,0.223084553748,0.735469316367,0.0189655172414,0.00675024108004,0.000578927055191,-0.0013490075159,0.011103811057,1.04773178541,-0.586914669044,-0.834768622429,-0.832169052037,0.983215501332,-0.15275230292,-0.956436286561,-0.876266525497,-1.39892040244,-0.883139166275,0.0686967259019,0.238197928803,-0.229874941467,-0.615052776361,0.172045389636,-0.621033012678,0.00873616773442,0.00518844836025,-0.000475661962898,-0.0183688464364,-0.0096,0.00869395156258,0.00199448095907,0.0433227344992,0.0354791514265,0.012555690563,0.045617816092,0.0235810255004,0.0474276527331,0.00676818950931,0.0390541024722,0.0499637943519,0.49170755108,0.4,0.000503354104521,0.0120547483228,-0.0775488094562,-0.269553636362,0.00188005264147
