symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency
EURJPY,EUR,,1000000.0,1000000.0,127.375,127.375,-1120900.0,22.418,0.0,-22.418,0.0,Paper,JPY
EURUSD,EUR,,1000000.0,1000000.0,1.13278,1.13278,-1132780.0,22.6556,0.0,-22.6556,0.0,Paper,USD
GBPUSD,GBP,,1000000.0,1000000.0,1.44205,1.44205,-1442050.0,28.841,0.0,-28.841,0.0,Paper,USD
USDCHF,USD,,-1000000.0,-1000000.0,0.96303,0.96303,-974778.966,19.49557932,0.0,-19.49557932,0.0,Paper,CHF
USDJPY,USD,,-1000000.0,-1000000.0,112.434,112.434,-989419.2,19.788384,0.0,-19.788384,0.0,Paper,JPY
AUDUSD,AUD,,1000000.0,1000000.0,0.76785,0.76785,-767850.0,15.357,0.0,-15.357,0.0,Paper,USD
USDCAD,USD,,-1000000.0,-1000000.0,1.30127,1.30127,-972569.198,19.45138396,0.0,-19.45138396,0.0,Paper,CAD
NZDJPY,NZD,,1000000.0,1000000.0,77.995,77.995,-686356.0,13.72712,0.0,-13.72712,0.0,Paper,JPY
CADJPY,CAD,,1000000.0,1000000.0,86.423,86.423,-760522.4,15.210448,0.0,-15.210448,0.0,Paper,JPY
CHFJPY,CHF,,1000000.0,1000000.0,116.747,116.747,-1027373.6,20.547472,0.0,-20.547472,0.0,Paper,JPY
EURGBP,EUR,,-1000000.0,-1000000.0,0.78531,0.78531,-1107679.755,22.1535951,0.0,-22.1535951,0.0,Paper,GBP
GBPJPY,GBP,,-1000000.0,-1000000.0,162.202,162.202,-1427377.6,28.547552,0.0,-28.547552,0.0,Paper,JPY
EURCHF,EUR,,1000000.0,1000000.0,1.09147,1.09147,-1104785.934,22.09571868,0.0,-22.09571868,0.0,Paper,CHF
NZDUSD,NZD,,1000000.0,1000000.0,0.69378,0.69378,-693780.0,13.8756,0.0,-13.8756,0.0,Paper,USD
AUDJPY,AUD,,-1000000.0,-1000000.0,86.291,86.291,0.0,15.187216,0.0,-611.186048,-580.8,Paper,JPY
