symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency
EURJPY,EUR,,1000000.0,1000000.0,127.407,127.407,-1121181.6,22.423632,0.0,-22.423632,0.0,Paper,JPY
EURUSD,EUR,,1000000.0,1000000.0,1.13288,1.13288,-1132880.0,22.6576,0.0,-22.6576,0.0,Paper,USD
GBPUSD,GBP,,1000000.0,1000000.0,1.44229,1.44229,-1442290.0,28.8458,0.0,-28.8458,0.0,Paper,USD
AUDUSD,AUD,,1000000.0,1000000.0,0.76782,0.76782,-767820.0,15.3564,0.0,-15.3564,0.0,Paper,USD
USDCAD,USD,,-1000000.0,-1000000.0,1.30126,1.30126,-972561.724,19.45123448,0.0,-19.45123448,0.0,Paper,CAD
NZDJPY,NZD,,1000000.0,1000000.0,77.994,77.994,-686347.2,13.726944,0.0,-13.726944,0.0,Paper,JPY
CHFJPY,CHF,,1000000.0,1000000.0,116.759,116.759,-1027479.2,20.549584,0.0,-20.549584,0.0,Paper,JPY
EURCHF,EUR,,1000000.0,1000000.0,1.0914,1.0914,-1104715.08,22.0943016,0.0,-22.0943016,0.0,Paper,CHF
NZDUSD,NZD,,1000000.0,1000000.0,0.69374,0.69374,-693740.0,13.8748,0.0,-13.8748,0.0,Paper,USD
CADJPY,CAD,,1000000.0,1000000.0,86.583,86.583,-761930.4,15.238608,0.0,-15.238608,0.0,Paper,JPY
AUDJPY,AUD,,-1000000.0,-1000000.0,86.326,86.326,0.0,15.193376,0.0,-303.192208,-272.8,Paper,JPY
