symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency
EURUSD,EUR,,1000000.0,1000000.0,1.1327687,1.1327687,-1121442.3,22.428846,0.0,14.071154,50.5,Paper,USD
EURJPY,EUR,,1000000.0,1000000.0,127.416,127.416,-1110074.328,22.20148656,0.0,-24.20148656,0.0,Paper,JPY
GBPUSD,GBP,,1000000.0,1000000.0,1.4424881,1.4424881,-1428253.2,28.565064,0.0,-38.165064,-3.6,Paper,USD
AUDUSD,AUD,,1000000.0,1000000.0,0.7681475,0.7681475,-760478.4,15.209568,0.0,-17.209568,0.0,Paper,USD
USDCAD,USD,,-1000000.0,-1000000.0,1.3009469,1.3009469,-962591.93118,19.2518386236,0.0,-21.2518386236,0.0,Paper,CAD
NZDJPY,NZD,,1000000.0,1000000.0,77.98815,77.98815,-679501.152,13.59002304,0.0,-15.59002304,0.0,Paper,JPY
CHFJPY,CHF,,1000000.0,1000000.0,116.72736,116.72736,-1016943.048,20.33886096,0.0,-22.33886096,0.0,Paper,JPY
EURCHF,EUR,,1000000.0,1000000.0,1.0914139,1.0914139,-1093677.94998,21.8735589996,0.0,-54.9797389996,-17.10618,Paper,CHF
NZDUSD,NZD,,1000000.0,1000000.0,0.6937822,0.6937822,-686852.1,13.737042,0.0,-15.737042,0.0,Paper,USD
CADJPY,CAD,,1000000.0,1000000.0,86.553,86.553,-761666.4,15.233328,0.0,-15.233328,0.0,Paper,JPY
AUDJPY,AUD,,-1000000.0,-1000000.0,86.307,86.307,0.0,15.190032,0.0,-531.02244384,-498.784,Paper,JPY
