sym,currency,exp,qty,price,value,avg_cost,unr_pnl,real_pnl,accountid
AUD,USD,,25000,0.74333,18583.25,0.736,183.25,0.0,DU159913
EUR,USD,,25000,1.10217,27554.25,1.1031,-23.25,45.0,DU159913
GBP,USD,,-25000,1.42428995,-35607.25,1.42475,11.5,25.0,DU159913
USD,CAD,,25000,1.33448005,33362.0,1.33315,33.25,-125.75,DU159913
USD,CHF,,-25000,0.99111495,-24777.87,0.99175,15.88,59.75,DU159913
USD,JPY,,-25000,112.97449495,-2824362.37,112.840924,-3339.27,22978.6,DU159913
