2017-07-28 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-07-28 00:00:00,Close2017-07-28 00:00:00,group,RiskOn,Custom,SEA2017-07-28 00:00:00,SRUN2017-07-28 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2017-07-27 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-07-28 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-07-28 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-07-28 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,prevACT,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6
NQ,@NQU7,5910.25,61.45,0.000126914290549,1.0,-1.0,-1.0,-1.0,-1.0,-7.0,2017-07-19,1229.0,1.0,1.0,1.0,118205.0,1.0,0.000126914290549,5910.25,index,1.0,1.0,-1.0,-7.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,1,1,1.0,-1,-1,1,1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,1.0,1
O,@OZ7,291.75,11.3125,0.000857632933105,1.0,-1.0,1.0,-1.0,-1.0,6.0,2017-07-20,565.625,1.0,1.0,1.0,14587.5,1.0,0.000857632933105,291.75,grain,1.0,-1.0,-1.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,-1,1,1,1,-1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1
OJ,@OJU7,136.3,4.3225,-0.0105263157895,-1.0,-1.0,-1.0,1.0,-1.0,7.0,2017-07-19,648.375,1.0,1.0,1.0,20445.0,1.0,-0.0105263157895,136.3,soft,1.0,1.0,-1.0,7.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1.0,0.0,1.0,0,-1,-1,-1,1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,-1.0,1,1,0.0,1
PA,QPAU7,880.15,15.555,0.00370623788345,1.0,-1.0,1.0,-1.0,1.0,15.0,2017-07-07,1555.5,1.0,1.0,1.0,88015.0,1.0,0.00370623788345,880.15,metal,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,-1,-1,1.0,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0
PL,QPLV7,936.6,14.95,0.0110103626943,1.0,-1.0,-1.0,-1.0,-1.0,13.0,2017-07-11,747.5,1.0,1.0,1.0,46830.0,1.0,0.0110103626943,936.6,metal,-1.0,1.0,-1.0,13.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,1,-1,1,1,1,1,1.0,-1,-1,1,1,-1,1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,0.0,1,0,1.0,1
RB,QRBU7,1.6458,0.038305751,0.0161140952028,1.0,1.0,1.0,1.0,1.0,-11.0,2017-07-13,1608.841542,1.0,1.0,1.0,69123.6,1.0,0.0161140952028,1.6458,energy,1.0,1.0,1.0,-11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0
RR,@RRU7,12.415,0.18875,0.00812017864393,1.0,1.0,-1.0,1.0,1.0,19.0,2017-06-30,377.5,2.0,1.0,1.0,24830.0,1.0,0.00812017864393,12.415,grain,1.0,-1.0,1.0,19.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,1,-1,-1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1
RS,@RSX7,510.3,10.205,0.0129019452164,1.0,-1.0,1.0,-1.0,1.0,-3.0,2017-07-10,164.212728297,6.0,1.0,1.0,8211.44098479,1.2429,0.0129019452164,510.3,grain,1.0,-1.0,1.0,-3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,1,1,1,-1,-1,1.0,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0
S,@SX7,1013.0,21.9,0.00545905707196,1.0,-1.0,-1.0,-1.0,-1.0,6.0,2017-07-20,1095.0,1.0,1.0,1.0,50650.0,1.0,0.00545905707196,1013.0,grain,1.0,-1.0,-1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,1,1,1,1,1,1.0,-1,-1,1,1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,1.0,1
SB,@SBV7,14.37,0.4835,-0.004158004158,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,2017-07-11,541.52,1.0,1.0,1.0,16094.4,1.0,-0.004158004158,14.37,soft,1.0,1.0,-1.0,13.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1
