2017-07-28 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-07-28 00:00:00,Close2017-07-28 00:00:00,group,RiskOn,Custom,SEA2017-07-28 00:00:00,SRUN2017-07-28 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2017-07-27 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-07-28 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-07-28 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-07-28 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,prevACT,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6
AC,@ACU7,1.556,0.0301895995,0.00581771170006,1.0,1.0,-1.0,1.0,-1.0,12.0,2017-07-12,875.4983855,1.0,1.0,1.0,45124.0,1.0,0.00581771170006,1.556,energy,1.0,1.0,-1.0,12.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,-1,-1,-1,1,1,1.0,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1
AD,@ADU7,0.7989,0.007085,0.0031391260673,1.0,-1.0,-1.0,1.0,-1.0,21.0,2017-06-28,708.5,1.0,1.0,1.0,79890.0,1.0,0.0031391260673,0.7989,currency,1.0,1.0,-1.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0,-1,-1,-1,1,1,1,1.0,-1,-1,1,-1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,0.0,1,-1,-1.0,0
AEX,AEXQ7,522.0,4.408427998,-0.00901756051258,-1.0,1.0,-1.0,1.0,-1.0,-12.0,2017-07-12,1036.59775945,1.0,1.0,1.0,122743.08,0.85055711491,-0.00901756051258,522.0,index,1.0,1.0,-1.0,-12.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,-1,-1,-1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0
BO,@BOZ7,35.02,0.672,0.021289005541,1.0,1.0,-1.0,1.0,1.0,-16.0,2017-07-06,403.2,2.0,1.0,1.0,21012.0,1.0,0.021289005541,35.02,grain,1.0,1.0,1.0,-16.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,0,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1
BP,@BPU7,1.317,0.00852,0.0057273768614,1.0,-1.0,-1.0,1.0,-1.0,14.0,2017-07-10,532.5,1.0,1.0,1.0,82312.5,1.0,0.0057273768614,1.317,currency,1.0,1.0,-1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0,-1,-1,-1,1,1,1,1.0,-1,-1,1,-1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,0.0,1,-1,-1.0,0
C,@CZ7,388.0,10.7287474865,0.000644745325596,1.0,-1.0,-1.0,-1.0,1.0,6.0,2017-07-20,536.437374325,1.0,1.0,1.0,19400.0,1.0,0.000644745325596,388.0,grain,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1
CC,@CCU7,2060.0,50.2,0.023348236463,1.0,1.0,1.0,1.0,-1.0,-10.0,2017-07-14,502.0,1.0,1.0,1.0,20600.0,1.0,0.023348236463,2060.0,soft,1.0,1.0,-1.0,-10.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1
CD,@CDU7,0.80495,0.0058875,0.00997490589711,1.0,1.0,1.0,1.0,-1.0,-20.0,2017-06-29,588.75,1.0,1.0,1.0,80495.0,1.0,0.00997490589711,0.80495,currency,1.0,1.0,-1.0,-20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1
CGB,CBU7,137.91,0.704,-0.00245931283906,-1.0,-1.0,1.0,-1.0,1.0,-23.0,2017-06-26,566.41724998,1.0,1.0,1.0,110958.242819,1.2429,-0.00245931283906,137.91,rates,-1.0,1.0,1.0,-23.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,-1,-1,-1.0,1,1,-1,1,1,1,-1,1,-1.0,0.0,0.0,1.0,-1.0,0.0,1,1,1.0,1
CL,QCLU7,49.71,1.3125086835,0.0136623164763,1.0,1.0,-1.0,1.0,-1.0,-11.0,2017-07-13,1312.5086835,1.0,1.0,1.0,49710.0,1.0,0.0136623164763,49.71,energy,1.0,1.0,-1.0,-11.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,1,1.0,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1
CT,@CTZ7,68.8,1.138,-0.00130643054144,-1.0,1.0,-1.0,1.0,-1.0,31.0,2017-07-13,569.0,1.0,1.0,1.0,34400.0,1.0,-0.00130643054144,68.8,soft,1.0,1.0,-1.0,31.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0
CU,@EUU7,1.17915,0.0082075,0.00657305049298,1.0,1.0,-1.0,1.0,1.0,27.0,2017-06-20,1025.9375,1.0,1.0,1.0,147393.75,1.0,0.00657305049298,1.17915,currency,1.0,1.0,1.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1
DX,@DXU7,93.114,0.5184,-0.00641306087606,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,2017-06-20,518.4,1.0,1.0,1.0,93114.0,1.0,-0.00641306087606,93.114,currency,-1.0,-1.0,-1.0,28.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,1,1,1,1,1,-1.0,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,1.0,-1.0,-1.0,-1.0,1,-1,-1.0,0
EBL,BDU7,161.98,0.6435,-0.00154102200579,-1.0,-1.0,1.0,-1.0,1.0,15.0,2017-07-07,756.56295,1.0,1.0,1.0,190439.886,0.85055711491,-0.00154102200579,161.98,rates,-1.0,1.0,1.0,15.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,-1,-1,-1.0,1,1,-1,1,1,1,-1,1,-1.0,0.0,0.0,1.0,-1.0,0.0,1,1,1.0,1
EBM,BLU7,132.11,0.242,7.57002271008e-05,1.0,-1.0,1.0,-1.0,1.0,16.0,2017-07-06,284.5194,3.0,1.0,1.0,155321.727,0.85055711491,7.57002271008e-05,132.11,rates,-1.0,1.0,1.0,16.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,-1,1,1,-1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,-1,0.0,0
EBS,EZU7,112.075,0.0535,0.000133856862395,1.0,1.0,-1.0,1.0,1.0,19.0,2017-07-03,62.89995,15.0,3.0,3.0,131766.5775,0.85055711491,0.000133856862395,112.075,rates,-1.0,1.0,1.0,19.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,1,-1,-1,-1,1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1,-1,-1.0,-1
ED,@EDZ7,98.555,0.02025,5.07356671742e-05,1.0,1.0,-1.0,1.0,1.0,18.0,2017-07-03,50.625,19.0,4.0,4.0,246387.5,1.0,5.07356671742e-05,98.555,rates,-1.0,1.0,1.0,18.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,-1,-1,-1,1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1,-1,-1.0,-1
EMD,@EMDU7,1762.1,15.305,-0.00480063255394,-1.0,1.0,1.0,1.0,-1.0,-11.0,2017-07-13,1530.5,1.0,1.0,1.0,176210.0,1.0,-0.00480063255394,1762.1,index,1.0,1.0,-1.0,-11.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,-1,-1,-1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0
ES,@ESU7,2470.25,13.3375,-0.000707928802589,-1.0,-1.0,-1.0,-1.0,-1.0,-7.0,2017-07-19,666.875,1.0,1.0,1.0,123512.5,1.0,-0.000707928802589,2470.25,index,1.0,1.0,-1.0,-7.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1
FC,@GFQ7,146.05,3.19625,-0.0120074412312,-1.0,-1.0,1.0,-1.0,1.0,-7.0,2017-07-19,1598.125,1.0,1.0,1.0,73025.0,1.0,-0.0120074412312,146.05,meat,1.0,-1.0,1.0,-7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,1,1,1,-1,-1,-1.0,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1
FCH,MTQ7,5129.0,56.345355693,-0.0108957670427,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,2017-07-13,662.452346883,1.0,1.0,1.0,60301.653,0.85055711491,-0.0108957670427,5129.0,index,1.0,1.0,-1.0,11.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1
FDX,DXMU7,12139.0,126.475,-0.00406120523444,-1.0,1.0,1.0,-1.0,-1.0,10.0,2017-07-14,743.4832875,1.0,1.0,1.0,71359.1115,0.85055711491,-0.00406120523444,12139.0,index,1.0,1.0,-1.0,10.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,0,-1,-1,1,-1,-1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,-1,1,1.0,0
FEI,IEH8,100.29,0.0115,0.0,1.0,1.0,-1.0,1.0,1.0,20.0,2017-06-30,33.801375,29.0,7.0,7.0,294777.3825,0.85055711491,0.0,100.29,rates,-1.0,1.0,1.0,20.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,-1,-1,-1,1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1,-1,-1.0,-1
FFI,LFU7,7299.0,67.525,-0.01070750881,-1.0,-1.0,1.0,-1.0,1.0,6.0,2017-07-20,887.616125,1.0,1.0,1.0,95945.355,0.76074553062,-0.01070750881,7299.0,index,1.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,-1,-1,-1.0,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1
FLG,LGU7,126.15,0.5465,-0.00158290463,-1.0,-1.0,-1.0,-1.0,1.0,16.0,2017-07-06,718.37425,1.0,1.0,1.0,165824.175,0.76074553062,-0.00158290463,126.15,rates,-1.0,1.0,1.0,16.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,1,-1,-1.0,1,1,-1,1,1,1,-1,-1,-1.0,-1.0,0.0,1.0,-1.0,0.0,1,1,1.0,1
FSS,LLZ7,99.6,0.026,0.0,1.0,1.0,-1.0,1.0,-1.0,-12.0,2017-07-12,42.72125,23.0,5.0,5.0,163655.25,0.76074553062,0.0,99.6,rates,-1.0,-1.0,-1.0,-12.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,1,-1,-1,1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1
FV,@FVU7,118.15625,0.237890625,0.000463054838923,1.0,1.0,-1.0,1.0,1.0,15.0,2017-07-07,237.890625,4.0,1.0,1.0,118156.25,1.0,0.000463054838923,118.15625,rates,-1.0,1.0,1.0,15.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,4.0,1.0,0,1,-1,-1,-1,1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1,-1,-1.0,-1
GC,QGCZ7,1275.3,12.310515977,0.00694828266877,1.0,1.0,-1.0,1.0,1.0,27.0,2017-07-07,1231.0515977,1.0,1.0,1.0,127530.0,1.0,0.00694828266877,1275.3,metal,-1.0,1.0,1.0,27.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,1,-1,-1,-1,1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1,-1,-1.0,-1
HCM,HHIQ7,10761.0,130.370266642,-0.00911602209945,-1.0,-1.0,-1.0,1.0,1.0,-2.0,2017-06-15,834.668851828,1.0,1.0,1.0,68895.092001,7.8097,-0.00911602209945,10761.0,index,1.0,1.0,1.0,-2.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,0,-1,-1,-1,1,1,-1,-1.0,1,1,-1,-1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,0.0,-1,1,1.0,0
HG,QHGU7,287.5,3.79,-0.000868809730669,-1.0,-1.0,-1.0,1.0,-1.0,27.0,2017-06-20,947.5,1.0,1.0,1.0,71875.0,1.0,-0.000868809730669,287.5,metal,1.0,1.0,-1.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0,-1,-1,-1,1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,-1.0,1,1,0.0,1
HIC,HSIQ7,26943.0,236.062296789,-0.00421332741989,-1.0,1.0,-1.0,1.0,1.0,30.0,2017-06-16,1511.34036383,1.0,1.0,1.0,172497.022933,7.8097,-0.00421332741989,26943.0,index,1.0,1.0,1.0,30.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,-1.0,1,1,-1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1
HO,QHOU7,1.6409,0.037855492,0.0210316719557,1.0,1.0,-1.0,1.0,1.0,-26.0,2017-06-21,1589.930664,1.0,1.0,1.0,68917.8,1.0,0.0210316719557,1.6409,energy,1.0,1.0,1.0,-26.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1
JY,@JYU7,0.90605,0.0067425,0.00437867198758,1.0,-1.0,-1.0,1.0,1.0,14.0,2017-07-10,842.8125,1.0,1.0,1.0,113256.25,1.0,0.00437867198758,0.90605,currency,-1.0,1.0,1.0,14.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0,1,-1,-1,1,1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1,-1,-1.0,0
KC,@KCU7,137.85,3.025,0.01397572637,1.0,1.0,-1.0,1.0,1.0,3.0,2017-07-21,1134.375,1.0,1.0,1.0,51693.75,1.0,0.01397572637,137.85,soft,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1
KW,@KWU7,481.0,16.7125,0.0,1.0,-1.0,1.0,-1.0,1.0,17.0,2017-07-05,835.625,1.0,1.0,1.0,24050.0,1.0,0.0,481.0,grain,1.0,1.0,1.0,17.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,-1,-1,1.0,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0
LB,@LBU7,377.7,7.355,-0.00970110120608,-1.0,1.0,-1.0,1.0,1.0,-18.0,2017-07-03,809.05,1.0,1.0,1.0,41547.0,1.0,-0.00970110120608,377.7,soft,1.0,-1.0,1.0,-18.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,1,-1,-1,1,-1,-1.0,1,1,-1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1
LC,@LEV7,112.425,2.030284756,-0.0101254677526,-1.0,1.0,1.0,-1.0,1.0,-7.0,2017-07-19,812.1139024,1.0,1.0,1.0,44970.0,1.0,-0.0101254677526,112.425,meat,1.0,-1.0,1.0,-7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,0,-1,1,1,-1,-1,-1,-1.0,1,1,-1,1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,1.0,-1,1,1.0,0
LCO,EBV7,52.22,1.3126764455,0.0135869565217,1.0,1.0,-1.0,1.0,1.0,-11.0,2017-07-13,1312.6764455,1.0,1.0,1.0,52220.0,1.0,0.0135869565217,52.22,energy,1.0,1.0,1.0,-11.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1
LGO,GASU7,485.0,11.7098871235,0.0199789695058,1.0,1.0,-1.0,1.0,1.0,15.0,2017-07-07,1170.98871235,1.0,1.0,1.0,48500.0,1.0,0.0199789695058,485.0,energy,1.0,1.0,1.0,15.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1
