,AC,AD,AEX,BO,BP,C,CC,CD,CGB,CL,CT,CU,DX,EBL,EBM,EBS,ED,EMD,ES,FCH,FC,FDX,FEI,FFI,FLG,FSS,FV,GC,HCM,HG,HIC,HO,JY,KC,KW,LB,LCO,LC,LGO,LH,LRC,LSU,MEM,MFX,MP,MW,NE,NG,NIY,NQ,O,OJ,PA,PL,RB,RR,RS,S,SB,SF,SI,SIN,SJB,SM,SMI,SSG,STW,SXE,TF,TU,TY,US,VX,W,YA,YB,YM,YT2,YT3
AC,1.0,0.0667000520166,0.432048544337,0.346879670679,0.420258203587,0.812001341802,-0.121963793657,0.432602177813,-0.569862464022,0.526795375888,0.305823044667,0.070544392235,-0.166798043336,-0.168793813561,-0.0796116156623,0.152732886324,-0.594957298873,0.273015202659,0.338898234123,0.20361443413,-0.11838604153,0.230437822103,-0.0864644397411,0.391572774703,-0.0280882947357,-0.0352348614389,-0.628656846662,0.409253883653,0.0672561511628,0.356117535789,0.0711928021578,0.603437786329,0.00472812611399,0.336739109438,0.55315593794,0.15962531919,0.526629599466,-0.165060831792,0.516948504483,0.180308545162,0.307804280198,0.102117508279,0.484435591261,0.506652850447,0.37553538538,0.513521689906,0.00716196063601,-0.171122660272,0.277296596075,0.264306553095,0.581295654717,-0.10011614143,0.223811224481,0.402008018386,0.452462952662,0.432718818182,0.326019357018,0.567480031218,0.118349009856,-0.0082405242902,0.589817008084,0.0794461270025,0.357969455376,0.480596316658,0.242406057951,0.0379072777757,0.138071022235,0.291413217492,0.279679854942,-0.67457673438,-0.604435215106,-0.571160832248,-0.251740307193,0.575232768086,-0.0172548365228,-0.0530862369126,0.442713573188,0.167497846646,0.360230504309
AD,0.0667000520166,1.0,-0.0740694848163,0.178711276618,-0.167653410326,0.116525532345,0.188181543676,0.531663132048,0.192773245429,0.378157515518,0.00187375220651,0.55251891223,-0.635462485138,0.182966654949,0.295512067847,0.00763778874853,0.136198526229,-0.00225175233028,-0.0306166260581,-0.152510373354,0.0632374673286,-0.284945114332,-0.0546465737056,-0.0546311888307,0.277502989975,-0.00170231210294,0.261086819909,-0.00290665311387,0.704486563557,0.129952174512,0.591173647669,0.316724084741,0.230475398313,0.0433401895523,0.00980032376774,-0.0350370481678,0.362417124175,-0.0791684770864,0.150608546869,0.612046076733,0.175629715244,0.173448983532,0.435740097592,-0.284724570591,0.258880891615,0.0553623009587,0.73804655546,0.371985203418,-0.0192045876633,-0.127118497726,0.0260288178638,0.15672777279,0.34023686768,0.136757512173,0.219505007778,0.0382325400756,-0.147459292299,0.18642015129,0.146098578866,0.289427448398,0.11598107666,0.204045967127,0.0739403675922,0.12403801033,-0.0266038601178,0.155395201821,0.480003703019,-0.27592085693,-0.171327064621,0.200934632186,0.281228690523,0.314895047737,0.198000918041,0.0299166484257,0.349575275899,-0.683828374263,-0.0403510133972,-0.625178107524,-0.371238061921
AEX,0.432048544337,-0.0740694848163,1.0,0.135751061167,0.354748447942,0.340895626892,0.1336845286,0.26470524993,-0.239679247933,0.134373129244,0.457645648067,-0.203194611729,0.0820804317084,0.15289716158,0.111154275855,0.180904763293,0.128065394187,0.613335041823,0.627015552955,0.929167862032,0.125137126576,0.917585359078,0.580786342679,0.8584872807,-0.210237123073,-0.0618509849304,-0.0696563208082,-0.168801895792,0.135071985781,0.479112685958,0.316634825416,0.217049530441,-0.228469924234,0.27265579859,0.287273237003,0.46040329114,0.169550680449,-0.0105009373732,0.389271693384,-0.0452038118487,0.228502191917,0.0942103666706,0.511387366193,0.862843045117,0.255510033115,0.237673269542,-0.318432951876,-0.420439929762,0.408109980794,0.740520829678,0.388843387725,-0.436388250425,0.0433122798088,0.165974914943,0.056077808942,-0.238590068914,0.263174248008,0.29404207344,0.0875783297497,-0.195043946193,0.342714991503,0.278246190718,0.342995607965,0.361290190918,0.802527378565,0.0520073421728,0.055346916659,0.954383966638,0.678124272051,-0.0192283027155,-0.114220158221,-0.242142955528,-0.453377921067,0.300267583389,0.077638774148,0.0443975525714,0.615681369518,0.194036478558,0.336505634097
BO,0.346879670679,0.178711276618,0.135751061167,1.0,-0.110594322964,0.234685267062,0.0678876863028,0.155949403548,-0.101206262563,0.294422769009,-0.175662861346,0.26119456935,-0.212072736617,0.508254830484,0.511298121303,0.246783311131,-0.0593598329156,0.200632253918,0.24844636026,-0.110336077971,0.115269214856,0.0875863227578,-0.173050656373,0.105698582163,0.406350744939,0.519498721964,-0.0820776211575,0.448260579058,0.135727904109,0.350091623359,0.197334179364,0.313817645738,0.137524474081,0.444027536503,-0.00361457419327,0.165333111616,0.305814149866,0.24376054731,0.143761830865,0.213435172733,0.319755253158,0.0386302636846,0.340278811896,0.105214878216,0.201633155961,0.13895478628,0.124440997712,0.381570343366,0.094826609711,0.223527949308,0.202409147191,0.264970729483,0.342179287494,0.289327960263,0.162618630655,0.0668020058969,0.49622077686,0.594636210182,0.0449165997743,0.0498575351365,0.369980649169,0.190518326713,0.0219549793833,0.154629699734,-0.101558287218,-0.227750591341,0.186370155372,0.0150908369807,0.222612865951,-0.0907039605366,-0.10133335438,-0.0583330104511,-0.22211674938,0.0233248719187,0.023133036206,0.127502222025,0.288378309158,0.205612212682,0.277583266625
BP,0.420258203587,-0.167653410326,0.354748447942,-0.110594322964,1.0,0.11884901455,-0.102318315611,0.327105769023,-0.494291701858,0.360358996395,0.225874669007,-0.284057563876,0.0535810433383,-0.313396500812,-0.252575676488,-0.253320628023,-0.387164223018,0.097765012485,0.227223524144,0.334197201919,-0.0541313696327,0.271198043654,-0.0434106311026,0.173218380484,-0.360843700069,-0.513593753982,-0.453057147721,-0.308569729126,-0.0323977963189,0.311425613576,-0.0157249037368,0.299481711205,-0.230076362821,-0.244070468895,0.0931581786726,0.14831643436,0.277899863212,-0.278736411152,0.1393899883,-0.00949030915803,-0.320934945292,0.0885324492328,0.123060558759,0.500667583976,-0.0173622795089,-0.0671780003414,-0.183877551284,-0.39333811357,0.209521174788,0.151171329805,-0.112459941324,-0.294601435404,-0.397598109921,-0.256926574162,0.269045622088,0.00512582797949,-0.0578795724111,0.167610266646,0.104387371063,-0.114566555837,-0.0255538565285,0.169145056397,-0.341104497089,0.264984327283,0.304185058767,-0.02393970845,-0.135721425094,0.391057479295,0.0516455549767,-0.368014118778,-0.457550103173,-0.473857484925,-0.073869927435,0.174774887046,0.140276030113,-0.071877184987,0.288817493359,-0.140169519834,-0.256441828094
C,0.812001341802,0.116525532345,0.340895626892,0.234685267062,0.11884901455,1.0,-0.0441396024138,0.482146939566,-0.452789723337,0.340844563156,0.227190730798,0.128629879424,-0.172961566066,-0.128196297729,-0.0176578450614,0.321445239837,-0.326415236732,0.300476682859,0.336109764615,0.136349248648,-0.274196971004,0.100259022218,0.0188110370022,0.209635718682,0.0724909886852,0.0192188602298,-0.373921467044,0.334715301789,0.209313804225,0.260495700896,0.153662762043,0.374727364385,0.116020000794,0.256858333549,0.731886543427,0.123896322493,0.432187256395,-0.211646528798,0.299323603814,0.170643433496,0.284565102893,0.150857615738,0.464161342354,0.410289307656,0.474616345692,0.630931511912,0.0231539612425,-0.0126740522599,0.232873234109,0.210726206456,0.852608418906,-0.107569892461,0.204421121434,0.282119540292,0.2626388863,0.26551659618,0.238089744348,0.533191902057,0.168482339678,0.179410056591,0.467529326732,0.193716363196,0.53411293917,0.457150680031,0.212277940841,0.18167101828,0.283100154726,0.194124545943,0.231178314416,-0.426546895672,-0.355153397173,-0.374910133887,-0.310756718612,0.691380108021,0.0321698789161,0.00211949463774,0.430568853452,0.201878247857,0.407408758802
CC,-0.121963793657,0.188181543676,0.1336845286,0.0678876863028,-0.102318315611,-0.0441396024138,1.0,-0.101814686501,-0.219411079312,-0.328746952371,-0.0537161381257,-0.115464797701,0.213719771574,-0.144566584216,-0.224006752406,-0.24797409421,-0.0861533416037,0.214453834802,0.13676817544,0.0930048508548,-0.0157555438601,0.0459560169856,0.131026535727,0.0643491984706,-0.435953737257,-0.201958724888,-0.0748311025214,-0.255536228068,0.237070396997,-0.03170515807,0.315889664108,-0.19999572869,-0.141472715873,-0.186756469413,-0.254886704349,-0.162608456047,-0.291059852618,-0.0677259233741,-0.024367537332,-0.0764116924582,-0.263799588625,0.0146541870689,0.115888228178,0.0178989023528,-0.00644346056233,-0.322545591518,-0.073827713563,0.217029241824,0.125059135293,0.182721164547,-0.11439386296,-0.131996274292,-0.0107291557117,-0.2869434953,-0.0867929202429,-0.135816125271,-0.00908729202396,-0.00137401818363,0.0553292291613,0.0127868238217,-0.187258350765,0.127138710956,0.0316363947032,-0.133951996191,0.278141055467,0.28443097683,0.485290648302,0.0506759364551,0.271821644911,-0.0844593386602,-0.0941650855853,-0.123309112262,-0.0560179932409,-0.243958258393,-0.0939407910623,-0.403372233164,0.0859327513239,-0.303097688211,-0.0862393356161
CD,0.432602177813,0.531663132048,0.26470524993,0.155949403548,0.327105769023,0.482146939566,-0.101814686501,1.0,-0.193679253206,0.59705680118,0.137617859593,0.479956708963,-0.73944069081,-0.093122692452,0.233242214738,0.385728229313,0.0754090369999,0.14512958432,0.211184690704,0.117984676656,0.0484024167285,0.103096712358,0.224365262619,0.161559751664,0.172394296938,0.0303679651936,-0.0636666730822,0.0582090955087,0.511609465963,0.350947611528,0.367678353884,0.391025196541,0.193601822541,0.300589796977,0.352127722479,0.372640876105,0.561086076165,-0.0875399467645,0.221997981324,0.635955995036,0.167728753609,0.415431103052,0.509307879051,0.107801922062,0.389050629717,0.264806885756,0.482223026806,-0.0823159833675,0.0729304610047,0.0611694797418,0.300030857534,-0.164635964608,0.254220007079,0.182053323959,0.378423891585,0.0163802729815,-0.269927862208,0.245176194095,0.39842913396,0.455296459217,0.413565856601,0.546804155178,0.3397874244,0.224729212124,0.255681960366,0.264910545388,0.360080702506,0.126873997362,0.00415156967215,-0.0257909463893,-0.0547005257397,-0.123548389277,-0.0341971333384,0.405649406141,0.47855718668,-0.0989696328333,0.293602016419,-0.0635833119537,0.0289163179635
CGB,-0.569862464022,0.192773245429,-0.239679247933,-0.101206262563,-0.494291701858,-0.452789723337,-0.219411079312,-0.193679253206,1.0,-0.277718813565,-0.128967814162,0.152523469637,-0.205269788257,0.643462441297,0.567468023929,0.17361016106,0.755888111829,-0.328263899734,-0.381808047949,-0.114811849861,0.248517620992,-0.094967579737,0.233208536764,-0.119232087327,0.627136939514,0.47628963234,0.854723481346,-0.00981815678888,-0.107231463125,-0.317221280562,-0.147035695915,-0.27178321365,0.35320694531,0.0391389169433,0.0226493575319,0.0166969817068,-0.209783748901,0.358752260487,-0.193535329479,0.22719123274,0.0802393148338,-0.0935456772292,-0.191205629272,-0.42269214001,-0.392423819033,0.129111227477,0.0690034033565,0.141165355701,-0.410587419873,-0.305443812101,-0.23816562967,0.261664543392,0.20773068038,0.079362570074,-0.211108619812,-0.0954238947583,-0.0401580205733,-0.13340458082,-0.133368236367,-0.0138571855905,0.00891729300781,-0.102978915029,-0.0940305120791,-0.0885812752479,-0.161450019668,-0.220916280921,-0.246512058238,-0.199823745258,-0.352956902358,0.808428775976,0.858235753094,0.885027105864,0.26410656124,-0.0127390413766,-0.0568875097066,0.0302661738222,-0.421466616011,-0.0633540437518,-0.134811157515
CL,0.526795375888,0.378157515518,0.134373129244,0.294422769009,0.360358996395,0.340844563156,-0.328746952371,0.59705680118,-0.277718813565,1.0,0.114056540238,0.20322826897,-0.419653219149,-0.133354348681,-0.0343942385114,-0.129951055913,-0.227024941498,0.128451847689,0.215799357984,-0.0204146847018,-0.0928570923428,-0.0856206928008,-0.293358816619,0.224598306518,0.0578887766092,-0.112068782997,-0.234659224635,0.413791835603,0.186996916341,0.486206048747,0.103064530853,0.868405201697,0.0804346690625,0.325679146038,0.0508168416853,0.25791584254,0.954371791858,-0.133117731245,0.675275759672,0.601834966226,0.447882359602,0.276672217515,0.608772975843,0.194935275332,0.554594751055,0.0402477221871,0.459160580532,-0.0582768769145,0.185594473468,0.119487413162,0.154344831822,0.0918507244393,0.434818263085,0.551760662553,0.739701351113,0.399291328213,-0.213291706898,0.335065576094,0.273739533428,-0.02600729122,0.491579788482,-0.00174864051942,0.0661759048265,0.319578363211,-0.125680249563,-0.236508118736,-0.0884713399702,0.0151003147083,-0.00398038542139,-0.234013835395,-0.220811809272,-0.18624703185,-0.112615206773,0.167315619413,0.214500975486,-0.123872414693,0.290941298334,-0.0265242585513,0.1168129332
