,Contract,LastClose,ATR20,PC2016-07-01 00:00:00,ACT,usdATR,QTY,Close2016-07-01 00:00:00,PC2016-07-04 00:00:00,Close2016-07-04 00:00:00,vSTART,LastSEA,SEA2016-07-01 00:00:00,LastSRUN,SRUN2016-07-01 00:00:00,SEA2016-07-04 00:00:00,SRUN2016-07-04 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-01 00:00:00,SIG2016-07-04 00:00:00,0.5LastSIG,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-01 00:00:00,0.5SIG2016-07-04 00:00:00,1LastSIG,1LastSAFEf,1finalQTY,1SIG2016-07-01 00:00:00,1SIG2016-07-04 00:00:00
STW,TWN6,321.7,5.517750866,,1.0,551.7750866,4.0,,0.000622083981337,321.7,2016-06-24,1.0,,6.0,,1.0,6.0,1.0,2.0,3.0,,1.0,-1.0,1.0,5.0,,-1.0,1.0,2.0,3.0,,1.0
SXE,EXU6,2857.0,83.8271084345,,-1.0,934.873444105,3.0,,-0.00522284122563,2857.0,2016-06-27,-1.0,,7.0,,-1.0,7.0,1.0,1.0,4.0,,1.0,-1.0,1.0,4.0,,-1.0,1.0,1.0,4.0,,1.0
TF,@TFSU6,1154.2,22.7179156875,,1.0,2271.79156875,1.0,,0.0,1154.2,2016-06-27,-1.0,,-5.0,,-1.0,-5.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0
TU,@TUU6,109.6328125,0.138671875,-0.00028496117404,-1.0,277.34375,8.0,109.6328125,,,2016-06-23,1.0,1.0,10.0,10.0,,,1.0,1.0,10.0,1.0,,1.0,1.0,10.0,1.0,,1.0,1.0,10.0,1.0,
TY,@TYU6,133.078125,0.6875,0.000704970038773,1.0,687.5,3.0,133.078125,,,2016-06-23,1.0,1.0,6.0,6.0,,,1.0,2.0,2.0,1.0,,1.0,1.0,4.0,1.0,,1.0,2.0,2.0,1.0,
US,@USU6,173.6875,1.85,0.00779691749773,1.0,1850.0,2.0,173.6875,,,2016-06-23,1.0,1.0,6.0,6.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,
VX,@VXN6,16.775,2.148228297,-0.0117820324006,-1.0,2148.228297,1.0,16.775,,,2016-06-27,-1.0,-1.0,-4.0,-4.0,,,-1.0,2.0,1.0,-1.0,,1.0,1.0,1.0,1.0,,-1.0,2.0,1.0,-1.0,
W,@WU6,430.25,12.8346335075,-0.0342312008979,-1.0,641.731675375,4.0,430.25,,,2016-06-16,1.0,1.0,-1.0,-1.0,,,-1.0,2.0,3.0,-1.0,,1.0,1.0,5.0,1.0,,-1.0,2.0,3.0,-1.0,
YA,APU6,5250.0,83.459691715,,1.0,1572.52664637,2.0,,0.00903325004805,5250.0,2016-06-28,1.0,,4.0,,1.0,4.0,-1.0,1.0,3.0,,-1.0,-1.0,1.0,3.0,,-1.0,1.0,2.0,2.0,,1.0
YB,HBSU6,98.1,0.0375,,-1.0,67.8303,30.0,,-0.000203832042397,98.1,2016-06-24,1.0,,-6.0,,1.0,-6.0,-1.0,2.0,0.0,,-1.0,1.0,1.0,0.0,,1.0,-1.0,2.0,0.0,,-1.0
YM,@YMU6,17866.0,229.633458008,0.00263763398619,1.0,1148.16729004,2.0,17866.0,,,2016-06-27,1.0,1.0,-4.0,-4.0,,,1.0,2.0,2.0,1.0,,1.0,1.0,3.0,1.0,,1.0,2.0,2.0,1.0,
YT2,HTSU6,98.49,0.075009144,,-1.0,158.289996364,13.0,,-0.000507408159123,98.49,2016-06-23,1.0,,7.0,,1.0,7.0,-1.0,2.0,10.0,,-1.0,1.0,1.0,16.0,,1.0,-1.0,2.0,10.0,,-1.0
YT3,HXSU6,97.985,0.0890982385,,-1.0,537.205355282,4.0,,-0.000560995512036,97.985,2016-06-23,1.0,,7.0,,1.0,7.0,1.0,1.0,5.0,,1.0,1.0,1.0,5.0,,1.0,-1.0,1.0,5.0,,-1.0
