,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2016-12-09 00:00:00,Close2016-12-09 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-12-09 00:00:00,LastSRUN,SRUN2016-12-09 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-12-08 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-12-08 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-12-08 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-12-08 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15,timestamp,LastPctChg_IB,ACT_IB,pcDate,signalDate,timestamp
CT,@CTH7,70.8,1.258,-0.00868104172501,-1.0,-1.0,-1.0,-1.0,1.0,19.0,2016-11-11,629.0,1.0,1.0,1.0,35400.0,1.0,-0.00868104172501,70.8,soft,1.0,1.0,2016-11-11 00:00:00,1.0,1.0,19.0,19.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,1481351265,-0.00868104172501,-1.0,,20161209,1481351265
CU,@EUZ6,1.06205,0.0109525,-0.00565131393049,-1.0,-1.0,-1.0,1.0,-1.0,-4.0,2016-11-23,1369.0625,1.0,1.0,1.0,132756.25,1.0,-0.00565131393049,,currency,1.0,1.0,2016-11-23,-1.0,,9.0,,-1.0,-1.0,1.0,1.0,,2.0,1.0,,2.0,1.0,,2.0,1.0,,0,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,-1.0,1,1,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,-0.00541584251672,-1.0,20161209.0,20161208,1481251789
DX,@DXZ6,101.62,0.8075,0.00489493201483,1.0,1.0,-1.0,1.0,1.0,4.0,2016-11-23,807.5,1.0,1.0,1.0,101620.0,1.0,0.00489493201483,101.62,currency,-1.0,-1.0,2016-12-05 00:00:00,1.0,1.0,4.0,4.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,1481351265,0.00489493201483,1.0,,20161209,1481351265
EBL,BDH7,161.86,0.9919572145,0.00459285004965,1.0,-1.0,-1.0,-1.0,-1.0,-9.0,2016-11-28,1047.20923135,1.0,1.0,1.0,170875.602,0.947238798901,0.00459285004965,161.86,rates,-1.0,1.0,2016-11-28 00:00:00,-1.0,-1.0,-9.0,-9.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,1.0,-1.0,-1.0,-1.0,1,-1,-1.0,0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1481351265,0.00459285004965,1.0,,20161209,1481351265
EBM,BLH7,132.95,0.3544372675,0.00188394875659,1.0,1.0,1.0,-1.0,-1.0,3.0,2016-11-28,374.1794233,2.0,1.0,1.0,140355.315,0.947238798901,0.00188394875659,132.95,rates,-1.0,1.0,2016-11-28 00:00:00,-1.0,-1.0,3.0,3.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,0,1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1.0,0.0,-1.0,-1.0,1.0,0.0,1,-1,-1.0,0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1481351265,0.00188394875659,1.0,,20161209,1481351265
EBS,EZH7,112.255,0.084452519,0.000490196078431,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,2016-12-01,89.1565243083,11.0,3.0,3.0,118507.6035,0.947238798901,0.000490196078431,112.255,rates,-1.0,1.0,2016-12-01 00:00:00,-1.0,-1.0,-2.0,-2.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,-1,1,1,1,1,-1,-1,1,1,-1,1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,0.0,1,0,1.0,1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1481351265,0.000490196078431,1.0,,20161209,1481351265
ED,@EDM7,98.805,0.025117378,-0.000252959627643,-1.0,-1.0,1.0,-1.0,-1.0,58.0,2016-09-19,62.793445,15.0,4.0,4.0,247012.5,1.0,-0.000252959627643,98.805,rates,-1.0,1.0,2016-09-19 00:00:00,-1.0,-1.0,58.0,58.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1.0,0.0,0.0,-1.0,0.0,0.0,1,0,1.0,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,1481351265,-0.000252959627643,-1.0,,20161209,1481351265
EMD,@EMDZ6,1696.4,15.6,-0.00229939272449,-1.0,1.0,-1.0,1.0,-1.0,25.0,2016-11-03,1560.0,1.0,1.0,1.0,169640.0,1.0,-0.00229939272449,,index,1.0,1.0,2016-11-03,-1.0,,23.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,-0.00218147514887,-1.0,20161209.0,20161208,1481251789
ES,@ESZ6,2247.75,16.4625,0.00544989433878,1.0,1.0,-1.0,1.0,-1.0,24.0,2016-11-04,823.125,1.0,1.0,1.0,112387.5,1.0,0.00544989433878,,index,1.0,1.0,2016-11-04,-1.0,,22.0,,1.0,-1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,0.00556111667223,1.0,20161209.0,20161208,1481251789
FC,@GFF7,126.525,2.2575,-0.00513428120063,-1.0,1.0,1.0,1.0,-1.0,-10.0,2016-11-25,1128.75,1.0,1.0,1.0,63262.5,1.0,-0.00513428120063,,meat,1.0,-1.0,2016-11-25,-1.0,,-8.0,,-1.0,-1.0,1.0,1.0,,2.0,1.0,,2.0,1.0,,2.0,1.0,,0,-1,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481241698,-0.00513428120063,-1.0,,20161208,1481241698
