,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2016-12-09 00:00:00,Close2016-12-09 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-12-09 00:00:00,LastSRUN,SRUN2016-12-09 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-12-08 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-12-08 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-12-08 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-12-08 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15,timestamp,LastPctChg_IB,ACT_IB,pcDate,signalDate,timestamp
FCH,MTZ6,4763.5,64.025,0.00601900739176,1.0,1.0,-1.0,1.0,1.0,25.0,2016-11-04,675.911925,1.0,1.0,1.0,50288.2695,0.947238798901,0.00601900739176,4763.5,index,1.0,1.0,2016-11-04 00:00:00,1.0,1.0,25.0,25.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,1481351265,0.00601900739176,1.0,,20161209,1481351265
FDX,DXMZ6,11204.0,140.85,0.00174348428629,1.0,1.0,-1.0,1.0,1.0,25.0,2016-11-04,743.476725,1.0,1.0,1.0,59140.314,0.947238798901,0.00174348428629,11204.0,index,1.0,1.0,2016-11-04 00:00:00,1.0,1.0,25.0,25.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,1481351265,0.00174348428629,1.0,,20161209,1481351265
FEI,IEH7,100.305,0.01075,0.0,1.0,1.0,1.0,1.0,-1.0,18.0,2016-11-15,28.3719375,35.0,9.0,9.0,264729.97125,0.947238798901,0.0,100.305,rates,-1.0,1.0,2016-11-15 00:00:00,-1.0,-1.0,18.0,18.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1.0,0.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,1481351265,0.0,1.0,,20161209,1481351265
FFI,LFZ6,6953.0,77.075,0.00339129807345,1.0,1.0,1.0,1.0,-1.0,25.0,2016-11-04,969.2952,1.0,1.0,1.0,87440.928,0.795165394402,0.00339129807345,6953.0,index,1.0,1.0,2016-11-04 00:00:00,-1.0,-1.0,25.0,25.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1481351265,0.00339129807345,1.0,,20161209,1481351265
FLG,LGH7,123.17,0.809473637,-0.00516921088765,-1.0,1.0,-1.0,1.0,-1.0,15.0,2016-11-18,1017.99404589,1.0,1.0,1.0,154898.592,0.795165394402,-0.00516921088765,123.17,rates,-1.0,1.0,2016-11-18 00:00:00,-1.0,-1.0,15.0,15.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,0.0,1.0,0.0,-1.0,1,-1,-1.0,0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,1481351265,-0.00516921088765,-1.0,,20161209,1481351265
FSS,LLZ6,99.62,0.00675,0.0,1.0,1.0,1.0,1.0,-1.0,18.0,2016-11-15,10.611,94.0,24.0,24.0,156602.64,0.795165394402,0.0,99.62,rates,-1.0,-1.0,2016-11-15 00:00:00,-1.0,-1.0,18.0,18.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1.0,0.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,1481351265,0.0,1.0,,20161209,1481351265
FV,@FVH7,117.890625,0.3853539935,-0.00238363239092,-1.0,-1.0,1.0,-1.0,-1.0,47.0,2016-10-04,385.3539935,2.0,1.0,1.0,117890.625,1.0,-0.00238363239092,,rates,-1.0,1.0,2016-10-04,-1.0,,-2.0,,-1.0,1.0,1.0,2.0,,1.0,2.0,,1.0,2.0,,1.0,2.0,,0,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,-0.00264848043435,-1.0,20161209.0,20161208,1481251789
GC,QGCG7,1172.4,18.336015784,-0.0089559877175,-1.0,1.0,-1.0,1.0,-1.0,11.0,2016-11-23,1833.6015784,1.0,1.0,1.0,117240.0,1.0,-0.0089559877175,,metal,-1.0,1.0,2016-11-23,-1.0,,9.0,,-1.0,-1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,,0,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,0.0,1.0,0.0,-1.0,1,-1,-1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,-0.00963834868646,-1.0,20161209.0,20161208,1481251789
HCM,HHIZ6,9873.0,137.629966905,-0.00141600080914,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,2016-11-17,886.871025121,1.0,1.0,1.0,63620.4296779,7.7593,-0.00141600080914,9873.0,index,1.0,1.0,2016-11-17 00:00:00,-1.0,-1.0,16.0,16.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,1.0,1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,1481351265,-0.00141600080914,-1.0,,20161209,1481351265
HG,QHGH7,262.8,8.6677619425,0.00818735719726,1.0,-1.0,1.0,-1.0,1.0,-7.0,2016-11-30,2166.94048563,1.0,1.0,1.0,65700.0,1.0,0.00818735719726,,metal,1.0,1.0,2016-11-30,1.0,,-5.0,,-1.0,-1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,,0,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,0.00875856816451,1.0,20161209.0,20161208,1481251789
HIC,HSIZ6,22744.0,252.027418712,-0.00407233874852,-1.0,-1.0,1.0,-1.0,-1.0,-49.0,2016-09-29,1624.03450513,1.0,1.0,1.0,146559.612336,7.7593,-0.00407233874852,22744.0,index,1.0,1.0,2016-09-29 00:00:00,-1.0,-1.0,-49.0,-49.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,1481351265,-0.00407233874852,-1.0,,20161209,1481351265
HO,QHOF7,1.6218,0.049935,0.00707300571991,1.0,1.0,1.0,1.0,1.0,-5.0,2016-12-02,2097.27,1.0,1.0,1.0,68115.6,1.0,0.00707300571991,,energy,1.0,1.0,2016-11-29,1.0,,-3.0,,1.0,-1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,0.00738052770773,1.0,20161209.0,20161208,1481251789
JY,@JYZ6,0.8775,0.010625,-0.0102040816327,-1.0,1.0,1.0,-1.0,-1.0,-2.0,2016-11-03,1328.125,1.0,1.0,1.0,109687.5,1.0,-0.0102040816327,,currency,-1.0,1.0,2016-11-03,-1.0,,-2.0,,-1.0,-1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,0,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,1,1.0,1.0,0.0,-1.0,0.0,-1.0,1,1,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,-0.0110591722723,-1.0,20161209.0,20161208,1481251789
KC,@KCH7,139.35,3.755,-0.0144978783593,-1.0,1.0,1.0,-1.0,1.0,-11.0,2016-11-23,1408.125,1.0,1.0,1.0,52256.25,1.0,-0.0144978783593,139.35,soft,1.0,1.0,2016-11-23 00:00:00,1.0,1.0,-11.0,-11.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,0,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,1.0,-1,1,1.0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1481351265,-0.0144978783593,-1.0,,20161209,1481351265
KW,@KWH7,413.5,8.1875,0.0216182828907,1.0,1.0,1.0,-1.0,1.0,7.0,2016-11-22,409.375,2.0,1.0,1.0,20675.0,1.0,0.0216182828907,413.5,grain,1.0,1.0,2016-11-30 00:00:00,1.0,1.0,7.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,-1.0,1.0,1.0,-1,1,1.0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,1481351265,0.0216182828907,1.0,,20161209,1481351265
LB,@LBF7,317.3,7.17,-0.0170384138786,-1.0,1.0,-1.0,1.0,1.0,-9.0,2016-11-28,788.7,1.0,1.0,1.0,34903.0,1.0,-0.0170384138786,317.3,soft,1.0,-1.0,2016-11-28 00:00:00,1.0,1.0,-9.0,-9.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1481351265,-0.0170384138786,-1.0,,20161209,1481351265
LC,@LEG7,110.675,1.679323644,-0.00112968820606,-1.0,-1.0,1.0,-1.0,1.0,-10.0,2016-11-25,671.7294576,1.0,1.0,1.0,44270.0,1.0,-0.00112968820606,,meat,1.0,-1.0,2016-11-25,1.0,,-8.0,,-1.0,-1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,,0,-1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481241698,-0.00112968820606,-1.0,,20161208,1481241698
LCO,EBG7,54.33,1.768430415,0.00816478010763,1.0,-1.0,-1.0,-1.0,1.0,2.0,2016-11-14,1768.430415,1.0,1.0,1.0,54330.0,1.0,0.00816478010763,54.33,energy,1.0,1.0,2016-11-14 00:00:00,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,1481351265,0.00816478010763,1.0,,20161209,1481351265
LGO,GASF7,477.5,14.647470326,0.0127253446448,1.0,1.0,1.0,1.0,1.0,1.0,2016-11-14,1464.7470326,1.0,1.0,1.0,47750.0,1.0,0.0127253446448,477.5,energy,1.0,1.0,2016-11-14 00:00:00,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1481351265,0.0127253446448,1.0,,20161209,1481351265
LH,@HEG7,60.95,1.688392857,0.0119194410193,1.0,1.0,-1.0,1.0,1.0,-5.0,2016-12-02,675.3571428,1.0,1.0,1.0,24380.0,1.0,0.0119194410193,,meat,1.0,-1.0,2016-11-25,1.0,,-3.0,,1.0,-1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,,0,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481241698,0.0119194410193,1.0,,20161208,1481241698
LRC,LRCH7,1989.0,42.8725806445,-0.0109398309299,-1.0,-1.0,1.0,-1.0,1.0,-5.0,2016-12-01,428.725806445,2.0,1.0,1.0,19890.0,1.0,-0.0109398309299,1989.0,soft,1.0,1.0,2016-12-02 00:00:00,1.0,1.0,-5.0,-5.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1481351265,-0.0109398309299,-1.0,,20161209,1481351265
LSU,QWH7,512.0,10.17,-0.0064040364836,-1.0,1.0,-1.0,1.0,-1.0,7.0,2016-11-30,508.5,1.0,1.0,1.0,25600.0,1.0,-0.0064040364836,512.0,soft,1.0,1.0,2016-11-30 00:00:00,-1.0,-1.0,7.0,7.0,-1.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1481351265,-0.0064040364836,-1.0,,20161209,1481351265
MEM,@MMEZ6,878.8,10.885,-0.00509453186913,-1.0,1.0,-1.0,1.0,-1.0,1.0,2016-11-22,544.25,1.0,1.0,1.0,43940.0,1.0,-0.00509453186913,878.8,index,1.0,1.0,2016-11-22 00:00:00,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1481351265,-0.00509453186913,-1.0,,20161209,1481351265
MFX,IBZ6,9167.0,119.96,0.00214268535322,1.0,1.0,-1.0,1.0,-1.0,20.0,2016-11-11,1266.41772,1.0,1.0,1.0,96776.019,0.947238798901,0.00214268535322,9167.0,index,1.0,1.0,2016-11-11 00:00:00,-1.0,-1.0,20.0,20.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1481351265,0.00214268535322,1.0,,20161209,1481351265
MP,@PXZ6,0.04914,0.0007485,-0.00223986968031,-1.0,1.0,-1.0,1.0,1.0,19.0,2016-11-11,374.25,2.0,1.0,1.0,24570.0,1.0,-0.00223986968031,,currency,1.0,1.0,2016-11-11,1.0,,17.0,,1.0,1.0,1.0,2.0,,1.0,2.0,,2.0,2.0,,2.0,2.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,-0.00366524129505,-1.0,20161209.0,20161208,1481251789
MW,@MWH7,536.25,7.0875,0.00988700564972,1.0,-1.0,-1.0,1.0,1.0,-7.0,2016-11-30,354.375,2.0,1.0,1.0,26812.5,1.0,0.00988700564972,536.25,grain,1.0,1.0,2016-11-30 00:00:00,1.0,1.0,-7.0,-7.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,0,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,1.0,0.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1481351265,0.00988700564972,1.0,,20161209,1481351265
NE,@NEZ6,0.7172,0.00743,-0.00515679442509,-1.0,1.0,-1.0,1.0,1.0,42.0,2016-11-23,743.0,1.0,1.0,1.0,71720.0,1.0,-0.00515679442509,,currency,1.0,1.0,2016-11-23,1.0,,40.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,-0.00627177700348,-1.0,20161209.0,20161208,1481251789
NG,QNGF7,3.724,0.13455,0.013802435724,1.0,-1.0,-1.0,1.0,-1.0,8.0,2016-11-29,1345.5,1.0,1.0,1.0,37240.0,1.0,0.013802435724,,energy,1.0,1.0,2016-11-29,1.0,,6.0,,1.0,-1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,1.0,,0,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,1.0,0.0,1.0,-1,-1,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,0.00866035182679,1.0,20161209.0,20161208,1481251789
NIY,@NKDH7,18820.0,252.281707315,0.0199362041467,1.0,1.0,-1.0,1.0,1.0,36.0,2016-10-19,1109.02807858,1.0,1.0,1.0,82732.5479163,113.74,0.0199362041467,,index,1.0,-1.0,2016-10-19,1.0,,34.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,,0,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,0.0196703880914,1.0,20161209.0,20161208,1481251789
NQ,@NQZ6,4862.5,58.275,0.00632325724861,1.0,1.0,1.0,1.0,-1.0,6.0,2016-12-01,1165.5,1.0,1.0,1.0,97250.0,1.0,0.00632325724861,,index,1.0,1.0,2016-11-29,-1.0,,-6.0,,1.0,-1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,0.00627184865309,1.0,20161209.0,20161208,1481251789
O,@OH7,225.0,6.1391129035,0.00896860986547,1.0,1.0,1.0,1.0,-1.0,15.0,2016-11-29,306.955645175,3.0,1.0,1.0,11250.0,1.0,0.00896860986547,225.0,grain,1.0,-1.0,2016-11-29 00:00:00,-1.0,-1.0,15.0,15.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1481351265,0.00896860986547,1.0,,20161209,1481351265
OJ,@OJF7,213.0,5.3625,-0.00187441424555,-1.0,-1.0,1.0,-1.0,-1.0,18.0,2016-11-14,804.375,1.0,1.0,1.0,31950.0,1.0,-0.00187441424555,213.0,soft,1.0,1.0,2016-11-14 00:00:00,-1.0,-1.0,18.0,18.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1481351265,-0.00187441424555,-1.0,,20161209,1481351265
