rowname,contract,c2timestamp,c2price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta,delta
ctwo: 2016-12-05 16:52:35 2 @TUH7 $-31,@TUH7,2016-12-05 16:52:35,108.39063,2016-12-05 17:00:00,108.3984375,-7.20259459459e-05,7.20259459459e-05,Open,-1.0,-31.0,5.0,-1 days +23:52:35.000000000,-8.0
ctwo: 2016-12-05 16:52:34 2.0 @TUH7 $-31,@TUH7,2016-12-05 16:52:34,108.390625,2016-12-05 17:00:00,108.3984375,-7.20720720721e-05,7.20720720721e-05,Close,-1.0,-31.0,5.0,-1 days +23:52:34.000000000,-8.0
ctwo: 2016-12-05 16:52:31 1 @ESZ6 $-50,@ESZ6,2016-12-05 16:52:31,2205.25,2016-12-05 17:00:00,2204.25,0.000453669048429,0.000453669048429,Open,1.0,-50.0,2.5,-1 days +23:52:31.000000000,-8.0
ctwo: 2016-12-05 16:52:33 1 @JYZ6 $-49,@JYZ6,2016-12-05 16:52:33,0.00879,2016-12-05 17:00:00,0.008794,-0.000454855583352,0.000454855583352,Open,-1.0,-49.0,2.5,-1 days +23:52:33.000000000,-8.0
ctwo: 2016-12-05 16:53:00 1 @EUZ6 $74,@EUZ6,2016-12-05 16:53:00,1.07685,2016-12-05 17:00:00,1.07745,-0.000556870388417,0.000556870388417,Open,1.0,74.0,2.5,-1 days +23:53:00.000000000,-7.0
ctwo: 2016-12-05 16:52:30 1.0 @EUZ6 $74,@EUZ6,2016-12-05 16:52:30,1.07685,2016-12-05 17:00:00,1.07745,-0.000556870388417,0.000556870388417,Close,1.0,74.0,2.5,-1 days +23:52:30.000000000,-8.0
ctwo: 2016-12-05 16:52:31 1.0 @ESZ6 $-62,@ESZ6,2016-12-05 16:52:31,2205.5,2016-12-05 17:00:00,2204.25,0.000567086310536,0.000567086310536,Close,1.0,-62.0,2.5,-1 days +23:52:31.000000000,-8.0
ctwo: 2016-12-05 14:15:05 1.0 @SMF7 $19,@SMF7,2016-12-05 14:15:05,319.3,2016-12-05 14:20:00,319.5,-0.000625978090767,0.000625978090767,Close,1.0,19.0,2.5,-1 days +23:55:05.000000000,-5.0
ctwo: 2016-12-05 16:52:36 1 @TYH7 $78,@TYH7,2016-12-05 16:52:36,124.39063,2016-12-05 17:00:00,124.46875,-0.00062762741652,0.00062762741652,Open,1.0,78.0,2.5,-1 days +23:52:36.000000000,-8.0
ctwo: 2016-12-05 16:52:35 1.0 @TYH7 $-78,@TYH7,2016-12-05 16:52:35,124.390625,2016-12-05 17:00:00,124.46875,-0.000627667587246,0.000627667587246,Close,-1.0,-78.0,2.5,-1 days +23:52:35.000000000,-8.0
ctwo: 2016-12-05 14:15:04 1.0 @CH7 $12,@CH7,2016-12-05 14:15:04,359.0,2016-12-05 14:20:00,359.25,-0.000695894224078,0.000695894224078,Close,1.0,12.0,2.5,-1 days +23:55:04.000000000,-5.0
ctwo: 2016-12-05 16:52:30 1 @EMDZ6 $-150,@EMDZ6,2016-12-05 16:52:30,1643.0,2016-12-05 17:00:00,1641.5,0.000913798355163,0.000913798355163,Open,1.0,-150.0,2.5,-1 days +23:52:30.000000000,-8.0
ctwo: 2016-12-05 14:15:06 1 @SMF7 $30,@SMF7,2016-12-05 14:15:06,319.2,2016-12-05 14:20:00,319.5,-0.00093896713615,0.00093896713615,Open,1.0,30.0,2.5,-1 days +23:55:06.000000000,-5.0
ctwo: 2016-12-05 16:52:32 1.0 @JYZ6 $-112,@JYZ6,2016-12-05 16:52:32,0.008785,2016-12-05 17:00:00,0.008794,-0.00102342506254,0.00102342506254,Close,-1.0,-112.0,2.5,-1 days +23:52:32.000000000,-8.0
ctwo: 2016-12-05 16:52:30 1.0 @EMDZ6 $-170,@EMDZ6,2016-12-05 16:52:30,1643.2,2016-12-05 17:00:00,1641.5,0.00103563813585,0.00103563813585,Close,1.0,-170.0,2.5,-1 days +23:52:30.000000000,-8.0
ctwo: 2016-12-05 16:52:31 1.0 QHGH7 $87,QHGH7,2016-12-05 16:52:31,269.45,2016-12-05 17:00:00,269.8,-0.00129725722758,0.00129725722758,Close,1.0,87.0,2.5,-1 days +23:52:31.000000000,-8.0
ctwo: 2016-12-05 16:52:32 1 QHGH7 $100,QHGH7,2016-12-05 16:52:32,269.4,2016-12-05 17:00:00,269.8,-0.00148257968866,0.00148257968866,Open,1.0,100.0,2.5,-1 days +23:52:32.000000000,-8.0
ctwo: 2016-12-05 14:15:05 1 @CH7 $-37,@CH7,2016-12-05 14:15:05,358.5,2016-12-05 14:20:00,359.25,-0.00208768267223,0.00208768267223,Open,-1.0,-37.0,2.5,-1 days +23:55:05.000000000,-5.0
ctwo: 2016-12-05 14:15:06 1.0 @WH7 $50,@WH7,2016-12-05 14:15:06,407.25,2016-12-05 14:20:00,408.25,-0.00244947948561,0.00244947948561,Close,1.0,50.0,2.5,-1 days +23:55:06.000000000,-5.0
ctwo: 2016-12-05 14:15:06 1 @WH7 $-62,@WH7,2016-12-05 14:15:06,407.0,2016-12-05 14:20:00,408.25,-0.00306184935701,0.00306184935701,Open,-1.0,-62.0,2.5,-1 days +23:55:06.000000000,-5.0
ctwo: 2016-12-05 16:52:17 1.0 QCLF7 $829,QCLF7,2016-12-05 16:52:17,50.96,2016-12-05 17:00:00,51.79,-0.0160262598957,0.0160262598957,Close,1.0,829.0,2.5,-1 days +23:52:17.000000000,-8.0
ctwo: 2016-12-05 16:52:18 1 QCLF7 $839,QCLF7,2016-12-05 16:52:18,50.95,2016-12-05 17:00:00,51.79,-0.0162193473644,0.0162193473644,Open,1.0,839.0,2.5,-1 days +23:52:18.000000000,-8.0
ctwo: 2016-12-05 16:52:33 1.0 QNGF7 $619,QNGF7,2016-12-05 16:52:33,3.592,2016-12-05 17:00:00,3.654,-0.0169677066229,0.0169677066229,Close,1.0,619.0,2.5,-1 days +23:52:33.000000000,-8.0
ctwo: 2016-12-05 16:52:34 1 QNGF7 $629,QNGF7,2016-12-05 16:52:34,3.591,2016-12-05 17:00:00,3.654,-0.0172413793103,0.0172413793103,Open,1.0,629.0,2.5,-1 days +23:52:34.000000000,-8.0
