rowname,contract,ibsym,CSIsym,ib_timestamp,ib_price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,delta
ib: 2017-01-06 16:44:30 2 JPY20170313 $-12,JPY20170313,JPY,JY,2017-01-06 16:44:30,0.8567,2017-01-06 17:00:00,0.85665,5.83668942975e-05,5.83668942975e-05,Open,1.0,-12.0,5.0,-16.0
ib: 2017-01-06 16:44:43 2 CHF20170313 $-24,CHF20170313,CHF,SF,2017-01-06 16:44:43,0.9855,2017-01-06 17:00:00,0.9856,-0.000101461038961,0.000101461038961,Open,-1.0,-24.0,5.0,-16.0
ib: 2017-01-06 16:44:14 2 EUR20170313 $-37,EUR20170313,EUR,CU,2017-01-06 16:44:14,1.05595,2017-01-06 17:00:00,1.0561,-0.000142032004545,0.000142032004545,Open,-1.0,-37.0,5.0,-16.0
ib: 2017-01-06 16:44:18 2 NQ20170317 $29,NQ20170317,NQ,NQ,2017-01-06 16:44:18,5004.75,2017-01-06 17:00:00,5004.0,0.000149880095923,0.000149880095923,Open,-1.0,29.0,5.0,-16.0
ib: 2017-01-06 16:44:22 2 YM20170317 $-29,YM20170317,YM,YM,2017-01-06 16:44:22,19894.0,2017-01-06 17:00:00,19897.0,-0.00015077649897,0.00015077649897,Open,-1.0,-29.0,5.0,-16.0
ib: 2017-01-06 14:13:26 2 ZS20170314 $-24,ZS20170314,ZS,S,2017-01-06 14:13:26,994.5,2017-01-06 14:20:00,994.75,-0.000251319426992,0.000251319426992,Open,-1.0,-24.0,5.0,-7.0
ib: 2017-01-06 16:44:12 2 NIY20170309 $-42,NIY20170309,NIY,NIY,2017-01-06 16:44:12,19580.0,2017-01-06 17:00:00,19585.0,-0.000255297421496,0.000255297421496,Open,-1.0,-42.0,5.0,-16.0
ib: 2017-01-06 16:44:28 2 CAD20170314 $39,CAD20170314,CAD,CD,2017-01-06 16:44:28,0.75605,2017-01-06 17:00:00,0.75585,0.000264602765099,0.000264602765099,Open,-1.0,39.0,5.0,-16.0
ib: 2017-01-06 16:44:24 2 GBP20170313 $74,GBP20170313,GBP,BP,2017-01-06 16:44:24,1.2299,2017-01-06 17:00:00,1.2293,0.000488082648662,0.000488082648662,Open,-1.0,74.0,5.0,-16.0
ib: 2017-01-06 14:13:28 6 ZC20170314 $-75,ZC20170314,ZC,C,2017-01-06 14:13:28,358.25,2017-01-06 14:20:00,358.0,0.000698324022346,0.000698324022346,Open,1.0,-75.0,15.0,-7.0
ib: 2017-01-06 16:44:32 2 EMD20170317 $-240,EMD20170317,EMD,EMD,2017-01-06 16:44:32,1678.2,2017-01-06 17:00:00,1679.4,-0.000714540907467,0.000714540907467,Open,-1.0,-240.0,5.0,-16.0
ib: 2017-01-06 02:24:36 11 ZT20170331 $1718,ZT20170331,ZT,TU,2017-01-06 02:24:36,108.3671875,2017-01-06 17:00:00,108.2890625,0.000721448668927,0.000721448668927,Open,-1.0,1718.0,27.5,-876.0
ib: 2017-01-06 14:02:28 2 GF20170330 $-100,GF20170330,GF,FC,2017-01-06 14:02:28,123.9,2017-01-06 14:05:00,123.8,0.00080775444265,0.00080775444265,Open,1.0,-100.0,5.0,-3.0
ib: 2017-01-06 02:24:32 4 ZL20170314 $71,ZL20170314,ZL,BO,2017-01-06 02:24:32,34.95,2017-01-06 14:20:00,34.98,-0.000857632933104,0.000857632933104,Open,1.0,71.0,10.0,-716.0
ib: 2017-01-06 09:30:00 1 LE20170228 $-60,LE20170228,LE,LC,2017-01-06 09:30:00,114.675,2017-01-06 14:05:00,114.825,-0.00130633572828,0.00130633572828,Open,-1.0,-60.0,2.5,-275.0
ib: 2017-01-06 02:24:59 2 RB20170131 $-294,RB20170131,RB,RB,2017-01-06 02:24:59,1.6375,2017-01-06 17:00:00,1.634,0.00214198286414,0.00214198286414,Open,1.0,-294.0,5.0,-876.0
ib: 2017-01-06 02:25:06 5 ZF20170331 $1640,ZF20170331,ZF,FV,2017-01-06 02:25:06,117.96875,2017-01-06 17:00:00,117.640625,0.0027892150352,0.0027892150352,Open,-1.0,1640.0,12.5,-875.0
ib: 2017-01-06 16:44:16 2 HG20170329 $-400,HG20170329,HG,HG,2017-01-06 16:44:16,253.8,2017-01-06 17:00:00,254.6,-0.00314218381775,0.00314218381775,Open,-1.0,-400.0,5.0,-16.0
ib: 2017-01-06 02:24:20 2 ES20170317 $900,ES20170317,ES,ES,2017-01-06 02:24:20,2262.5,2017-01-06 17:00:00,2271.5,-0.00396213955536,0.00396213955536,Open,1.0,900.0,5.0,-876.0
ib: 2017-01-06 16:44:28 2 HO20170131 $-571,HO20170131,HO,HO,2017-01-06 16:44:28,1.6964,2017-01-06 17:00:00,1.7032,-0.00399248473462,0.00399248473462,Open,-1.0,-571.0,5.0,-16.0
ib: 2017-01-06 02:25:00 2 ZB20170322 $-1437,ZB20170322,ZB,US,2017-01-06 02:25:00,152.5,2017-01-06 17:00:00,151.78125,0.0047354333951,0.0047354333951,Open,1.0,-1437.0,5.0,-875.0
ib: 2017-01-06 16:44:34 2 CL20170120 $-600,CL20170120,CL,CL,2017-01-06 16:44:34,53.69,2017-01-06 17:00:00,53.99,-0.0055565845527,0.0055565845527,Open,-1.0,-600.0,5.0,-16.0
ib: 2017-01-06 02:24:58 4 ZW20170314 $-500,ZW20170314,ZW,W,2017-01-06 02:24:58,425.75,2017-01-06 14:20:00,423.25,0.00590667454223,0.00590667454223,Open,1.0,-500.0,10.0,-716.0
ib: 2017-01-06 02:24:50 2 NZD20170313 $-939,NZD20170313,NZD,NE,2017-01-06 02:24:50,0.6998,2017-01-06 17:00:00,0.6951,0.00676161703352,0.00676161703352,Open,1.0,-939.0,5.0,-876.0
ib: 2017-01-06 02:24:55 7 MXP20170313 $-1259,MXP20170313,MXP,MP,2017-01-06 02:24:55,0.04633,2017-01-06 17:00:00,0.04669,-0.00771043049904,0.00771043049904,Open,-1.0,-1259.0,17.5,-876.0
ib: 2017-01-06 02:24:26 2 NG20170224 $-919,NG20170224,NG,NG,2017-01-06 02:24:26,3.242,2017-01-06 17:00:00,3.288,-0.0139902676399,0.0139902676399,Open,-1.0,-919.0,5.0,-876.0
ib: 2017-01-06 09:30:00 1 HE20170214 $429,HE20170214,HE,LH,2017-01-06 09:30:00,65.05,2017-01-06 14:05:00,63.975,0.0168034388433,0.0168034388433,Open,-1.0,429.0,2.5,-275.0
ib: 2017-01-06 02:24:34 2 ZM20170314 $-1100,ZM20170314,ZM,SM,2017-01-06 02:24:34,316.8,2017-01-06 14:20:00,311.3,0.017667844523,0.017667844523,Open,1.0,-1100.0,5.0,-716.0
