,c2price,csiPrice,slippage,abs_slippage
ctwo:2010.0 csi:2004.0 LRCX6,2010.0,2004.0,0.00299401197605,0.00299401197605
ctwo:0.7626 csi:0.7649 @ADZ6,0.7626,0.7649,-0.00300692901033,0.00300692901033
ctwo:130.65 csi:130.25 LGZ6,130.65,130.25,0.00307101727447,0.00307101727447
ctwo:8140.0 csi:8115.0 SWZ6,8140.0,8115.0,0.00308071472582,0.00308071472582
ctwo:204.35 csi:205.0 @OJX6,204.35,205.0,-0.00317073170732,0.00317073170732
ctwo:4853.5 csi:4870.25 @NQZ6,4853.5,4870.25,-0.00343924849854,0.00343924849854
ctwo:0.00993 csi:0.0098905 @JYZ6,0.00993,0.0098905,0.00399373135837,0.00399373135837
ctwo:33.3 csi:33.44 @BOZ6,33.3,33.44,-0.00418660287081,0.00418660287081
ctwo:23414.0 csi:23313.0 HSIV6,23414.0,23313.0,0.00433234675932,0.00433234675932
ctwo:465.8 csi:463.6 @RSX6,465.8,463.6,0.00474547023296,0.00474547023296
ctwo:417.5 csi:415.5 @KWZ6,417.5,415.5,0.00481347773767,0.00481347773767
ctwo:19.315 csi:19.214 QSIZ6,19.315,19.214,0.00525658374102,0.00525658374102
ctwo:313.45 csi:315.15 SSV6,313.45,315.15,-0.00539425670316,0.00539425670316
ctwo:2148.5 csi:2160.5 @ESZ6,2148.5,2160.5,-0.00555426984494,0.00555426984494
ctwo:717.4 csi:721.5 QPAZ6,717.4,721.5,-0.00568260568261,0.00568260568261
ctwo:44.225 csi:43.975 @HEZ6,44.225,43.975,0.00568504832291,0.00568504832291
ctwo:16460.0 csi:16560.0 @NKDZ6,16460.0,16560.0,-0.006038647343,0.006038647343
ctwo:948.0 csi:954.0 @SX6,948.0,954.0,-0.0062893081761,0.0062893081761
ctwo:1240.1 csi:1248.3 @TFSZ6,1240.1,1248.3,-0.0065689337499,0.0065689337499
ctwo:2780.0 csi:2761.0 @CCZ6,2780.0,2761.0,0.00688156465049,0.00688156465049
ctwo:399.0 csi:402.0 @WZ6,399.0,402.0,-0.00746268656716,0.00746268656716
ctwo:150.4 csi:151.55 @KCZ6,150.4,151.55,-0.00758825470142,0.00758825470142
ctwo:0.05073 csi:0.05113 @PXZ6,0.05073,0.05113,-0.00782319577547,0.00782319577547
ctwo:1327.8 csi:1317.1 QGCZ6,1327.8,1317.1,0.00812390858705,0.00812390858705
ctwo:22.8 csi:23.0 @SBH7,22.8,23.0,-0.00869565217391,0.00869565217391
ctwo:444.25 csi:448.25 GASZ6,444.25,448.25,-0.00892359174568,0.00892359174568
ctwo:296.9 csi:299.6 @SMZ6,296.9,299.6,-0.00901201602136,0.00901201602136
ctwo:18046.0 csi:18219.0 @YMZ6,18046.0,18219.0,-0.00949558153576,0.00949558153576
ctwo:903.6 csi:912.5 @MMEZ6,903.6,912.5,-0.00975342465753,0.00975342465753
ctwo:9696.0 csi:9600.0 HHIV6,9696.0,9600.0,0.01,0.01
ctwo:9.775 csi:9.885 @RRX6,9.775,9.885,-0.0111279716743,0.0111279716743
ctwo:218.4 csi:221.05 QHGZ6,218.4,221.05,-0.0119882379552,0.0119882379552
ctwo:604.7 csi:597.2 QWZ6,604.7,597.2,0.0125586068319,0.0125586068319
ctwo:6895.0 csi:6808.0 @CTZ6,6895.0,6808.0,0.0127790834313,0.0127790834313
ctwo:1.4433 csi:1.4631 QRBX6,1.4433,1.4631,-0.0135329095756,0.0135329095756
ctwo:2.948 csi:2.906 QNGX6,2.948,2.906,0.0144528561597,0.0144528561597
ctwo:1.5154 csi:1.5383 QHOX6,1.5154,1.5383,-0.0148865630891,0.0148865630891
ctwo:331.0 csi:336.75 @CZ6,331.0,336.75,-0.0170749814402,0.0170749814402
ctwo:10288.0 csi:10512.5 DXMZ6,10288.0,10512.5,-0.021355529132,0.021355529132
ctwo:174.25 csi:178.25 @OZ6,174.25,178.25,-0.0224403927069,0.0224403927069
ctwo:502.5 csi:514.5 @MWZ6,502.5,514.5,-0.0233236151603,0.0233236151603
ctwo:49.01 csi:50.19 EBZ6,49.01,50.19,-0.0235106594939,0.0235106594939
ctwo:46.98 csi:48.24 QCLX6,46.98,48.24,-0.0261194029851,0.0261194029851
ctwo:123.725 csi:119.65 @GFX6,123.725,119.65,0.0340576681989,0.0340576681989
ctwo:16.4 csi:15.775 @VXV6,16.4,15.775,0.0396196513471,0.0396196513471
