,2016-08-15
ACC_ACT,1.0
L%_ACT,0.708860759494
ACC_prevACT,0.493670886076
L%_prevACT,0.53164556962
ACC_AntiPrevACT,0.506329113924
L%_AntiPrevACT,0.46835443038
ACC_RiskOn,0.810126582278
L%_RiskOn,0.721518987342
ACC_RiskOff,0.189873417722
L%_RiskOff,0.278481012658
ACC_LastSIG,0.518987341772
L%_LastSIG,0.556962025316
ACC_0.75LastSIG,0.632911392405
L%_0.75LastSIG,0.620253164557
ACC_0.5LastSIG,0.481012658228
L%_0.5LastSIG,0.493670886076
ACC_1LastSIG,0.607594936709
L%_1LastSIG,0.670886075949
ACC_Anti1LastSIG,0.392405063291
L%_Anti1LastSIG,0.329113924051
ACC_Anti0.75LastSIG,0.367088607595
L%_Anti0.75LastSIG,0.379746835443
ACC_prevSEA,0.443037974684
L%_prevSEA,0.582278481013
ACC_AntiSEA,0.556962025316
L%_AntiSEA,0.417721518987
ACC_AdjSEA,0.481012658228
L%_AdjSEA,0.544303797468
ACC_AntiAdjSEA,0.518987341772
L%_AntiAdjSEA,0.455696202532
ACC_Voting,0.582278481013
L%_Voting,0.594936708861
ACC_Voting2,0.518987341772
L%_Voting2,0.556962025316
ACC_Voting3,0.569620253165
L%_Voting3,0.481012658228
ACC_Voting4,0.556962025316
L%_Voting4,0.518987341772
ACC_Voting5,0.430379746835
L%_Voting5,0.392405063291
ACC_Voting6,0.53164556962
L%_Voting6,0.443037974684
PNL_ACT,92089.1457854
PNL_prevACT,6522.37568948
PNL_AntiPrevACT,-6522.37568948
PNL_RiskOn,72816.6510522
PNL_RiskOff,-72816.6510522
PNL_LastSIG,3240.50192715
PNL_0.75LastSIG,24534.6150104
PNL_0.5LastSIG,-5096.81670273
PNL_1LastSIG,21975.5496111
PNL_Anti1LastSIG,-21975.5496111
PNL_Anti0.75LastSIG,-24534.6150104
PNL_prevSEA,-12432.7531424
PNL_AntiSEA,12432.7531424
PNL_AdjSEA,9037.76381671
PNL_AntiAdjSEA,-9037.76381671
PNL_Voting,19762.5152836
PNL_Voting2,3240.50192715
PNL_Voting3,12007.527899
PNL_Voting4,10535.4117564
PNL_Voting5,-16740.7958731
PNL_Voting6,-1293.37460128
Vol_All,1297.03022233
Vol_currency,818.677267312
Vol_energy,2341.13381354
Vol_grain,2103.14348894
Vol_index,1031.32898111
Vol_meat,1385.28517212
Vol_metal,791.000442106
Vol_rates,1293.07409695
Vol_soft,991.900758451
Chg_All,748.418050961
Chg_currency,552.26282177
Chg_energy,2341.13381354
Chg_grain,1810.85433046
Chg_index,978.256565247
Chg_meat,698.048161213
Chg_metal,276.986451138
Chg_rates,-932.029878887
Chg_soft,187.114887971
L%_All,0.718309859155
L%_currency,0.666666666667
L%_energy,1.0
L%_grain,0.8
L%_index,0.904761904762
L%_meat,0.333333333333
L%_metal,0.8
L%_rates,0.2
L%_soft,0.714285714286
