2016-07-29 00:00:00,Contract,LastClose,ATR20,PC2016-07-29 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-29 00:00:00,RiskOn,group,SEA2016-07-29 00:00:00,SRUN2016-07-29 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-28 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-28 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-28 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-28 00:00:00,Anti1LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
CT,@CTZ6,74.04,1.8915,0.013691128149,1.0,1.0,1.0,-1.0,-1.0,-4.0,2016-07-25,-1.0,945.75,3.0,37020.0,74.04,1.0,soft,-1.0,-4.0,-1.0,-9.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,1,1,1,1.0,-1,1,1,1,1,-1,506.845564074,1520.53669222,1520.53669222,1520.53669222,1520.53669222,-1520.53669222,1520.53669222,-1520.53669222,1520.53669222,1520.53669222,-1520.53669222,1520.53669222,1520.53669222,1520.53669222,-1520.53669222,1520.53669222,1520.53669222,-1520.53669222
CU,@EUU6,1.12015,0.0078875,0.00955342255869,1.0,1.0,1.0,1.0,1.0,5.0,2016-07-22,1.0,985.9375,3.0,140018.75,1.12015,1.0,currency,1.0,5.0,1.0,-24.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1.0,1,-1,-1,1,-1,-1,1337.65828489,4012.97485467,4012.97485467,4012.97485467,4012.97485467,4012.97485467,-4012.97485467,4012.97485467,-4012.97485467,-4012.97485467,4012.97485467,-4012.97485467,-4012.97485467,4012.97485467,4012.97485467,-4012.97485467,4012.97485467,-4012.97485467
DX,@DXU6,95.491,0.61265,-0.0127169901056,-1.0,1.0,-1.0,1.0,1.0,5.0,2016-07-22,-1.0,612.65,4.0,95491.0,95.491,-1.0,currency,1.0,5.0,1.0,-25.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,-1,1,-1.0,1,-1,-1,1,-1,1,-1214.35810217,4857.43240868,4857.43240868,-4857.43240868,4857.43240868,-4857.43240868,4857.43240868,-4857.43240868,4857.43240868,4857.43240868,-4857.43240868,4857.43240868,4857.43240868,-4857.43240868,4857.43240868,-4857.43240868,4857.43240868,-4857.43240868
EBL,BDU6,167.81,0.728,0.00238934352787,1.0,-1.0,-1.0,1.0,1.0,10.0,2016-07-15,1.0,813.8312,3.0,187594.799,167.81,-1.0,rates,1.0,10.0,1.0,9.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,-1,-1,-1,1.0,-1,-1,-1,-1,-1,1,448.228418852,1344.68525656,-1344.68525656,-1344.68525656,-1344.68525656,1344.68525656,-1344.68525656,1344.68525656,-1344.68525656,1344.68525656,-1344.68525656,-1344.68525656,-1344.68525656,-1344.68525656,1344.68525656,-1344.68525656,-1344.68525656,1344.68525656
EBM,BLU6,133.67,0.2015,0.000898539872707,1.0,1.0,1.0,1.0,1.0,-15.0,2016-07-08,-1.0,225.25685,9.0,149429.693,133.67,-1.0,rates,1.0,-15.0,1.0,-14.0,1.0,1.0,9.0,1.0,1.0,9.0,1.0,1.0,9.0,1.0,1.0,9.0,1.0,-1,-1,1,-1.0,1,-1,1,1,1,1,134.268537327,1208.41683594,1208.41683594,1208.41683594,1208.41683594,1208.41683594,-1208.41683594,1208.41683594,-1208.41683594,-1208.41683594,1208.41683594,-1208.41683594,1208.41683594,1208.41683594,-1208.41683594,1208.41683594,-1208.41683594,1208.41683594
EBS,EZU6,112.02,0.042,0.000223224251082,1.0,-1.0,1.0,-1.0,1.0,-14.0,2016-07-11,-1.0,46.9518,43.0,125227.158,112.02,-1.0,rates,1.0,-14.0,1.0,-13.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,-1,1,-1.0,1,1,1,1,1,1,27.9537385597,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
ED,@EDZ6,99.165,0.03525,0.000353071723999,1.0,-1.0,1.0,-1.0,1.0,4.0,2016-07-25,1.0,88.125,23.0,247912.5,99.165,-1.0,rates,1.0,4.0,1.0,-22.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,87.5308937758,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
EMD,@EMDU6,1556.9,15.815,0.00335116324032,1.0,1.0,1.0,1.0,-1.0,-12.0,2016-07-13,1.0,1581.5,2.0,155690.0,1556.9,1.0,index,-1.0,-12.0,-1.0,-11.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,-1,1.0,-1,-1,1,-1,-1,-1,521.742604885,1043.48520977,1043.48520977,1043.48520977,1043.48520977,1043.48520977,-1043.48520977,-1043.48520977,1043.48520977,1043.48520977,-1043.48520977,-1043.48520977,1043.48520977,-1043.48520977,1043.48520977,-1043.48520977,1043.48520977,-1043.48520977
ES,@ESU6,2168.25,17.9125,0.0016168148747,1.0,1.0,1.0,1.0,-1.0,-10.0,2016-07-15,1.0,895.625,3.0,108412.5,2168.25,1.0,index,-1.0,-10.0,-1.0,-9.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,1,-1,1.0,-1,-1,1,-1,-1,-1,175.282942603,525.848827809,525.848827809,525.848827809,525.848827809,525.848827809,-525.848827809,-525.848827809,525.848827809,525.848827809,-525.848827809,-525.848827809,525.848827809,-525.848827809,525.848827809,-525.848827809,525.848827809,-525.848827809
FC,@GFQ6,140.05,3.23875,-0.00302544936821,-1.0,-1.0,1.0,-1.0,-1.0,6.0,2016-07-21,-1.0,1619.375,2.0,70025.0,140.05,1.0,meat,-1.0,6.0,-1.0,5.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,-1.0,1,1,1,-1,1,-1,-211.857092009,423.714184018,423.714184018,423.714184018,-423.714184018,423.714184018,-423.714184018,423.714184018,-423.714184018,423.714184018,-423.714184018,-423.714184018,-423.714184018,423.714184018,423.714184018,-423.714184018,-423.714184018,423.714184018
