2016-07-29 00:00:00,Contract,LastClose,ATR20,PC2016-07-29 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-29 00:00:00,RiskOn,group,SEA2016-07-29 00:00:00,SRUN2016-07-29 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-28 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-28 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-28 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-28 00:00:00,Anti1LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
LH,@HEV6,59.05,1.557488949,-0.00253378378378,-1.0,-1.0,-1.0,-1.0,-1.0,-11.0,2016-07-14,-1.0,622.9955796,4.0,23620.0,59.05,1.0,meat,-1.0,-11.0,-1.0,-10.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,1,1.0,-1,1,1,-1,1,-1,-59.847972973,239.391891892,239.391891892,239.391891892,239.391891892,239.391891892,-239.391891892,239.391891892,-239.391891892,-239.391891892,239.391891892,-239.391891892,-239.391891892,239.391891892,239.391891892,-239.391891892,-239.391891892,239.391891892
LRC,LRCU6,1848.0,28.1,0.019305019305,1.0,-1.0,-1.0,-1.0,1.0,-4.0,2016-07-25,1.0,281.0,8.0,18480.0,1848.0,1.0,soft,1.0,-4.0,1.0,10.0,-1.0,1.0,8.0,-1.0,1.0,8.0,-1.0,2.0,8.0,-1.0,2.0,8.0,-1.0,1,-1,-1,1.0,-1,1,-1,-1,-1,-1,356.756756757,2854.05405405,-2854.05405405,-2854.05405405,-2854.05405405,-2854.05405405,2854.05405405,2854.05405405,-2854.05405405,2854.05405405,-2854.05405405,2854.05405405,-2854.05405405,-2854.05405405,2854.05405405,-2854.05405405,2854.05405405,-2854.05405405
LSU,QWV6,528.4,11.985,0.0198803319822,1.0,-1.0,1.0,-1.0,-1.0,22.0,2016-06-29,-1.0,599.25,4.0,26420.0,528.4,1.0,soft,-1.0,22.0,-1.0,21.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,1,-1.0,1,1,1,-1,1,-1,525.238370971,2100.95348388,-2100.95348388,-2100.95348388,2100.95348388,-2100.95348388,2100.95348388,-2100.95348388,2100.95348388,-2100.95348388,2100.95348388,2100.95348388,2100.95348388,-2100.95348388,-2100.95348388,2100.95348388,2100.95348388,-2100.95348388
MEM,@MMEU6,881.5,12.045,0.00616367994521,1.0,1.0,-1.0,1.0,1.0,-9.0,2016-07-18,-1.0,602.25,4.0,44075.0,881.5,1.0,index,1.0,-9.0,1.0,-8.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,271.664193585,1086.65677434,-1086.65677434,1086.65677434,-1086.65677434,1086.65677434,-1086.65677434,1086.65677434,-1086.65677434,-1086.65677434,1086.65677434,-1086.65677434,-1086.65677434,1086.65677434,-1086.65677434,1086.65677434,1086.65677434,-1086.65677434
MFX,IBQ6,8571.0,150.738156972,0.00895831616617,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2016-07-13,-1.0,1685.10185678,2.0,95815.209,8571.0,1.0,index,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,1.0,-1,1,1,-1,1,-1,858.34293575,1716.6858715,-1716.6858715,-1716.6858715,-1716.6858715,-1716.6858715,1716.6858715,-1716.6858715,1716.6858715,1716.6858715,-1716.6858715,1716.6858715,1716.6858715,-1716.6858715,-1716.6858715,1716.6858715,1716.6858715,-1716.6858715
MP,@PXU6,0.05301,0.0006865,0.00607325868286,1.0,1.0,1.0,1.0,-1.0,6.0,2016-07-21,-1.0,343.25,6.0,26505.0,0.05301,1.0,currency,-1.0,6.0,-1.0,5.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,6.0,1.0,-1,1,1,-1.0,1,-1,1,1,1,-1,160.971721389,965.830328336,965.830328336,965.830328336,965.830328336,965.830328336,-965.830328336,-965.830328336,965.830328336,-965.830328336,965.830328336,-965.830328336,965.830328336,965.830328336,-965.830328336,965.830328336,965.830328336,-965.830328336
MW,@MWU6,488.25,9.95,0.00308166409861,1.0,1.0,-1.0,1.0,-1.0,-7.0,2016-07-20,-1.0,497.5,5.0,24412.5,488.25,1.0,grain,-1.0,-7.0,-1.0,-6.0,1.0,1.0,5.0,1.0,2.0,5.0,-1.0,1.0,5.0,1.0,1.0,5.0,1.0,-1,1,1,1.0,-1,1,1,1,1,-1,75.2311248074,376.155624037,376.155624037,376.155624037,-376.155624037,376.155624037,-376.155624037,-376.155624037,376.155624037,376.155624037,-376.155624037,376.155624037,376.155624037,376.155624037,-376.155624037,376.155624037,376.155624037,-376.155624037
NE,@NEU6,0.7207,0.00854,0.0211107962596,1.0,1.0,-1.0,1.0,-1.0,-6.0,2016-07-21,1.0,854.0,3.0,72070.0,0.7207,1.0,currency,-1.0,-6.0,-1.0,9.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,1,-1,-1.0,1,-1,-1,-1,-1,-1,1521.45508643,4564.36525928,-4564.36525928,4564.36525928,-4564.36525928,4564.36525928,-4564.36525928,-4564.36525928,4564.36525928,-4564.36525928,4564.36525928,-4564.36525928,-4564.36525928,-4564.36525928,4564.36525928,-4564.36525928,4564.36525928,-4564.36525928
NG,QNGU6,2.876,0.10305,0.00104420466411,1.0,1.0,-1.0,1.0,-1.0,-7.0,2016-07-20,1.0,1030.5,2.0,28760.0,2.876,1.0,energy,-1.0,-7.0,-1.0,-6.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,30.0313261399,60.0626522798,-60.0626522798,60.0626522798,-60.0626522798,60.0626522798,-60.0626522798,-60.0626522798,60.0626522798,60.0626522798,-60.0626522798,-60.0626522798,-60.0626522798,-60.0626522798,60.0626522798,-60.0626522798,60.0626522798,-60.0626522798
NIY,@NKDU6,16320.0,350.0,-0.0147902203441,-1.0,1.0,1.0,-1.0,-1.0,-8.0,2016-07-19,-1.0,1714.17376824,2.0,79929.4739935,16320.0,1.0,index,-1.0,-8.0,-1.0,-7.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,1,1,1,1.0,-1,1,1,1,1,-1,-1182.17453235,2364.3490647,-2364.3490647,-2364.3490647,-2364.3490647,2364.3490647,-2364.3490647,2364.3490647,-2364.3490647,-2364.3490647,2364.3490647,-2364.3490647,-2364.3490647,-2364.3490647,2364.3490647,-2364.3490647,-2364.3490647,2364.3490647
NQ,@NQU6,4726.75,44.2625,0.00148312940304,1.0,1.0,1.0,1.0,-1.0,-8.0,2016-07-19,1.0,885.25,3.0,94535.0,4726.75,1.0,index,-1.0,-8.0,-1.0,-7.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,1,-1,1.0,-1,-1,1,-1,-1,-1,140.207638116,420.622914349,420.622914349,420.622914349,420.622914349,420.622914349,-420.622914349,-420.622914349,420.622914349,420.622914349,-420.622914349,-420.622914349,420.622914349,-420.622914349,420.622914349,-420.622914349,420.622914349,-420.622914349
O,@OZ6,199.25,5.025,0.0101394169835,1.0,-1.0,1.0,-1.0,1.0,-6.0,2016-07-21,1.0,251.25,8.0,9962.5,199.25,1.0,grain,1.0,-6.0,1.0,11.0,-1.0,1.0,8.0,-1.0,1.0,8.0,1.0,1.0,8.0,-1.0,1.0,8.0,-1.0,1,-1,-1,1.0,-1,1,1,-1,1,-1,101.013941698,808.111533587,-808.111533587,-808.111533587,808.111533587,-808.111533587,808.111533587,808.111533587,-808.111533587,808.111533587,-808.111533587,808.111533587,808.111533587,-808.111533587,808.111533587,-808.111533587,808.111533587,-808.111533587
OJ,@OJU6,174.65,5.98,-0.0286429365962,-1.0,1.0,-1.0,1.0,-1.0,-3.0,2016-07-12,-1.0,897.0,3.0,26197.5,174.65,1.0,soft,-1.0,-3.0,-1.0,-2.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,1,1,1.0,-1,1,1,1,1,-1,-750.373331479,2251.11999444,-2251.11999444,-2251.11999444,2251.11999444,-2251.11999444,2251.11999444,2251.11999444,-2251.11999444,-2251.11999444,2251.11999444,-2251.11999444,-2251.11999444,-2251.11999444,2251.11999444,-2251.11999444,-2251.11999444,2251.11999444
PA,QPAU6,709.75,17.1025,0.0158877835826,1.0,1.0,-1.0,1.0,-1.0,23.0,2016-06-27,-1.0,1710.25,2.0,70975.0,709.75,1.0,metal,-1.0,23.0,-1.0,22.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,1,-1.0,1,-1,-1,1,-1,-1,1127.63543978,2255.27087955,2255.27087955,2255.27087955,-2255.27087955,2255.27087955,-2255.27087955,-2255.27087955,2255.27087955,-2255.27087955,2255.27087955,-2255.27087955,-2255.27087955,2255.27087955,-2255.27087955,2255.27087955,2255.27087955,-2255.27087955
PL,QPLV6,1150.6,24.18,0.0102730705066,1.0,1.0,1.0,1.0,-1.0,23.0,2016-06-27,1.0,1209.0,2.0,57530.0,1150.6,-1.0,metal,-1.0,23.0,-1.0,22.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,-1,-1.0,1,-1,-1,-1,-1,1,591.009746246,1182.01949249,-1182.01949249,1182.01949249,1182.01949249,1182.01949249,-1182.01949249,-1182.01949249,1182.01949249,-1182.01949249,1182.01949249,-1182.01949249,-1182.01949249,-1182.01949249,1182.01949249,-1182.01949249,-1182.01949249,1182.01949249
RB,QRBU6,1.3194,0.050325891,0.0140650219045,1.0,-1.0,1.0,-1.0,-1.0,-4.0,2016-07-25,-1.0,2113.687422,1.0,55414.8,1.3194,1.0,energy,-1.0,-4.0,-1.0,11.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,1,1,1,-1.0,1,1,1,-1,1,-1,779.410375836,779.410375836,-779.410375836,-779.410375836,779.410375836,-779.410375836,779.410375836,-779.410375836,779.410375836,-779.410375836,779.410375836,779.410375836,779.410375836,-779.410375836,-779.410375836,779.410375836,779.410375836,-779.410375836
RR,@RRU6,9.94,0.234,0.0174002047083,1.0,-1.0,1.0,-1.0,-1.0,-16.0,2016-07-07,-1.0,468.0,5.0,19880.0,9.94,1.0,grain,-1.0,-16.0,-1.0,-15.0,-1.0,1.0,5.0,-1.0,1.0,5.0,1.0,2.0,5.0,-1.0,2.0,5.0,-1.0,1,1,1,1.0,-1,1,1,-1,1,-1,345.916069601,1729.580348,-1729.580348,-1729.580348,1729.580348,-1729.580348,1729.580348,-1729.580348,1729.580348,1729.580348,-1729.580348,1729.580348,1729.580348,-1729.580348,-1729.580348,1729.580348,1729.580348,-1729.580348
RS,@RSX6,453.9,10.245,0.00598404255319,1.0,1.0,1.0,-1.0,1.0,-4.0,2016-07-25,-1.0,157.216297092,13.0,6965.39553441,453.9,1.0,grain,1.0,-4.0,1.0,-3.0,1.0,1.0,13.0,1.0,1.0,13.0,1.0,1.0,13.0,1.0,2.0,13.0,-1.0,1,-1,1,-1.0,1,1,1,1,1,-1,41.6812232777,541.855902611,541.855902611,541.855902611,541.855902611,-541.855902611,541.855902611,541.855902611,-541.855902611,-541.855902611,541.855902611,541.855902611,541.855902611,541.855902611,-541.855902611,541.855902611,541.855902611,-541.855902611
S,@SX6,1003.0,36.875,0.0255623721881,1.0,1.0,1.0,-1.0,1.0,-4.0,2016-07-25,-1.0,1843.75,2.0,50150.0,1003.0,1.0,grain,1.0,-4.0,1.0,11.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,1,-1,1,1.0,-1,1,1,1,1,-1,1281.95296524,2563.90593047,2563.90593047,2563.90593047,2563.90593047,-2563.90593047,2563.90593047,2563.90593047,-2563.90593047,2563.90593047,-2563.90593047,2563.90593047,2563.90593047,2563.90593047,-2563.90593047,2563.90593047,2563.90593047,-2563.90593047
SB,@SBV6,19.05,0.616,0.0132978723404,1.0,-1.0,-1.0,-1.0,-1.0,-21.0,2016-06-29,-1.0,689.92,3.0,21336.0,19.05,1.0,soft,-1.0,-21.0,-1.0,-20.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1,1.0,-1,1,1,-1,1,-1,283.723404255,851.170212766,-851.170212766,-851.170212766,-851.170212766,-851.170212766,851.170212766,-851.170212766,851.170212766,851.170212766,-851.170212766,851.170212766,851.170212766,-851.170212766,-851.170212766,851.170212766,851.170212766,-851.170212766
SF,@SFU6,1.0353,0.007995,0.0129145876137,1.0,-1.0,-1.0,-1.0,-1.0,3.0,2016-06-23,1.0,999.375,3.0,129412.5,1.0353,1.0,currency,-1.0,3.0,-1.0,-24.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1,1,-1,1.0,-1,1,-1,-1,-1,-1,1671.30906956,5013.92720869,-5013.92720869,-5013.92720869,-5013.92720869,-5013.92720869,5013.92720869,-5013.92720869,5013.92720869,5013.92720869,-5013.92720869,5013.92720869,-5013.92720869,-5013.92720869,5013.92720869,-5013.92720869,5013.92720869,-5013.92720869
SI,QSIU6,2034.7,60.58,0.00767630744849,1.0,1.0,1.0,1.0,1.0,-7.0,2016-07-20,1.0,3029.0,1.0,101735.0,2034.7,-1.0,metal,1.0,-7.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,-1,-1,-1,1.0,-1,-1,1,1,1,1,780.949138273,780.949138273,780.949138273,780.949138273,780.949138273,780.949138273,-780.949138273,780.949138273,-780.949138273,780.949138273,-780.949138273,-780.949138273,780.949138273,780.949138273,780.949138273,-780.949138273,-780.949138273,780.949138273
SIN,INQ6,8687.5,81.7206975135,-0.00103489909734,-1.0,1.0,1.0,1.0,-1.0,-6.0,2016-07-21,1.0,163.441395027,13.0,17375.0,8687.5,1.0,index,-1.0,-6.0,-1.0,-5.0,1.0,1.0,13.0,1.0,1.0,13.0,1.0,2.0,13.0,1.0,2.0,13.0,1.0,-1,1,-1,1.0,-1,-1,1,-1,-1,-1,-17.9813718162,233.757833611,-233.757833611,-233.757833611,-233.757833611,-233.757833611,233.757833611,233.757833611,-233.757833611,-233.757833611,233.757833611,233.757833611,-233.757833611,233.757833611,-233.757833611,233.757833611,-233.757833611,233.757833611
SJB,BBU6,152.78,0.357,-0.00630894308943,-1.0,1.0,-1.0,1.0,1.0,-2.0,2016-07-18,-1.0,349.691448722,6.0,149652.267607,152.78,-1.0,rates,1.0,-2.0,1.0,8.0,1.0,1.0,6.0,1.0,1.0,6.0,-1.0,2.0,6.0,1.0,2.0,6.0,1.0,-1,-1,1,1.0,-1,1,1,1,1,1,-944.147639537,5664.88583722,-5664.88583722,-5664.88583722,5664.88583722,-5664.88583722,5664.88583722,-5664.88583722,5664.88583722,-5664.88583722,5664.88583722,-5664.88583722,-5664.88583722,-5664.88583722,5664.88583722,-5664.88583722,5664.88583722,-5664.88583722
SM,@SMZ6,347.7,13.615,0.0202464788732,1.0,-1.0,-1.0,1.0,-1.0,-4.0,2016-07-25,-1.0,1361.5,2.0,34770.0,347.7,1.0,grain,-1.0,-4.0,-1.0,11.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,-1,1,1,-1.0,1,-1,-1,-1,-1,-1,703.970070423,1407.94014085,-1407.94014085,-1407.94014085,-1407.94014085,1407.94014085,-1407.94014085,-1407.94014085,1407.94014085,-1407.94014085,1407.94014085,-1407.94014085,-1407.94014085,-1407.94014085,-1407.94014085,1407.94014085,1407.94014085,-1407.94014085
SMI,SWU6,8133.0,87.5,0.00543948572135,1.0,-1.0,1.0,-1.0,1.0,-20.0,2016-07-01,-1.0,902.8064383,3.0,83914.5687165,8133.0,1.0,index,1.0,-20.0,1.0,-19.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,-1,1,-1.0,1,1,1,1,1,-1,456.452098346,1369.35629504,1369.35629504,-1369.35629504,1369.35629504,-1369.35629504,1369.35629504,1369.35629504,-1369.35629504,-1369.35629504,1369.35629504,1369.35629504,1369.35629504,1369.35629504,-1369.35629504,1369.35629504,1369.35629504,-1369.35629504
SSG,SSQ6,312.45,3.860802237,-0.0162153652393,-1.0,1.0,1.0,1.0,-1.0,-11.0,2016-07-14,-1.0,576.239139851,4.0,46634.3283582,312.45,1.0,index,-1.0,-11.0,-1.0,22.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,1,1,-1.0,1,-1,1,1,1,-1,-756.192667018,3024.77066807,-3024.77066807,-3024.77066807,-3024.77066807,-3024.77066807,3024.77066807,3024.77066807,-3024.77066807,3024.77066807,-3024.77066807,3024.77066807,-3024.77066807,-3024.77066807,3024.77066807,-3024.77066807,-3024.77066807,3024.77066807
STW,TWQ6,332.9,4.1200440525,-0.00922619047619,-1.0,-1.0,-1.0,1.0,-1.0,-11.0,2016-07-14,1.0,412.00440525,5.0,33290.0,332.9,1.0,index,-1.0,-11.0,-1.0,-10.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,2.0,5.0,1.0,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-307.139880952,1535.69940476,1535.69940476,1535.69940476,1535.69940476,-1535.69940476,1535.69940476,1535.69940476,-1535.69940476,-1535.69940476,1535.69940476,1535.69940476,1535.69940476,1535.69940476,-1535.69940476,1535.69940476,-1535.69940476,1535.69940476
SXE,EXU6,2983.0,45.7,0.0043771043771,1.0,1.0,-1.0,1.0,-1.0,4.0,2016-07-25,-1.0,510.8803,4.0,33346.957,2983.0,1.0,index,-1.0,4.0,-1.0,-16.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,1,1,1.0,-1,1,1,1,1,-1,145.963111448,583.852445791,583.852445791,583.852445791,-583.852445791,583.852445791,-583.852445791,-583.852445791,583.852445791,583.852445791,-583.852445791,583.852445791,583.852445791,583.852445791,-583.852445791,583.852445791,583.852445791,-583.852445791
TF,@TFSU6,1217.0,15.05,0.00288421920066,1.0,1.0,-1.0,1.0,-1.0,-17.0,2016-07-06,-1.0,1505.0,2.0,121700.0,1217.0,1.0,index,-1.0,-17.0,-1.0,-16.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,1,1.0,-1,1,1,1,1,-1,351.00947672,702.01895344,702.01895344,702.01895344,-702.01895344,702.01895344,-702.01895344,-702.01895344,702.01895344,702.01895344,-702.01895344,702.01895344,702.01895344,702.01895344,-702.01895344,702.01895344,702.01895344,-702.01895344
TU,@TUU6,109.5,0.10234375,0.00107135204628,1.0,-1.0,1.0,-1.0,1.0,4.0,2016-07-25,1.0,204.6875,10.0,219000.0,109.5,-1.0,rates,1.0,4.0,1.0,-17.0,-1.0,1.0,10.0,-1.0,1.0,10.0,1.0,1.0,10.0,-1.0,1.0,10.0,-1.0,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,234.626098136,2346.26098136,-2346.26098136,-2346.26098136,2346.26098136,-2346.26098136,2346.26098136,2346.26098136,-2346.26098136,-2346.26098136,2346.26098136,-2346.26098136,-2346.26098136,-2346.26098136,2346.26098136,-2346.26098136,-2346.26098136,2346.26098136
TY,@TYU6,133.046875,0.63203125,0.00365393682225,1.0,-1.0,1.0,-1.0,1.0,10.0,2016-07-15,1.0,632.03125,4.0,133046.875,133.046875,-1.0,rates,1.0,10.0,1.0,-17.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,486.144875648,1944.57950259,-1944.57950259,-1944.57950259,1944.57950259,-1944.57950259,1944.57950259,1944.57950259,-1944.57950259,-1944.57950259,1944.57950259,-1944.57950259,-1944.57950259,-1944.57950259,1944.57950259,-1944.57950259,-1944.57950259,1944.57950259
US,@USU6,174.4375,1.7765625,0.00630971696412,1.0,1.0,1.0,-1.0,1.0,7.0,2016-07-20,1.0,1776.5625,2.0,174437.5,174.4375,-1.0,rates,1.0,7.0,1.0,-14.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,-1.0,1,-1,-1,-1.0,1,-1,-1,1,-1,1,1100.65125293,2201.30250586,-2201.30250586,2201.30250586,2201.30250586,-2201.30250586,2201.30250586,2201.30250586,-2201.30250586,-2201.30250586,2201.30250586,-2201.30250586,-2201.30250586,2201.30250586,2201.30250586,-2201.30250586,-2201.30250586,2201.30250586
VX,@VXQ6,13.825,0.810433587,-0.0382608695652,-1.0,-1.0,1.0,-1.0,1.0,-5.0,2016-07-22,-1.0,810.433587,3.0,13825.0,13.825,-1.0,index,1.0,-5.0,1.0,-4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,-1,1,-1.0,1,1,1,1,1,1,-528.956521739,1586.86956522,-1586.86956522,1586.86956522,-1586.86956522,1586.86956522,-1586.86956522,-1586.86956522,1586.86956522,1586.86956522,-1586.86956522,-1586.86956522,-1586.86956522,-1586.86956522,1586.86956522,-1586.86956522,1586.86956522,-1586.86956522
W,@WU6,407.75,13.575,-0.00609384521633,-1.0,1.0,-1.0,1.0,1.0,-1.0,2016-07-25,-1.0,678.75,3.0,20387.5,407.75,1.0,grain,1.0,-1.0,1.0,-3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-124.238269348,372.714808044,372.714808044,-372.714808044,372.714808044,-372.714808044,372.714808044,-372.714808044,372.714808044,372.714808044,-372.714808044,372.714808044,372.714808044,-372.714808044,372.714808044,-372.714808044,-372.714808044,372.714808044
YA,APU6,5519.0,53.6,0.000362515860069,1.0,1.0,-1.0,1.0,-1.0,-12.0,2016-07-13,1.0,1018.936,2.0,104916.19,5519.0,1.0,index,-1.0,-12.0,-1.0,22.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,-1,-1.0,1,-1,-1,-1,-1,-1,38.033782853,76.067565706,-76.067565706,76.067565706,-76.067565706,76.067565706,-76.067565706,-76.067565706,76.067565706,-76.067565706,76.067565706,-76.067565706,-76.067565706,-76.067565706,76.067565706,-76.067565706,76.067565706,-76.067565706
YB,HBSU6,98.17,0.028,0.000101874490628,1.0,1.0,1.0,1.0,1.0,-6.0,2016-07-21,1.0,51.09888,40.0,179156.3232,98.17,-1.0,rates,1.0,-6.0,1.0,-5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1,-1,-1,-1.0,1,-1,-1,1,-1,1,18.2514591687,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
YM,@YMU6,18362.0,143.1,-0.000761863299956,-1.0,-1.0,1.0,-1.0,-1.0,-8.0,2016-07-19,-1.0,715.5,3.0,91810.0,18362.0,1.0,index,-1.0,-8.0,-1.0,-7.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1,1.0,-1,1,1,-1,1,-1,-69.946669569,209.840008707,209.840008707,209.840008707,-209.840008707,209.840008707,-209.840008707,209.840008707,-209.840008707,-209.840008707,209.840008707,-209.840008707,-209.840008707,209.840008707,209.840008707,-209.840008707,-209.840008707,209.840008707
YT2,HTSU6,98.59,0.0565,0.000101440454453,1.0,1.0,1.0,-1.0,1.0,26.0,2016-06-23,1.0,120.29528,17.0,209909.9408,98.59,-1.0,rates,1.0,26.0,1.0,25.0,1.0,1.0,17.0,1.0,1.0,17.0,1.0,1.0,17.0,1.0,1.0,17.0,-1.0,1,-1,-1,1.0,-1,1,1,1,1,1,21.293359789,361.987116413,361.987116413,361.987116413,361.987116413,-361.987116413,361.987116413,361.987116413,-361.987116413,361.987116413,-361.987116413,361.987116413,361.987116413,361.987116413,361.987116413,-361.987116413,-361.987116413,361.987116413
YT3,HXSU6,98.115,0.073,-0.000101910828026,-1.0,-1.0,-1.0,1.0,1.0,9.0,2016-07-18,1.0,444.0736,5.0,596853.168,98.115,-1.0,rates,1.0,9.0,1.0,8.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,2.0,5.0,1.0,-1,-1,-1,1.0,-1,-1,-1,-1,-1,1,-60.8258005606,304.129002803,304.129002803,304.129002803,304.129002803,-304.129002803,304.129002803,-304.129002803,304.129002803,-304.129002803,304.129002803,304.129002803,304.129002803,304.129002803,-304.129002803,304.129002803,304.129002803,-304.129002803
