Date,Symbol1,Symbol2,Confidence,Pv,Hurst
1458824735.0,bitbayPLN,AUDJPY,54.0,0.46119871292,-1.0
1458824737.0,bitbayPLN,AUDUSD,40.0,0.603749329618,-1.0
1458824740.0,bitbayPLN,CADJPY,40.0,0.60973683459,-1.0
1458824742.0,bitbayPLN,CHFJPY,55.0,0.458375318414,-1.0
1458824745.0,bitbayPLN,EURCHF,34.0,0.660556076102,-1.0
1458824747.0,bitbayPLN,EURGBP,55.0,0.459106904665,-1.0
1458824750.0,bitbayPLN,EURJPY,62.0,0.380392477757,-1.0
1458824752.0,bitbayPLN,EURUSD,32.0,0.682643294781,-1.0
1458824755.0,bitbayPLN,GBPJPY,86.0,0.144712194286,-1.0
1458824757.0,bitbayPLN,GBPUSD,92.0,0.0896040641118,-1.0
1458824760.0,bitbayPLN,NZDJPY,40.0,0.606133380737,-1.0
1458824762.0,bitbayPLN,NZDUSD,52.0,0.48072917263,-1.0
1458824765.0,bitbayPLN,USDCAD,68.0,0.32044112105,-1.0
1458824767.0,bitbayPLN,USDCHF,26.0,0.740049168047,-1.0
1458824770.0,bitbayPLN,USDJPY,48.0,0.528492189841,-1.0
1458824811.0,bitcurexEUR,btcnCNY,25.0,0.754710360097,-1.0
1458824819.0,bitcurexEUR,AUDJPY,99.0,0.0138567854913,0.638548801785
1458824822.0,bitcurexEUR,AUDUSD,96.0,0.0463358808511,0.575700121262
1458824824.0,bitcurexEUR,CADJPY,99.0,0.0136269948235,0.71328105595
1458824827.0,bitcurexEUR,CHFJPY,99.0,0.0100684459034,0.692341933766
1458824829.0,bitcurexEUR,EURCHF,74.0,0.267970156466,-1.0
1458824832.0,bitcurexEUR,EURGBP,100.0,0.000720983703943,0.686847537883
1458824834.0,bitcurexEUR,EURJPY,97.0,0.0388788002698,0.682333342436
1458824837.0,bitcurexEUR,EURUSD,90.0,0.10104562945,-1.0
1458824839.0,bitcurexEUR,GBPJPY,80.0,0.206106050594,-1.0
1458824841.0,bitcurexEUR,GBPUSD,100.0,0.000678348747307,0.746640200521
1458824844.0,bitcurexEUR,NZDJPY,61.0,0.391416093583,-1.0
1458824846.0,bitcurexEUR,NZDUSD,36.0,0.641233332179,-1.0
1458824849.0,bitcurexEUR,USDCAD,100.0,0.006298333886,0.85929887693
1458824851.0,bitcurexEUR,USDCHF,88.0,0.123587463023,-1.0
1458824854.0,bitcurexEUR,USDJPY,28.0,0.72010347915,-1.0
1458824907.0,bitfinexUSD,AUDJPY,20.0,0.804567452082,-1.0
1458824909.0,bitfinexUSD,AUDUSD,96.0,0.0457919184984,0.415475366189
1458824912.0,bitfinexUSD,CADJPY,13.0,0.876978648068,-1.0
1458824914.0,bitfinexUSD,CHFJPY,19.0,0.813575875818,-1.0
1458824917.0,bitfinexUSD,EURCHF,82.0,0.182390559151,-1.0
1458824919.0,bitfinexUSD,EURGBP,91.0,0.0940067249204,-1.0
1458824922.0,bitfinexUSD,EURJPY,9.0,0.917099545519,-1.0
1458824924.0,bitfinexUSD,EURUSD,85.0,0.152041329516,-1.0
1458824926.0,bitfinexUSD,GBPJPY,98.0,0.0212124182396,0.407849344455
1458824929.0,bitfinexUSD,GBPUSD,99.0,0.0152400839571,0.301583598119
1458824931.0,bitfinexUSD,NZDJPY,59.0,0.419645092072,-1.0
