rowname,Type,Unnamed: 0,Unnamed: 0.1,abs_slippage,c2price,c2timestamp,csiPrice,csitimestamp,delta,slippage,symbol,timedelta
2016-10-02 18:20:14 ctwo:299.6 csi:299.6 @SMZ6,Close,0,,0.0,299.6,2016-10-02 18:20:14,299.6,2016-09-30 20:00:00,1.93071759259,0.0,@SMZ6,1 days 22:20:14.000000000
2016-10-02 18:00:35 ctwo:1.1277 csi:1.1277 @EUZ6,Close,1,,0.0,1.1277,2016-10-02 18:00:35,1.1277,2016-09-30 20:00:00,1.91707175926,0.0,@EUZ6,1 days 22:00:35.000000000
2016-10-02 18:00:35 ctwo:0.7264 csi:0.7264 @NEZ6,Close,2,,0.0,0.7264,2016-10-02 18:00:35,0.7264,2016-09-30 20:00:00,1.91707175926,0.0,@NEZ6,1 days 22:00:35.000000000
2016-10-02 18:00:22 ctwo:4870.0 csi:4870.25 @NQZ6,Close,3,,5.13320671423e-05,4870.0,2016-10-02 18:00:22,4870.25,2016-09-30 20:00:00,1.9169212963,-5.13320671423e-05,@NQZ6,1 days 22:00:22.000000000
2016-10-02 18:00:52 ctwo:0.7629 csi:0.76285 @CDZ6,Open,4,,6.5543684866e-05,0.7629,2016-10-02 18:00:52,0.76285,2016-09-30 20:00:00,1.91726851852,6.5543684866e-05,@CDZ6,1 days 22:00:52.000000000
2016-10-03 02:01:53 ctwo:132.1 csi:132.09 BLZ6,Open,5,,7.57059580588e-05,132.1,2016-10-03 02:01:53,132.09,2016-09-30 20:00:00,2.25130787037,7.57059580588e-05,BLZ6,2 days 06:01:53.000000000
2016-10-02 18:00:23 ctwo:109.21875 csi:109.234375 @TUZ6,Close,6,,0.000143041052782,109.21875,2016-10-02 18:00:23,109.234375,2016-09-30 20:00:00,1.91693287037,-0.000143041052782,@TUZ6,1 days 22:00:23.000000000
2016-10-02 19:30:17 ctwo:152.27 csi:152.32 BBZ6,Open,7,,0.000328256302521,152.27,2016-10-02 19:30:17,152.32,2016-09-30 20:00:00,1.97936342593,-0.000328256302521,BBZ6,1 days 23:30:17.000000000
2016-10-02 19:30:04 ctwo:152.27 csi:152.32 BBZ6,Close,8,,0.000328256302521,152.27,2016-10-02 19:30:04,152.32,2016-09-30 20:00:00,1.97921296296,-0.000328256302521,BBZ6,1 days 23:30:04.000000000
2016-10-02 18:01:02 ctwo:18213.0 csi:18219.0 @YMZ6,Open,9,,0.000329326527252,18213.0,2016-10-02 18:01:02,18219.0,2016-09-30 20:00:00,1.91738425926,-0.000329326527252,@YMZ6,1 days 22:01:02.000000000
2016-10-02 18:00:50 ctwo:18213.0 csi:18219.0 @YMZ6,Close,10,,0.000329326527252,18213.0,2016-10-02 18:00:50,18219.0,2016-09-30 20:00:00,1.91724537037,-0.000329326527252,@YMZ6,1 days 22:00:50.000000000
2016-10-02 18:01:02 ctwo:2159.75 csi:2160.5 @ESZ6,Open,11,,0.000347141865309,2159.75,2016-10-02 18:01:02,2160.5,2016-09-30 20:00:00,1.91738425926,-0.000347141865309,@ESZ6,1 days 22:01:02.000000000
2016-10-02 18:00:49 ctwo:2159.75 csi:2160.5 @ESZ6,Close,12,,0.000347141865309,2159.75,2016-10-02 18:00:49,2160.5,2016-09-30 20:00:00,1.9172337963,-0.000347141865309,@ESZ6,1 days 22:00:49.000000000
2016-10-02 18:30:01 ctwo:98.5 csi:98.55 HTSZ6,Close,13,,0.00050735667174,98.5,2016-10-02 18:30:01,98.55,2016-09-30 20:00:00,1.93751157407,-0.00050735667174,HTSZ6,1 days 22:30:01.000000000
2016-10-02 18:30:12 ctwo:98.5 csi:98.55 HTSZ6,Open,14,,0.00050735667174,98.5,2016-10-02 18:30:12,98.55,2016-09-30 20:00:00,1.93763888889,-0.00050735667174,HTSZ6,1 days 22:30:12.000000000
2016-10-02 18:00:34 ctwo:0.0511 csi:0.05113 @PXZ6,Close,15,,0.000586739683161,0.0511,2016-10-02 18:00:34,0.05113,2016-09-30 20:00:00,1.91706018519,-0.000586739683161,@PXZ6,1 days 22:00:34.000000000
2016-10-02 18:00:45 ctwo:0.0511 csi:0.05113 @PXZ6,Open,16,,0.000586739683161,0.0511,2016-10-02 18:00:45,0.05113,2016-09-30 20:00:00,1.9171875,-0.000586739683161,@PXZ6,1 days 22:00:45.000000000
2016-10-02 18:00:26 ctwo:131.203125 csi:131.125 @TYZ6,Close,17,,0.000595805529075,131.203125,2016-10-02 18:00:26,131.125,2016-09-30 20:00:00,1.91696759259,0.000595805529075,@TYZ6,1 days 22:00:26.000000000
2016-10-02 18:00:23 ctwo:0.7623625 csi:0.76285 @CDZ6,Close,18,,0.000639050927443,0.7623625,2016-10-02 18:00:23,0.76285,2016-09-30 20:00:00,1.91693287037,-0.000639050927443,@CDZ6,1 days 22:00:23.000000000
2016-10-02 21:00:07 ctwo:463.9 csi:463.6 @RSX6,Close,19,,0.000647109577222,463.9,2016-10-02 21:00:07,463.6,2016-09-30 20:00:00,2.04174768519,0.000647109577222,@RSX6,2 days 01:00:07.000000000
2016-10-02 21:00:27 ctwo:463.9 csi:463.6 @RSX6,Open,20,,0.000647109577222,463.9,2016-10-02 21:00:27,463.6,2016-09-30 20:00:00,2.04197916667,0.000647109577222,@RSX6,2 days 01:00:27.000000000
2016-10-02 18:00:23 ctwo:0.009898 csi:0.0098905 @JYZ6,Close,21,,0.000758303422476,0.009898,2016-10-02 18:00:23,0.0098905,2016-09-30 20:00:00,1.91693287037,0.000758303422476,@JYZ6,1 days 22:00:23.000000000
2016-10-02 20:00:14 ctwo:95.5 csi:95.385 @DXZ6,Close,22,,0.00120564029984,95.5,2016-10-02 20:00:14,95.385,2016-09-30 20:00:00,2.00016203704,0.00120564029984,@DXZ6,2 days 00:00:14.000000000
