symbol,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol_description,trade_id,underlying
GBPUSD,0,,,,1.42971,,forex,short,,,open,2016-03-11 06:12:11,1.42974,10000,,0,5,,,101174598,
AUDUSD,42,1457682181,,,0.74916,,forex,long,2016-03-11 02:43:01,1457682181,open,2016-03-11 02:42:58,0.74917,10000,,0,5,,,101171912,
EURUSD,-254,1457683993,,,1.11354,,forex,long,2016-03-11 03:13:13,1457683993,open,2016-03-11 03:13:10,1.11354,10000,,0,5,,,101172351,
USDCAD,-35,1457689395,,,1.32436,,forex,long,2016-03-11 04:43:15,1457689395,open,2016-03-11 04:13:01,1.32534,10000,,0,5,,,101173057,
USDCHF,-39,1457685760,,,0.98756,,forex,short,2016-03-11 03:42:40,1457685760,open,2016-03-11 03:42:38,0.98758,10000,,0,5,,,101172729,
USDJPY,-295,1457646221,,,113.12900,,forex,short,2016-03-10 16:43:41,1457646221,open,2016-03-10 16:43:39,113.12900,10000,,0,5,,,101161091,
