rowname,c2timestamp,c2price,csitimestamp,csiPrice,slippage,abs_slippage,Type,timedelta,delta,symbol
2016-10-07 02:20:29 ctwo:8765.7 csi:8765.7 IBV6,10/7/2016 2:20,8765.7,10/6/2016 20:00,8765.7,0,0,Close,0 days 06:20:29.000000000,0.264224537,IBV6
2016-10-07 02:01:17 ctwo:131.75 csi:131.75 BLZ6,10/7/2016 2:01,131.75,10/6/2016 20:00,131.75,0,0,Open,0 days 06:01:17.000000000,0.250891204,BLZ6
2016-10-06 22:09:07 ctwo:0.0515 csi:0.0515 @PXZ6,10/6/2016 22:09,0.0515,10/6/2016 20:00,0.0515,0,0,Open,0 days 02:09:07.000000000,0.089664352,@PXZ6
2016-10-06 22:09:12 ctwo:152.02 csi:152.01 BBZ6,10/6/2016 22:09,152.02,10/6/2016 20:00,152.01,6.58E-05,6.58E-05,Open,0 days 02:09:12.000000000,0.089722222,BBZ6
2016-10-06 22:09:15 ctwo:109.039063 csi:109.03125 @TUZ6,10/6/2016 22:09,109.039063,10/6/2016 20:00,109.03125,7.17E-05,7.17E-05,Close,0 days 02:09:15.000000000,0.089756944,@TUZ6
2016-10-06 22:09:12 ctwo:8738.5 csi:8740.5 INV6,10/6/2016 22:09,8738.5,10/6/2016 20:00,8740.5,-0.00022882,0.00022882,Open,0 days 02:09:12.000000000,0.089722222,INV6
2016-10-07 04:15:08 ctwo:146.35 csi:146.4 @KCZ6,10/7/2016 4:15,146.35,10/6/2016 20:00,146.4,-0.00034153,0.00034153,Close,0 days 08:15:08.000000000,0.343842593,@KCZ6
2016-10-06 22:09:01 ctwo:120.85938 csi:120.8046875 @FVZ6,10/6/2016 22:09,120.85938,10/6/2016 20:00,120.8046875,0.000452735,0.000452735,Open,0 days 02:09:01.000000000,0.089594907,@FVZ6
2016-10-06 22:08:55 ctwo:1.11665 csi:1.11725 @EUZ6,10/6/2016 22:08,1.11665,10/6/2016 20:00,1.11725,-0.000537033,0.000537033,Open,0 days 02:08:55.000000000,0.089525463,@EUZ6
2016-10-07 02:00:13 ctwo:454.9 csi:454.65 AEXV6,10/7/2016 2:00,454.9,10/6/2016 20:00,454.65,0.000549874,0.000549874,Close,0 days 06:00:13.000000000,0.250150463,AEXV6
2016-10-06 22:09:15 ctwo:130.0625 csi:129.953125 @TYZ6,10/6/2016 22:09,130.0625,10/6/2016 20:00,129.953125,0.00084165,0.00084165,Open,0 days 02:09:15.000000000,0.089756944,@TYZ6
2016-10-06 22:09:13 ctwo:346.1 csi:346.4 TWV6,10/6/2016 22:09,346.1,10/6/2016 20:00,346.4,-0.000866051,0.000866051,Close,0 days 02:09:13.000000000,0.089733796,TWV6
2016-10-06 22:09:14 ctwo:346.1 csi:346.4 TWV6,10/6/2016 22:09,346.1,10/6/2016 20:00,346.4,-0.000866051,0.000866051,Open,0 days 02:09:14.000000000,0.08974537,TWV6
2016-10-06 22:09:09 ctwo:666.75 csi:666.15 QPAZ6,10/6/2016 22:09,666.75,10/6/2016 20:00,666.15,0.000900698,0.000900698,Open,0 days 02:09:09.000000000,0.0896875,QPAZ6
2016-10-07 02:00:11 ctwo:3016.0 csi:3019.0 EXZ6,10/7/2016 2:00,3016,10/6/2016 20:00,3019,-0.000993707,0.000993707,Open,0 days 06:00:11.000000000,0.250127315,EXZ6
2016-10-07 02:00:12 ctwo:4480.5 csi:4476.0 MTV6,10/7/2016 2:00,4480.5,10/6/2016 20:00,4476,0.001005362,0.001005362,Close,0 days 06:00:12.000000000,0.250138889,MTV6
2016-10-06 22:08:52 ctwo:0.7574 csi:0.7565 @ADZ6,10/6/2016 22:08,0.7574,10/6/2016 20:00,0.7565,0.001189689,0.001189689,Close,0 days 02:08:52.000000000,0.089490741,@ADZ6
2016-10-06 22:08:56 ctwo:96.89 csi:96.772 @DXZ6,10/6/2016 22:08,96.89,10/6/2016 20:00,96.772,0.001219361,0.001219361,Open,0 days 02:08:56.000000000,0.089537037,@DXZ6
2016-10-06 22:09:10 ctwo:467.4 csi:468.0 @RSX6,10/6/2016 22:09,467.4,10/6/2016 20:00,468,-0.001282051,0.001282051,Open,0 days 02:09:10.000000000,0.089699074,@RSX6
2016-10-06 22:09:09 ctwo:467.4 csi:468.0 @RSX6,10/6/2016 22:09,467.4,10/6/2016 20:00,468,-0.001282051,0.001282051,Close,0 days 02:09:09.000000000,0.0896875,@RSX6
2016-10-07 03:30:07 ctwo:23.07 csi:23.11 @SBH7,10/7/2016 3:30,23.07,10/6/2016 20:00,23.11,-0.001730852,0.001730852,Open,0 days 07:30:07.000000000,0.312581019,@SBH7
2016-10-06 22:09:09 ctwo:667.45 csi:666.15 QPAZ6,10/6/2016 22:09,667.45,10/6/2016 20:00,666.15,0.001951512,0.001951512,Close,0 days 02:09:09.000000000,0.0896875,QPAZ6
2016-10-06 22:09:07 ctwo:4862.25 csi:4872.0 @NQZ6,10/6/2016 22:09,4862.25,10/6/2016 20:00,4872,-0.002001232,0.002001232,Open,0 days 02:09:07.000000000,0.089664352,@NQZ6
2016-10-06 22:09:15 ctwo:165.40625 csi:165.0625 @USZ6,10/6/2016 22:09,165.40625,10/6/2016 20:00,165.0625,0.002082544,0.002082544,Open,0 days 02:09:15.000000000,0.089756944,@USZ6
2016-10-06 22:08:57 ctwo:2152.0 csi:2156.5 @ESZ6,10/6/2016 22:08,2152,10/6/2016 20:00,2156.5,-0.002086715,0.002086715,Close,0 days 02:08:57.000000000,0.089548611,@ESZ6
2016-10-06 22:08:58 ctwo:2152.0 csi:2156.5 @ESZ6,10/6/2016 22:08,2152,10/6/2016 20:00,2156.5,-0.002086715,0.002086715,Open,0 days 02:08:58.000000000,0.089560185,@ESZ6
2016-10-06 22:09:12 ctwo:8722.04166667 csi:8740.5 INV6,10/6/2016 22:09,8722.041667,10/6/2016 20:00,8740.5,-0.002111817,0.002111817,Close,0 days 02:09:12.000000000,0.089722222,INV6
2016-10-07 02:00:54 ctwo:10556.0 csi:10584.0 DXMZ6,10/7/2016 2:00,10556,10/6/2016 20:00,10584,-0.002645503,0.002645503,Close,0 days 06:00:54.000000000,0.250625,DXMZ6
2016-10-07 02:01:07 ctwo:10556.0 csi:10584.0 DXMZ6,10/7/2016 2:01,10556,10/6/2016 20:00,10584,-0.002645503,0.002645503,Open,0 days 06:01:07.000000000,0.250775463,DXMZ6
2016-10-06 22:09:17 ctwo:5451.0 csi:5467.0 APZ6,10/6/2016 22:09,5451,10/6/2016 20:00,5467,-0.002926651,0.002926651,Open,0 days 02:09:17.000000000,0.089780093,APZ6
2016-10-06 22:09:16 ctwo:5451.0 csi:5467.0 APZ6,10/6/2016 22:09,5451,10/6/2016 20:00,5467,-0.002926651,0.002926651,Close,0 days 02:09:16.000000000,0.089768519,APZ6
2016-10-06 22:09:04 ctwo:406.25 csi:405.0 @KWZ6,10/6/2016 22:09,406.25,10/6/2016 20:00,405,0.00308642,0.00308642,Open,0 days 02:09:04.000000000,0.08962963,@KWZ6
2016-10-06 22:09:10 ctwo:961.5 csi:958.5 @SX6,10/6/2016 22:09,961.5,10/6/2016 20:00,958.5,0.00312989,0.00312989,Close,0 days 02:09:10.000000000,0.089699074,@SX6
2016-10-06 22:09:11 ctwo:961.5 csi:958.5 @SX6,10/6/2016 22:09,961.5,10/6/2016 20:00,958.5,0.00312989,0.00312989,Open,0 days 02:09:11.000000000,0.089710648,@SX6
2016-10-06 22:09:07 ctwo:16890.0 csi:16945.0 @NKDZ6,10/6/2016 22:09,16890,10/6/2016 20:00,16945,-0.003245795,0.003245795,Open,0 days 02:09:07.000000000,0.089664352,@NKDZ6
2016-10-07 04:20:46 ctwo:2797.0 csi:2787.0 @CCZ6,10/7/2016 4:20,2797,10/6/2016 20:00,2787,0.003588088,0.003588088,Close,0 days 08:20:46.000000000,0.34775463,@CCZ6
2016-10-06 22:09:03 ctwo:406.5 csi:405.0 @KWZ6,10/6/2016 22:09,406.5,10/6/2016 20:00,405,0.003703704,0.003703704,Close,0 days 02:09:03.000000000,0.089618056,@KWZ6
2016-10-07 08:00:10 ctwo:198.9 csi:199.65 @OJX6,10/7/2016 8:00,198.9,10/6/2016 20:00,199.65,-0.003756574,0.003756574,Open,0 days 12:00:10.000000000,0.500115741,@OJX6
2016-10-06 22:09:16 ctwo:397.25 csi:395.75 @WZ6,10/6/2016 22:09,397.25,10/6/2016 20:00,395.75,0.003790272,0.003790272,Open,0 days 02:09:16.000000000,0.089768519,@WZ6
2016-10-06 22:09:02 ctwo:23833.0 csi:23925.0 HSIV6,10/6/2016 22:09,23833,10/6/2016 20:00,23925,-0.00384535,0.00384535,Open,0 days 02:09:02.000000000,0.089606481,HSIV6
2016-10-06 22:08:54 ctwo:33.44 csi:33.3 @BOZ6,10/6/2016 22:08,33.44,10/6/2016 20:00,33.3,0.004204204,0.004204204,Open,0 days 02:08:54.000000000,0.089513889,@BOZ6
2016-10-06 22:08:53 ctwo:33.44 csi:33.3 @BOZ6,10/6/2016 22:08,33.44,10/6/2016 20:00,33.3,0.004204204,0.004204204,Close,0 days 02:08:53.000000000,0.089502315,@BOZ6
2016-10-06 22:09:02 ctwo:9910.0 csi:9952.0 HHIV6,10/6/2016 22:09,9910,10/6/2016 20:00,9952,-0.004220257,0.004220257,Open,0 days 02:09:02.000000000,0.089606481,HHIV6
2016-10-06 22:08:54 ctwo:342.0 csi:340.5 @CZ6,10/6/2016 22:08,342,10/6/2016 20:00,340.5,0.004405286,0.004405286,Open,0 days 02:08:54.000000000,0.089513889,@CZ6
2016-10-07 03:00:11 ctwo:7008.0 csi:6977.0 LFZ6,10/7/2016 3:00,7008,10/6/2016 20:00,6977,0.00444317,0.00444317,Close,0 days 07:00:11.000000000,0.291793981,LFZ6
2016-10-06 22:08:55 ctwo:6781.0 csi:6750.0 @CTZ6,10/6/2016 22:08,6781,10/6/2016 20:00,6750,0.004592593,0.004592593,Open,0 days 02:08:55.000000000,0.089525463,@CTZ6
2016-10-06 22:09:06 ctwo:916.9 csi:921.3 @MMEZ6,10/6/2016 22:09,916.9,10/6/2016 20:00,921.3,-0.00477586,0.00477586,Open,0 days 02:09:06.000000000,0.089652778,@MMEZ6
2016-10-06 22:09:13 ctwo:316.05 csi:317.7 SSV6,10/6/2016 22:09,316.05,10/6/2016 20:00,317.7,-0.005193579,0.005193579,Open,0 days 02:09:13.000000000,0.089733796,SSV6
2016-10-07 03:00:01 ctwo:128.13 csi:128.93 LGZ6,10/7/2016 3:00,128.13,10/6/2016 20:00,128.93,-0.006204917,0.006204917,Open,0 days 07:00:01.000000000,0.291678241,LGZ6
2016-10-07 09:30:46 ctwo:122.0 csi:122.775 @GFX6,10/7/2016 9:30,122,10/6/2016 20:00,122.775,-0.00631236,0.00631236,Open,0 days 13:30:46.000000000,0.563032407,@GFX6
2016-10-07 09:30:35 ctwo:43.6 csi:43.175 @HEZ6,10/7/2016 9:30,43.6,10/6/2016 20:00,43.175,0.00984366,0.00984366,Close,0 days 13:30:35.000000000,0.562905093,@HEZ6
2016-10-07 09:31:03 ctwo:43.6 csi:43.175 @HEZ6,10/7/2016 9:31,43.6,10/6/2016 20:00,43.175,0.00984366,0.00984366,Open,0 days 13:31:03.000000000,0.563229167,@HEZ6
2016-10-06 22:09:08 ctwo:190.0 csi:187.75 @OZ6,10/6/2016 22:09,190,10/6/2016 20:00,187.75,0.011984021,0.011984021,Open,0 days 02:09:08.000000000,0.089675926,@OZ6
