rowname,c2timestamp,c2price,csitimestamp,csiPrice,slippage,abs_slippage,Type,timedelta,delta,symbol
2016-10-04 02:01:18 ctwo:165.4 csi:165.4 BDZ6,10/4/2016 2:01,165.4,10/3/2016 20:00,165.4,0,0,Close,0 days 06:01:18.000000000,0.250902778,BDZ6
2016-10-03 22:49:06 ctwo:9686.0 csi:9686.0 HHIV6,10/3/2016 22:49,9686,10/3/2016 20:00,9686,0,0,Open,0 days 02:49:06.000000000,0.117430556,HHIV6
2016-10-03 22:49:13 ctwo:183.0 csi:183.0 @OZ6,10/3/2016 22:49,183,10/3/2016 20:00,183,0,0,Open,0 days 02:49:13.000000000,0.117511574,@OZ6
2016-10-04 02:01:39 ctwo:132.08 csi:132.05 BLZ6,10/4/2016 2:01,132.08,10/3/2016 20:00,132.05,0.000227187,0.000227187,Close,0 days 06:01:39.000000000,0.251145833,BLZ6
2016-10-04 02:01:55 ctwo:132.08 csi:132.05 BLZ6,10/4/2016 2:01,132.08,10/3/2016 20:00,132.05,0.000227187,0.000227187,Open,0 days 06:01:55.000000000,0.251331019,BLZ6
2016-10-03 22:49:03 ctwo:6854.0 csi:6852.0 @CTZ6,10/3/2016 22:49,6854,10/3/2016 20:00,6852,0.000291886,0.000291886,Open,0 days 02:49:03.000000000,0.117395833,@CTZ6
2016-10-03 22:49:02 ctwo:6854.0 csi:6852.0 @CTZ6,10/3/2016 22:49,6854,10/3/2016 20:00,6852,0.000291886,0.000291886,Close,0 days 02:49:02.000000000,0.117384259,@CTZ6
2016-10-03 22:49:17 ctwo:97.955 csi:98.01 HXSZ6,10/3/2016 22:49,97.955,10/3/2016 20:00,98.01,-0.000561167,0.000561167,Close,0 days 02:49:17.000000000,0.11755787,HXSZ6
2016-10-04 03:00:01 ctwo:6950.0 csi:6946.0 LFZ6,10/4/2016 3:00,6950,10/3/2016 20:00,6946,0.000575871,0.000575871,Open,0 days 07:00:01.000000000,0.291678241,LFZ6
2016-10-03 22:49:15 ctwo:130.875 csi:130.953125 @TYZ6,10/3/2016 22:49,130.875,10/3/2016 20:00,130.953125,-0.000596588,0.000596588,Open,0 days 02:49:15.000000000,0.117534722,@TYZ6
2016-10-03 22:49:17 ctwo:98.46 csi:98.52 HTSZ6,10/3/2016 22:49,98.46,10/3/2016 20:00,98.52,-0.000609013,0.000609013,Close,0 days 02:49:17.000000000,0.11755787,HTSZ6
2016-10-03 22:49:14 ctwo:465.6 csi:465.9 @RSX6,10/3/2016 22:49,465.6,10/3/2016 20:00,465.9,-0.000643915,0.000643915,Close,0 days 02:49:14.000000000,0.117523148,@RSX6
2016-10-03 22:49:12 ctwo:4869.25 csi:4865.75 @NQZ6,10/3/2016 22:49,4869.25,10/3/2016 20:00,4865.75,0.000719314,0.000719314,Open,0 days 02:49:12.000000000,0.1175,@NQZ6
2016-10-03 22:49:01 ctwo:345.75 csi:346.0 @CZ6,10/3/2016 22:49,345.75,10/3/2016 20:00,346,-0.000722543,0.000722543,Close,0 days 02:49:01.000000000,0.117372685,@CZ6
2016-10-03 22:49:16 ctwo:18170.0 csi:18156.0 @YMZ6,10/3/2016 22:49,18170,10/3/2016 20:00,18156,0.000771095,0.000771095,Close,0 days 02:49:16.000000000,0.117546296,@YMZ6
2016-10-03 22:49:05 ctwo:1539.7 csi:1538.3 @EMDZ6,10/3/2016 22:49,1539.7,10/3/2016 20:00,1538.3,0.000910096,0.000910096,Open,0 days 02:49:05.000000000,0.117418981,@EMDZ6
2016-10-03 22:49:06 ctwo:1311.4 csi:1312.7 QGCZ6,10/3/2016 22:49,1311.4,10/3/2016 20:00,1312.7,-0.000990325,0.000990325,Open,0 days 02:49:06.000000000,0.117430556,QGCZ6
2016-10-03 22:49:16 ctwo:5458.0 csi:5464.0 APZ6,10/3/2016 22:49,5458,10/3/2016 20:00,5464,-0.001098097,0.001098097,Open,0 days 02:49:16.000000000,0.117546296,APZ6
2016-10-03 22:49:11 ctwo:0.05138 csi:0.05132 @PXZ6,10/3/2016 22:49,0.05138,10/3/2016 20:00,0.05132,0.001169135,0.001169135,Close,0 days 02:49:11.000000000,0.117488426,@PXZ6
2016-10-03 22:49:01 ctwo:0.76205 csi:0.763 @CDZ6,10/3/2016 22:49,0.76205,10/3/2016 20:00,0.763,-0.001245085,0.001245085,Close,0 days 02:49:01.000000000,0.117372685,@CDZ6
2016-10-03 22:49:16 ctwo:395.0 csi:395.5 @WZ6,10/3/2016 22:49,395,10/3/2016 20:00,395.5,-0.001264223,0.001264223,Open,0 days 02:49:16.000000000,0.117546296,@WZ6
2016-10-03 22:49:00 ctwo:33.19 csi:33.24 @BOZ6,10/3/2016 22:49,33.19,10/3/2016 20:00,33.24,-0.001504212,0.001504212,Close,0 days 02:49:00.000000000,0.117361111,@BOZ6
2016-10-03 22:49:03 ctwo:1.12365 csi:1.1255 @EUZ6,10/3/2016 22:49,1.12365,10/3/2016 20:00,1.1255,-0.001643714,0.001643714,Open,0 days 02:49:03.000000000,0.117395833,@EUZ6
2016-10-03 22:49:00 ctwo:33.18 csi:33.24 @BOZ6,10/3/2016 22:49,33.18,10/3/2016 20:00,33.24,-0.001805054,0.001805054,Open,0 days 02:49:00.000000000,0.117361111,@BOZ6
2016-10-04 02:00:18 ctwo:4457.5 csi:4448.5 MTV6,10/4/2016 2:00,4457.5,10/3/2016 20:00,4448.5,0.002023154,0.002023154,Open,0 days 06:00:18.000000000,0.250208333,MTV6
2016-10-04 03:45:05 ctwo:589.5 csi:588.3 QWZ6,10/4/2016 3:45,589.5,10/3/2016 20:00,588.3,0.002039776,0.002039776,Open,0 days 07:45:05.000000000,0.322974537,QWZ6
2016-10-04 02:00:16 ctwo:453.7 csi:452.75 AEXV6,10/4/2016 2:00,453.7,10/3/2016 20:00,452.75,0.002098288,0.002098288,Close,0 days 06:00:16.000000000,0.250185185,AEXV6
2016-10-04 02:00:19 ctwo:8154.0 csi:8136.0 SWZ6,10/4/2016 2:00,8154,10/3/2016 20:00,8136,0.002212389,0.002212389,Open,0 days 06:00:19.000000000,0.250219907,SWZ6
2016-10-03 22:49:07 ctwo:218.7 csi:219.2 QHGZ6,10/3/2016 22:49,218.7,10/3/2016 20:00,219.2,-0.002281022,0.002281022,Close,0 days 02:49:07.000000000,0.11744213,QHGZ6
2016-10-03 22:49:04 ctwo:95.82 csi:95.587 @DXZ6,10/3/2016 22:49,95.82,10/3/2016 20:00,95.587,0.00243757,0.00243757,Open,0 days 02:49:04.000000000,0.117407407,@DXZ6
2016-10-03 22:49:01 ctwo:1.2842 csi:1.2875 @BPZ6,10/3/2016 22:49,1.2842,10/3/2016 20:00,1.2875,-0.002563107,0.002563107,Open,0 days 02:49:01.000000000,0.117372685,@BPZ6
2016-10-03 22:49:08 ctwo:1.5491 csi:1.5532 QHOX6,10/3/2016 22:49,1.5491,10/3/2016 20:00,1.5532,-0.002639712,0.002639712,Close,0 days 02:49:08.000000000,0.117453704,QHOX6
2016-10-03 22:49:07 ctwo:23521.0 csi:23584.0 HSIV6,10/3/2016 22:49,23521,10/3/2016 20:00,23584,-0.002671303,0.002671303,Close,0 days 02:49:07.000000000,0.11744213,HSIV6
2016-10-03 22:49:15 ctwo:307.5 csi:308.4 @SMZ6,10/3/2016 22:49,307.5,10/3/2016 20:00,308.4,-0.002918288,0.002918288,Open,0 days 02:49:15.000000000,0.117534722,@SMZ6
2016-10-04 03:30:04 ctwo:22.6 csi:22.67 @SBH7,10/4/2016 3:30,22.6,10/3/2016 20:00,22.67,-0.003087781,0.003087781,Open,0 days 07:30:04.000000000,0.312546296,@SBH7
2016-10-03 22:49:10 ctwo:914.8 csi:917.9 @MMEZ6,10/3/2016 22:49,914.8,10/3/2016 20:00,917.9,-0.003377274,0.003377274,Open,0 days 02:49:10.000000000,0.117476852,@MMEZ6
