rowname,c2timestamp,c2price,csitimestamp,csiPrice,slippage,abs_slippage,Type,timedelta,delta
2016-10-09 18:00:43 ctwo:2152.5 csi:2146.5 @ESZ6,2016-10-09 18:00:43,2152.5,2016-10-07 20:00:00,2146.5,0.00279524807827,0.00279524807827,Open,1 days 22:00:43.000000000,1.91716435185
2016-10-10 04:20:27 ctwo:2777.0 csi:2785.0 @CCZ6,2016-10-10 04:20:27,2777.0,2016-10-07 20:00:00,2785.0,-0.00287253141831,0.00287253141831,Open,2 days 08:20:27.000000000,2.34753472222
2016-10-09 20:00:24 ctwo:404.25 csi:403.0 @KWZ6,2016-10-09 20:00:24,404.25,2016-10-07 20:00:00,403.0,0.0031017369727,0.0031017369727,Open,2 days 00:00:24.000000000,2.00027777778
2016-10-09 20:00:21 ctwo:404.25 csi:403.0 @KWZ6,2016-10-09 20:00:21,404.25,2016-10-07 20:00:00,403.0,0.0031017369727,0.0031017369727,Close,2 days 00:00:21.000000000,2.00024305556
2016-10-09 20:45:04 ctwo:348.2 csi:346.9 TWV6,2016-10-09 20:45:04,348.2,2016-10-07 20:00:00,346.9,0.00374747765927,0.00374747765927,Close,2 days 00:45:04.000000000,2.0312962963
2016-10-09 20:45:16 ctwo:348.2 csi:346.9 TWV6,2016-10-09 20:45:16,348.2,2016-10-07 20:00:00,346.9,0.00374747765927,0.00374747765927,Open,2 days 00:45:16.000000000,2.03143518519
2016-10-09 20:00:31 ctwo:396.25 csi:394.75 @WZ6,2016-10-09 20:00:31,396.25,2016-10-07 20:00:00,394.75,0.00379987333756,0.00379987333756,Open,2 days 00:00:31.000000000,2.0003587963
2016-10-09 20:00:09 ctwo:396.25 csi:394.75 @WZ6,2016-10-09 20:00:09,396.25,2016-10-07 20:00:00,394.75,0.00379987333756,0.00379987333756,Close,2 days 00:00:09.000000000,2.00010416667
2016-10-09 19:16:15 ctwo:920.9 csi:916.8 @MMEZ6,2016-10-09 19:16:15,920.9,2016-10-07 20:00:00,916.8,0.00447207678883,0.00447207678883,Open,1 days 23:16:15.000000000,1.96961805556
2016-10-09 19:16:01 ctwo:920.9 csi:916.8 @MMEZ6,2016-10-09 19:16:01,920.9,2016-10-07 20:00:00,916.8,0.00447207678883,0.00447207678883,Close,1 days 23:16:01.000000000,1.96945601852
2016-10-09 21:00:14 ctwo:8754.5 csi:8714.0 INV6,2016-10-09 21:00:14,8754.5,2016-10-07 20:00:00,8714.0,0.004647693367,0.004647693367,Close,2 days 01:00:14.000000000,2.0418287037
2016-10-09 21:00:24 ctwo:8754.5 csi:8714.0 INV6,2016-10-09 21:00:24,8754.5,2016-10-07 20:00:00,8714.0,0.004647693367,0.004647693367,Open,2 days 01:00:24.000000000,2.04194444444
2016-10-10 03:45:01 ctwo:594.5 csi:598.7 QWZ6,2016-10-10 03:45:01,594.5,2016-10-07 20:00:00,598.7,-0.00701519959913,0.00701519959913,Open,2 days 07:45:01.000000000,2.32292824074
2016-10-10 09:30:18 ctwo:42.95 csi:42.6 @HEZ6,2016-10-10 09:30:18,42.95,2016-10-07 20:00:00,42.6,0.00821596244131,0.00821596244131,Close,2 days 13:30:18.000000000,2.56270833333
2016-10-10 09:31:30 ctwo:42.95 csi:42.6 @HEZ6,2016-10-10 09:31:30,42.95,2016-10-07 20:00:00,42.6,0.00821596244131,0.00821596244131,Open,2 days 13:31:30.000000000,2.56354166667
2016-10-10 03:30:23 ctwo:23.22 csi:23.42 @SBH7,2016-10-10 03:30:23,23.22,2016-10-07 20:00:00,23.42,-0.00853970964987,0.00853970964987,Open,2 days 07:30:23.000000000,2.3127662037
2016-10-10 03:30:13 ctwo:23.22 csi:23.42 @SBH7,2016-10-10 03:30:13,23.22,2016-10-07 20:00:00,23.42,-0.00853970964987,0.00853970964987,Close,2 days 07:30:13.000000000,2.31265046296
2016-10-09 18:00:23 ctwo:465.0 csi:469.5 GASZ6,2016-10-09 18:00:23,465.0,2016-10-07 20:00:00,469.5,-0.00958466453674,0.00958466453674,Close,1 days 22:00:23.000000000,1.91693287037
2016-10-09 18:00:44 ctwo:465.0 csi:469.5 GASZ6,2016-10-09 18:00:44,465.0,2016-10-07 20:00:00,469.5,-0.00958466453674,0.00958466453674,Open,1 days 22:00:44.000000000,1.91717592593
2016-10-09 20:00:53 ctwo:194.75 csi:190.75 @OZ6,2016-10-09 20:00:53,194.75,2016-10-07 20:00:00,190.75,0.0209698558322,0.0209698558322,Open,2 days 00:00:53.000000000,2.00061342593
2016-10-09 20:00:19 ctwo:194.75 csi:190.75 @OZ6,2016-10-09 20:00:19,194.75,2016-10-07 20:00:00,190.75,0.0209698558322,0.0209698558322,Close,2 days 00:00:19.000000000,2.00021990741
