symbol,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol_description,trade_id,underlying
EURCAD,-19,1463360912,,,1.46506,,forex,short,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:07:34,1.46507,10000,,0,5,,,102352295,
GBPJPY,-10,1463360912,,,156.08700,,forex,long,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:08:19,156.09500,10000,,0,5,,,102352324,
CADCHF,4,1463360912,,,0.75296,,forex,short,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:07:15,0.75299,10000,,0,5,,,102352278,
GBPAUD,-8,1463360912,,,1.97246,,forex,long,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:07:01,1.97243,10000,,0,5,,,102352265,
EURCHF,-2,1463360348,,,1.10329,,forex,short,2016-05-15 20:59:08,1463360348,open,2016-05-15 20:58:47,1.10332,10000,,0,5,,,102352041,
USDCAD,6,1463360912,,,1.29587,,forex,long,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:08:07,1.29587,10000,,0,5,,,102352311,
GBPCHF,-9,1463360912,,,1.40014,,forex,short,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:06:40,1.40017,10000,,0,5,,,102352250,
USDCHF,-4,1463360912,,,0.97577,,forex,long,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:07:53,0.97579,10000,,0,5,,,102352305,
EURJPY,3,1463360912,,,122.98100,,forex,long,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:07:41,122.97100,10000,,0,5,,,102352298,
CHFJPY,-9,1463360348,,,111.49400,,forex,long,2016-05-15 20:59:08,1463360348,open,2016-05-15 20:58:40,111.48000,10000,,0,5,,,102352039,
EURAUD,-6,1463360912,,,1.55409,,forex,long,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:07:31,1.55414,10000,,0,5,,,102352293,
EURNZD,-3,1463360912,,,1.67271,,forex,long,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:07:24,1.67284,10000,,0,5,,,102352290,
CADJPY,-16,1463360348,,,83.96100,,forex,long,2016-05-15 20:59:08,1463360348,open,2016-05-15 20:58:33,83.94800,10000,,0,5,,,102352034,
AUDUSD,-8,1463360912,,,0.72745,,forex,short,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:08:00,0.72744,10000,,0,5,,,102352308,
GBPCAD,-27,1463360912,,,1.85939,,forex,short,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:07:08,1.85929,10000,,0,5,,,102352273,
AUDCHF,-7,1463360912,,,0.70983,,forex,short,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:06:54,0.70984,10000,,0,5,,,102352260,
EURGBP,-9,1463360912,,,0.78787,,forex,short,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:08:17,0.78785,10000,,0,5,,,102352322,
USDJPY,-9,1463360348,,,108.80800,,forex,long,2016-05-15 20:59:08,1463360348,open,2016-05-15 20:58:06,108.78300,10000,,0,5,,,102352014,
AUDJPY,-6,1463360348,,,79.15100,,forex,long,2016-05-15 20:59:08,1463360348,open,2016-05-15 20:58:54,79.14500,10000,,0,5,,,102352043,
NZDCHF,-10,1463360912,,,0.65939,,forex,short,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:07:22,0.65936,10000,,0,5,,,102352288,
NZDJPY,-2,1463360912,,,73.51000,,forex,short,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:08:14,73.51300,10000,,0,5,,,102352320,
GBPUSD,-8,1463360912,,,1.43489,,forex,short,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:07:51,1.43489,10000,,0,5,,,102352303,
AUDCAD,-18,1463360912,,,0.94266,,forex,short,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:06:47,0.94258,10000,,0,5,,,102352255,
NZDCAD,-22,1463360348,,,0.87551,,forex,short,2016-05-15 20:59:08,1463360348,open,2016-05-15 20:57:38,0.87551,10000,,0,5,,,102352006,
NZDUSD,-7,1463360912,,,0.67578,,forex,short,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:08:26,0.67576,10000,,0,5,,,102352327,
AUDNZD,-2,1463360348,,,1.07656,,forex,long,2016-05-15 20:59:08,1463360348,open,2016-05-15 20:56:58,1.07643,10000,,0,5,,,102351984,
EURUSD,-6,1463360912,,,1.13058,,forex,short,2016-05-15 21:08:32,1463360912,open,2016-05-15 21:07:44,1.13060,10000,,0,5,,,102352300,
GBPNZD,-21,1463360348,,,2.12348,,forex,long,2016-05-15 20:59:08,1463360348,open,2016-05-15 20:57:18,2.12352,10000,,0,5,,,102352000,
