rowname,contract,c2timestamp,c2price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta,delta
ctwo opened: 2017-10-30 16:46:14 1 @TUZ7 $0,@TUZ7,2017-10-30 16:46:14,107.71875,2017-10-30 17:00:00,107.71875,0.0,0.0,Open,1.0,0.0,2.5,-1 days +23:46:14.000000000,-14.0
ctwo opened: 2017-10-30 16:46:15 1 @TYZ7 $15,@TYZ7,2017-10-30 16:46:15,125.0,2017-10-30 17:00:00,125.015625,-0.000124984376953,0.000124984376953,Open,1.0,15.0,2.5,-1 days +23:46:15.000000000,-14.0
ctwo opened: 2017-10-30 16:46:12 1 @ESZ7 $-25,@ESZ7,2017-10-30 16:46:12,2567.75,2017-10-30 17:00:00,2568.25,-0.000194685096856,0.000194685096856,Open,-1.0,-25.0,2.5,-1 days +23:46:12.000000000,-14.0
ctwo opened: 2017-10-30 16:46:13 1 @JYZ7 $62,@JYZ7,2017-10-30 16:46:13,0.00885,2017-10-30 17:00:00,0.008855,-0.000564652738566,0.000564652738566,Open,1.0,62.0,2.5,-1 days +23:46:13.000000000,-14.0
ctwo opened: 2017-10-30 16:46:11 1 @EMDZ7 $-120,@EMDZ7,2017-10-30 16:46:11,1823.6,2017-10-30 17:00:00,1824.8,-0.000657606313021,0.000657606313021,Open,-1.0,-120.0,2.5,-1 days +23:46:11.000000000,-14.0
ctwo opened: 2017-10-30 14:13:32 1 @CZ7 $12,@CZ7,2017-10-30 14:13:32,349.0,2017-10-30 14:20:00,348.75,0.000716845878136,0.000716845878136,Open,-1.0,12.0,2.5,-1 days +23:53:32.000000000,-7.0
