rowname,contract,c2timestamp,c2price,trigger,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta,delta
ctwo: 2016-11-16 16:52:56 1.0 @YMZ6 $-5,@YMZ6,2016-11-16 16:52:56,18832.0,2016-11-16 16:30:00,18833.0,-5.30982849254e-05,5.30982849254e-05,Close,-1.0,-5.0,1.0,0 days 00:22:56.000000000,22.0
ctwo: 2016-11-16 16:52:55 5.0 @TUZ6 $-62,@TUZ6,2016-11-16 16:52:55,108.81875,2016-11-16 16:30:00,108.8125,5.7438253877e-05,5.7438253877e-05,Close,1.0,-62.0,5.0,0 days 00:22:55.000000000,22.0
ctwo: 2016-11-16 16:52:49 1 @EMDZ6 $-9,@EMDZ6,2016-11-16 16:52:49,1594.0,2016-11-16 16:30:00,1594.1,-6.27313217489e-05,6.27313217489e-05,Open,-1.0,-9.0,1.0,0 days 00:22:49.000000000,22.0
ctwo: 2016-11-16 16:52:49 1.0 @ESZ6 $-12,@ESZ6,2016-11-16 16:52:49,2172.5,2016-11-16 16:30:00,2172.75,-0.000115061557933,0.000115061557933,Close,-1.0,-12.0,1.0,0 days 00:22:49.000000000,22.0
ctwo: 2016-11-16 16:52:44 1.0 @ADZ6 $-9,@ADZ6,2016-11-16 16:52:44,0.7473,2016-11-16 16:30:00,0.7474,-0.0001337971635,0.0001337971635,Close,-1.0,-9.0,1.0,0 days 00:22:44.000000000,22.0
ctwo: 2016-11-16 16:52:52 1 @NEZ6 $10,@NEZ6,2016-11-16 16:52:52,0.7061,2016-11-16 16:30:00,0.7062,-0.000141602945341,0.000141602945341,Open,1.0,10.0,1.0,0 days 00:22:52.000000000,22.0
ctwo: 2016-11-16 16:52:52 1.0 @NEZ6 $-10,@NEZ6,2016-11-16 16:52:52,0.7061,2016-11-16 16:30:00,0.7062,-0.000141602945341,0.000141602945341,Close,-1.0,-10.0,1.0,0 days 00:22:52.000000000,22.0
ctwo: 2016-11-16 16:52:48 1.0 @EMDZ6 $-30,@EMDZ6,2016-11-16 16:52:48,1594.4,2016-11-16 16:30:00,1594.1,0.000188193965247,0.000188193965247,Close,1.0,-30.0,1.0,0 days 00:22:48.000000000,22.0
ctwo: 2016-11-16 16:52:49 2 @FVZ6 $-62,@FVZ6,2016-11-16 16:52:49,119.03906,2016-11-16 16:30:00,119.0078125,0.000262566795772,0.000262566795772,Open,1.0,-62.0,2.0,0 days 00:22:49.000000000,22.0
ctwo: 2016-11-16 21:33:05 2 @CDZ6 $-40,@CDZ6,2016-11-16 21:33:05,0.7445,2016-11-16 16:30:00,0.7443,0.000268708853957,0.000268708853957,Open,1.0,-40.0,2.0,0 days 05:03:05.000000000,303.0
ctwo: 2016-11-16 16:52:53 1.0 QPLF7 $14,QPLF7,2016-11-16 16:52:53,946.2,2016-11-16 16:30:00,946.5,-0.000316957210776,0.000316957210776,Close,1.0,14.0,1.0,0 days 00:22:53.000000000,22.0
ctwo: 2016-11-16 16:52:49 2.0 @FVZ6 $-78,@FVZ6,2016-11-16 16:52:49,119.046875,2016-11-16 16:30:00,119.0078125,0.000328234753496,0.000328234753496,Close,1.0,-78.0,2.0,0 days 00:22:49.000000000,22.0
ctwo: 2016-11-16 16:52:55 1.0 @TYZ6 $-46,@TYZ6,2016-11-16 16:52:55,126.515625,2016-11-16 16:30:00,126.46875,0.000370644922165,0.000370644922165,Close,1.0,-46.0,1.0,0 days 00:22:55.000000000,22.0
ctwo: 2016-11-16 21:33:04 1.0 @CDZ6 $-30,@CDZ6,2016-11-16 21:33:04,0.7446,2016-11-16 16:30:00,0.7443,0.000403063280935,0.000403063280935,Close,1.0,-30.0,1.0,0 days 05:03:04.000000000,303.0
ctwo: 2016-11-16 20:00:07 1.0 @SF7 $-37,@SF7,2016-11-16 20:00:07,985.0,2016-11-16 13:50:00,985.75,-0.000760841998478,0.000760841998478,Close,-1.0,-37.0,1.0,0 days 06:10:07.000000000,370.0
ctwo: 2016-11-16 16:52:56 1.0 @USZ6 $187,@USZ6,2016-11-16 16:52:56,155.21875,2016-11-16 16:30:00,155.03125,0.00120943358194,0.00120943358194,Close,-1.0,187.0,1.0,0 days 00:22:56.000000000,22.0
ctwo: 2016-11-16 13:51:23 1 @LEG7 $-69,@LEG7,2016-11-16 13:51:23,108.325,2016-11-16 13:35:00,108.5,-0.00161290322581,0.00161290322581,Open,-1.0,-69.0,1.0,0 days 00:16:23.000000000,16.0
ctwo: 2016-11-16 16:52:52 1.0 @NKDZ6 $137,@NKDZ6,2016-11-16 16:52:52,17810.0,2016-11-16 16:30:00,17780.0,0.00168728908886,0.00168728908886,Close,-1.0,137.0,1.0,0 days 00:22:52.000000000,22.0
ctwo: 2016-11-16 21:33:03 1.0 @BPZ6 $-137,@BPZ6,2016-11-16 21:33:03,1.2425,2016-11-16 16:30:00,1.2447,-0.0017674941753,0.0017674941753,Close,-1.0,-137.0,1.0,0 days 05:03:03.000000000,303.0
ctwo: 2016-11-16 21:33:03 1 @BPZ6 $0,@BPZ6,2016-11-16 21:33:03,1.2425,2016-11-16 16:30:00,1.2447,-0.0017674941753,0.0017674941753,Open,0.0,0.0,1.0,0 days 05:03:03.000000000,303.0
ctwo: 2016-11-16 20:00:10 2 @WH7 $-75,@WH7,2016-11-16 20:00:10,415.0,2016-11-16 13:50:00,414.25,0.00181050090525,0.00181050090525,Open,1.0,-75.0,2.0,0 days 06:10:10.000000000,370.0
ctwo: 2016-11-16 16:52:54 1.0 QRBF7 $100,QRBF7,2016-11-16 16:52:54,1.3204,2016-11-16 16:30:00,1.3228,-0.00181433323254,0.00181433323254,Close,1.0,100.0,1.0,0 days 00:22:54.000000000,22.0
ctwo: 2016-11-16 16:52:54 1 QRBF7 $117,QRBF7,2016-11-16 16:52:54,1.32,2016-11-16 16:30:00,1.3228,-0.00211672210463,0.00211672210463,Open,1.0,117.0,1.0,0 days 00:22:54.000000000,22.0
ctwo: 2016-11-16 21:33:04 3.0 @CH7 $-112,@CH7,2016-11-16 21:33:04,347.25,2016-11-16 13:50:00,346.5,0.0021645021645,0.0021645021645,Close,1.0,-112.0,3.0,0 days 07:43:04.000000000,463.0
ctwo: 2016-11-16 16:52:50 1.0 QHGZ6 $-149,QHGZ6,2016-11-16 16:52:50,246.15,2016-11-16 16:30:00,246.75,-0.00243161094225,0.00243161094225,Close,-1.0,-149.0,1.0,0 days 00:22:50.000000000,22.0
ctwo: 2016-11-16 16:52:50 1 QHGZ6 $149,QHGZ6,2016-11-16 16:52:50,246.15,2016-11-16 16:30:00,246.75,-0.00243161094225,0.00243161094225,Open,1.0,149.0,1.0,0 days 00:22:50.000000000,22.0
ctwo: 2016-11-16 16:52:50 1.0 QHOF7 $193,QHOF7,2016-11-16 16:52:50,1.4435,2016-11-16 16:30:00,1.4481,-0.0031765762033,0.0031765762033,Close,1.0,193.0,1.0,0 days 00:22:50.000000000,22.0
ctwo: 2016-11-16 16:52:51 1.0 @PXZ6 $80,@PXZ6,2016-11-16 16:52:51,0.04921,2016-11-16 16:30:00,0.04905,0.0032619775739,0.0032619775739,Close,-1.0,80.0,1.0,0 days 00:22:51.000000000,22.0
ctwo: 2016-11-16 16:52:47 1.0 QCLF7 $190,QCLF7,2016-11-16 16:52:47,45.91,2016-11-16 16:30:00,46.1,-0.00412147505423,0.00412147505423,Close,1.0,190.0,1.0,0 days 00:22:47.000000000,22.0
ctwo: 2016-11-16 16:52:53 1.0 QPAZ6 $-309,QPAZ6,2016-11-16 16:52:53,715.7,2016-11-16 16:30:00,718.8,-0.00431274346132,0.00431274346132,Close,-1.0,-309.0,1.0,0 days 00:22:53.000000000,22.0
