trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,currency,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,underlying
113230226,213,1503079962,,,441.25000,USD,,future,short,2017-08-18 14:12:42,1503079962,open,2017-08-18 14:12:39,441.25000,50,,0,1,,@WZ7,,
113263950,150,1503348391,,,297.90000,USD,,future,long,2017-08-21 16:46:31,1503348391,open,2017-08-21 16:46:28,297.90000,250,,0,1,,QHGU7,,
113185462,250,1502916577,,,126.51563,USD,,future,long,2017-08-16 16:49:37,1502916577,open,2017-08-16 16:49:35,126.50000,1000,,0,1,,@TYU7,,
113263954,-10,1503348391,,,2.99700,USD,,future,long,2017-08-21 16:46:31,1503348391,open,2017-08-21 16:46:29,2.99500,10000,,0,1,,QNGV7,,
113230223,170,1503079961,,,300.80000,USD,,future,short,2017-08-18 14:12:41,1503079961,open,2017-08-18 14:12:38,300.70000,100,,0,1,,@SMZ7,,
113162740,344,1502830128,,,108.17188,USD,,future,long,2017-08-15 16:48:48,1502830128,open,2017-08-15 16:48:46,108.16406,2000,,0,2,,@TUU7,,
113185453,531,1502916577,,,1.17880,USD,,future,long,2017-08-16 16:49:37,1502916577,open,2017-08-16 16:49:31,1.17880,125000,,0,1,,@EUU7,,
113185459,1025,1502916577,,,0.00909,USD,,future,long,2017-08-16 16:49:37,1502916577,open,2017-08-16 16:49:34,0.00909,12500000,,0,1,,@JYU7,,
113230220,138,1503079962,,,365.50000,USD,,future,short,2017-08-18 14:12:42,1503079962,open,2017-08-18 14:12:36,365.25000,50,,0,1,,@CZ7,,
113238860,325,1503089134,,,2425.00000,USD,,future,long,2017-08-18 16:45:34,1503089134,open,2017-08-18 16:45:30,2425.00000,50,,0,1,,@ESU7,,
113263945,-150,1503348391,,,47.58000,USD,,future,short,2017-08-21 16:46:31,1503348391,open,2017-08-21 16:46:26,47.57000,1000,,0,1,,QCLV7,,
113238852,-320,1503089134,,,1692.40000,USD,,future,short,2017-08-18 16:45:34,1503089134,open,2017-08-18 16:45:29,1691.20000,100,,0,1,,@EMDU7,,
110662524,-850,1491598044,2017-04-04 16:48:53,1491338933,51.15000,USD,,future,short,,1491252555,closed,2017-04-03 16:49:13,50.30000,1000,,1,1,,QCLK7,,
110662562,-1480,1491598044,2017-04-04 16:48:57,1491338937,3.29400,USD,,future,short,,1491252585,closed,2017-04-03 16:49:43,3.14600,10000,,1,1,,QNGK7,,
110662574,-313,1491598044,2017-04-04 16:48:58,1491338938,124.89063,USD,,future,long,,1491252585,closed,2017-04-03 16:49:44,125.20313,1000,,1,1,,@TYM7,,
110662564,-219,1491598044,2017-04-04 16:48:58,1491338938,108.24219,USD,,future,long,,1491252585,closed,2017-04-03 16:49:43,108.29688,2000,,2,2,,@TUM7,,
110695369,-150,1491636859,2017-04-05 14:14:13,1491416053,364.75000,USD,,future,short,,1491329640,closed,2017-04-04 14:13:54,363.25000,50,,2,2,,@CK7,,
110695371,180,1491636859,2017-04-05 14:14:14,1491416054,310.10000,USD,,future,long,,1491329640,closed,2017-04-04 14:13:56,308.30000,100,,1,1,,@SMK7,,
110695378,-150,1491636859,2017-04-05 14:14:15,1491416055,430.25000,USD,,future,short,,1491329640,closed,2017-04-04 14:13:58,427.25000,50,,1,1,,@WK7,,
110700297,-119,1491636859,2017-04-05 16:47:17,1491425237,1.07035,USD,,future,long,,1491338940,closed,2017-04-04 16:48:55,1.07130,125000,,1,1,,@EUM7,,
110700299,-1990,1491636859,2017-04-05 16:47:18,1491425238,1689.30000,USD,,future,long,,1491338940,closed,2017-04-04 16:48:55,1709.20000,100,,1,1,,@EMDM7,,
110700301,-638,1491636859,2017-04-05 16:47:19,1491425239,2345.75000,USD,,future,long,,1491338940,closed,2017-04-04 16:48:56,2358.50000,50,,1,1,,@ESM7,,
110700310,1475,1491636859,2017-04-05 16:47:20,1491425240,267.80000,USD,,future,long,,1491338940,closed,2017-04-04 16:48:56,261.90000,250,,1,1,,QHGK7,,
110700314,-230,1491636859,2017-04-05 16:47:21,1491425241,3.27000,USD,,future,long,,1491338940,closed,2017-04-04 16:48:57,3.29300,10000,,1,1,,QNGK7,,
110700320,-297,1491636859,2017-04-05 16:47:22,1491425242,125.18750,USD,,future,short,,1491338940,closed,2017-04-04 16:48:59,124.89063,1000,,1,1,,@TYM7,,
110735017,-400,1491636859,2017-04-06 14:13:54,1491502434,360.75000,USD,,future,long,,1491416057,closed,2017-04-05 14:14:13,364.75000,50,,2,2,,@CK7,,
110735020,90,1491636859,2017-04-06 14:13:56,1491502436,309.20000,USD,,future,short,,1491416057,closed,2017-04-05 14:14:14,310.10000,100,,1,1,,@SMK7,,
110778482,50,1491847202,2017-04-07 14:13:50,1491588830,359.75000,USD,,future,short,,1491502438,closed,2017-04-06 14:13:55,360.75000,50,,1,1,,@CK7,,
110778485,-200,1491847202,2017-04-07 14:13:51,1491588831,307.10000,USD,,future,long,,1491502438,closed,2017-04-06 14:13:56,309.10000,100,,1,1,,@SMK7,,
110735023,-338,1491847202,2017-04-07 14:13:52,1491588832,423.25000,USD,,future,long,,1491416057,closed,2017-04-05 14:14:15,430.00000,50,,1,1,,@WK7,,
110700295,1180,1491848038,2017-04-07 16:47:18,1491598038,52.32000,USD,,future,long,,1491338940,closed,2017-04-04 16:48:54,51.14000,1000,,1,1,,QCLK7,,
110741842,931,1491848038,2017-04-07 16:47:19,1491598039,1.06290,USD,,future,short,,1491425244,closed,2017-04-05 16:47:18,1.07035,125000,,1,1,,@EUM7,,
110741845,-1580,1491848038,2017-04-07 16:47:19,1491598039,1705.10000,USD,,future,short,,1491425244,closed,2017-04-05 16:47:18,1689.30000,100,,1,1,,@EMDM7,,
110741851,775,1491848038,2017-04-07 16:47:20,1491598040,264.70000,USD,,future,short,,1491425244,closed,2017-04-05 16:47:20,267.80000,250,,1,1,,QHGK7,,
110741848,-338,1491848038,2017-04-07 16:47:20,1491598040,2352.50000,USD,,future,short,,1491425244,closed,2017-04-05 16:47:19,2345.75000,50,,1,1,,@ESM7,,
110741854,130,1491848038,2017-04-07 16:47:21,1491598041,3.25700,USD,,future,short,,1491425244,closed,2017-04-05 16:47:21,3.27000,10000,,1,1,,QNGK7,,
110662560,-238,1491848038,2017-04-07 16:47:21,1491598041,0.00903,USD,,future,long,,1491252585,closed,2017-04-03 16:49:42,0.00904,12500000,,1,1,,@JYM7,,
110700317,78,1491848038,2017-04-07 16:47:22,1491598042,108.22266,USD,,future,short,,1491338940,closed,2017-04-04 16:48:58,108.24219,2000,,2,2,,@TUM7,,
110891793,-1110,1492128246,2017-04-11 16:48:07,1491943687,1720.50000,USD,,future,short,,1491857589,closed,2017-04-10 16:53:05,1709.40000,100,,1,1,,@EMDM7,,
110891800,-75,1492128246,2017-04-11 16:48:10,1491943690,260.85000,USD,,future,short,,1491857589,closed,2017-04-10 16:53:06,260.55000,250,,1,1,,QHGK7,,
110891805,156,1492128246,2017-04-11 16:48:11,1491943691,108.28906,USD,,future,long,,1491857589,closed,2017-04-10 16:53:07,108.21094,2000,,1,1,,@TUM7,,
110822965,475,1492233524,2017-04-12 14:14:04,1492020844,369.00000,USD,,future,long,,1491588833,closed,2017-04-07 14:13:51,359.50000,50,,1,1,,@CK7,,
110887135,250,1492233524,2017-04-12 14:14:05,1492020845,433.25000,USD,,future,long,,1491848038,closed,2017-04-10 14:13:56,428.25000,50,,1,1,,@WK7,,
110891788,-420,1492233524,2017-04-12 16:50:30,1492030230,52.72000,USD,,future,long,,1491857589,closed,2017-04-10 16:53:02,53.14000,1000,,1,1,,QCLK7,,
110891790,-925,1492233524,2017-04-12 16:50:31,1492030231,1.07025,USD,,future,short,,1491857589,closed,2017-04-10 16:53:04,1.06285,125000,,1,1,,@EUM7,,
